,cv,feature,class,weight
65,0,18mo.9mo.contact.log_ratio.count.5kb-20kb.enhancer_peak,down,0.0
66,0,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,down,0.0
67,0,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,down,0.0
68,0,9mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,down,0.186911400534442
69,0,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,down,-0.06496411408353146
70,0,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,down,0.0
71,0,9mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_peak,down,-0.10851111443678887
72,0,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,down,0.06462595230635501
73,0,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,down,0.022076964166031176
74,0,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,down,-0.11884465320693621
75,0,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,down,0.0
76,0,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,down,0.08857951322132335
77,0,18mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_peak,down,0.0762015941972795
78,0,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,down,0.0
79,0,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,down,0.0
80,0,18mo.9mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,down,0.0
81,0,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,down,0.12324765720274443
82,0,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,down,-0.030715659367477072
83,0,18mo.9mo.activity.log_ratio.count.20kb-5Mb.enhancer_peak,down,0.0
84,0,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,down,0.16231614237169725
85,0,9mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,down,0.06533236707261413
86,0,9mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,down,-0.07891602460360353
87,0,9mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,down,-0.09860260981664835
88,0,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,down,-0.07443681904644164
89,0,9mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,down,-0.10851111443678887
90,0,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,down,0.0
91,0,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,down,0.10213547686954391
92,0,18mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,down,0.016525415752064617
93,0,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,down,0.11326912971227923
94,0,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,down,-0.0005943670555529265
95,0,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,down,0.0762015941972795
96,0,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,down,0.0
97,0,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_peak,down,0.0375940395228256
98,0,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,down,0.1131424101108469
99,0,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,down,-0.08605699468813975
100,0,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,down,0.0
101,0,18mo.9mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,down,0.0
102,0,count.enhancer_peak,down,-0.12169561879767113
103,0,rel_pos.DAR,down,-0.04720090893041012
104,0,9mo.2mo.log_ratio.DAR,down,-0.09441258907871251
105,0,18mo.9mo.log_ratio.DAR,down,0.0
106,0,18mo.2mo.log_ratio.DAR,down,-0.07684801639461476
107,0,count.DAR,down,0.0
108,0,size.log2.DMR,down,-0.02188394609468388
109,0,rel_pos.DMR,down,-0.0035450675785777142
110,0,9mo.2mo.log_ratio.DMR,down,0.0
111,0,18mo.9mo.log_ratio.DMR,down,-0.08708719877016789
112,0,18mo.2mo.log_ratio.DMR,down,0.0
113,0,distance.log2.DMR,down,0.0
114,0,count.DMR,down,0.12425936785624771
115,0,Qanova.mean.loops,down,0.0
116,0,Qanova.median.loops,down,0.027296540359616164
117,0,Qanova.std.loops,down,0.018629328545064203
118,0,Qanova.max.loops,down,0.0
119,0,Qanova.min.loops,down,-0.022620801155196373
120,0,Tanova.mean.loops,down,-0.03259986494636126
121,0,Tanova.median.loops,down,0.0
122,0,Tanova.std.loops,down,-0.1097664954779964
123,0,Tanova.max.loops,down,0.2550007685776828
124,0,Tanova.min.loops,down,0.0
125,0,9mo.2mo.Q.mean.loops,down,0.15978605000612334
126,0,9mo.2mo.Q.median.loops,down,0.20307749183351004
127,0,9mo.2mo.Q.std.loops,down,0.008320840884447726
128,0,9mo.2mo.Q.max.loops,down,-0.24572571004478574
129,0,9mo.2mo.Q.min.loops,down,0.09645197237270632
130,0,18mo.9mo.Q.mean.loops,down,0.0
131,0,18mo.9mo.Q.median.loops,down,0.21653291220203105
132,0,18mo.9mo.Q.std.loops,down,0.2057442335969776
133,0,18mo.9mo.Q.max.loops,down,0.10701595821908771
134,0,18mo.9mo.Q.min.loops,down,-0.0001580074605334006
135,0,18mo.2mo.Q.mean.loops,down,0.0
136,0,18mo.2mo.Q.median.loops,down,-0.2991189997470465
137,0,18mo.2mo.Q.std.loops,down,-0.021513617664526256
138,0,18mo.2mo.Q.max.loops,down,-0.3356262319162735
139,0,18mo.2mo.Q.min.loops,down,-0.12746976143519348
140,0,9mo.2mo.T.mean.loops,down,-0.2610219699392927
141,0,9mo.2mo.T.median.loops,down,0.034731131068413745
142,0,9mo.2mo.T.std.loops,down,0.23323017127055434
143,0,9mo.2mo.T.max.loops,down,0.10341004265225129
144,0,9mo.2mo.T.min.loops,down,0.23286818914830842
145,0,18mo.9mo.T.mean.loops,down,0.016641444961338344
146,0,18mo.9mo.T.median.loops,down,-0.02898641131153927
147,0,18mo.9mo.T.std.loops,down,-0.34826337507034416
148,0,18mo.9mo.T.max.loops,down,-0.02456919299660727
149,0,18mo.9mo.T.min.loops,down,0.0
150,0,18mo.2mo.T.mean.loops,down,0.0
