,cv,feature,class,weight
56,0,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_DMR,down,0.0
57,0,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,down,0.1474583758000169
58,0,18mo.9mo.contact.log_ratio.count.20kb-5Mb.enhancer_DMR,down,-0.00013371225467373574
59,0,count.enhancer_DMR,down,0.0071699585042565885
60,0,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,down,-0.014040046156789677
61,0,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,down,0.0
62,0,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,down,0.07624571627183144
63,0,9mo.2mo.contact.log_ratio.count.0-5kb.enhancer_peak,down,-0.014040046156789677
64,0,18mo.2mo.contact.log_ratio.count.0-5kb.enhancer_peak,down,0.0
65,0,18mo.9mo.contact.log_ratio.count.0-5kb.enhancer_peak,down,0.07624571627183144
66,0,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,down,0.03594270102354167
67,0,18mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,down,0.0
68,0,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,down,0.0
69,0,9mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_peak,down,0.03594270102354167
70,0,18mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_peak,down,0.0
71,0,18mo.9mo.contact.log_ratio.count.5kb-20kb.enhancer_peak,down,0.0
72,0,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,down,0.011337163662196476
73,0,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,down,-0.008399363245365984
74,0,9mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,down,0.013336139573302715
75,0,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,down,0.04252336242143968
76,0,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,down,0.20842244982635624
77,0,9mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_peak,down,0.0
78,0,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,down,0.068924267968636
79,0,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,down,0.1023627353220225
80,0,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,down,0.03459347186104819
81,0,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,down,-0.026534067802959933
82,0,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,down,0.18411233423152593
83,0,18mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_peak,down,-0.028601497841716228
84,0,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,down,-1.5698582712244827e-06
85,0,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,down,0.1780191902529047
86,0,18mo.9mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,down,0.0010346356286843534
87,0,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,down,-0.08872060579818715
88,0,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,down,-0.023958260210979212
89,0,18mo.9mo.activity.log_ratio.count.20kb-5Mb.enhancer_peak,down,0.0
