,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Nrg1,0.0,-1.27963433145422,0.512,0.836,0.0,1
Snhg11,0.0,-1.23404445078177,0.407,0.702,0.0,1
Zfp804b,0.0,-1.41510320777538,0.266,0.536,0.0,1
Xist,0.0,-0.855880805688126,0.562,0.827,0.0,1
Nrxn3,0.0,-1.1762535776569,0.774,0.985,0.0,1
Camk2d,0.0,-3.28083925468233,0.032,0.242,0.0,1
Meg3,0.0,-1.00023593261034,0.9,0.973,0.0,1
Rfx3,0.0,0.48878968568807,0.992,0.953,0.0,-1
Grin2a,0.0,0.470946449465919,0.999,0.993,0.0,-1
Zbtb20,0.0,0.390036703957694,1.0,0.998,0.0,-1
Rbfox1,0.0,0.382806313135883,1.0,0.999,0.0,-1
Grin1,1.021928366e-313,-0.732904762636039,0.632,0.719,2.65435673788615e-309,1
Egfem1,2.43244575717571e-301,0.57415577135697,0.955,0.861,6.31803460968818e-297,-1
Fgf14,4.19649236678553e-299,0.300648239695723,1.0,0.999,1.08999692734887e-294,-1
Slc4a4,1.8031902340231106e-295,0.764163804999352,0.896,0.751,4.68360631385162e-291,-1
Plxna4,1.2157402343686501e-277,0.523028637135126,0.961,0.899,3.1577636847491294e-273,-1
Gm15738,1.33464870660966e-272,1.94084327914735,0.198,0.057,3.46661655054793e-268,-1
Il1rapl1,9.65802558292278e-261,0.274341024248788,0.999,0.997,2.50857556490836e-256,0
Cacna1e,1.0451668011202e-254,0.411062697640469,0.976,0.931,2.7147162492296e-250,-1
Nell2,1.44796495557845e-254,0.499448425525868,0.94,0.847,3.76094417561947e-250,-1
Auts2,3.25080619690676e-252,0.29530410665725,0.999,0.999,8.44364401584562e-248,0
Nrg3os,1.41059487599831e-249,2.12159738007698,0.155,0.04,3.663879130918e-245,-1
Cdh8,2.54581551466158e-248,0.523238373140595,0.921,0.801,6.612501217782e-244,-1
Nrg3,8.80738890531036e-243,0.261844855446505,1.0,1.0,2.2876311942653097e-238,0
Unc5d,3.47358599262621e-237,-0.864841309626784,0.432,0.643,9.02229225724732e-233,1
Negr1,1.19822227921249e-230,0.310069867747383,0.997,0.988,3.11226254802653e-226,-1
Maml2,3.00083756767429e-229,0.523590246306491,0.947,0.882,7.79437549827719e-225,-1
Cacna1c,1.81213084550016e-228,0.421558382228383,0.974,0.923,4.70682865810212e-224,-1
Nlgn1,9.07553697724845e-224,0.284295580909687,0.999,0.996,2.35727997447051e-219,0
Cyp7b1,4.43677663432382e-222,0.652410279659738,0.819,0.66,1.15240836299927e-217,-1
Dok6,2.08299575949816e-220,0.482288058068715,0.908,0.768,5.4103731857205194e-216,-1
Robo1,5.8539053287273595e-220,1.1917395300595,0.461,0.27,1.52049337008364e-215,-1
Dscam,3.3531367378592996e-219,0.492511793821422,0.923,0.811,8.70943736291574e-215,-1
Gm28376,1.18742572952604e-217,1.51934236110866,0.224,0.087,3.08421958987094e-213,-1
Kcnq1ot1,1.10281332777771e-211,-0.566911812949098,0.607,0.66,2.86444733756984e-207,1
Pcdh15,5.72899328367387e-211,2.26197450384363,0.149,0.026,1.48804871550145e-206,-1
Grm8,8.367142759063261e-211,-1.58680922233191,0.104,0.278,2.17328166023909e-206,1
Ahcyl2,1.29310459157654e-209,0.47541182170506,0.957,0.892,3.35870986616092e-205,-1
Ntrk3,2.1371761420917098e-209,0.461631969493215,0.956,0.871,5.5511013114690005e-205,-1
Fth1,1.15271749866265e-208,1.35579955182681,0.263,0.099,2.99406843102638e-204,-1
Kcnd2,1.88736266380717e-207,0.277255373148686,1.0,1.0,4.9022357829727516e-203,0
Prkce,2.2735981551278e-205,0.38108115947506,0.984,0.965,5.905443848128941e-201,-1
Dmd,2.27886572419504e-204,-0.60903462360941,0.715,0.81,5.9191258320242e-200,1
Calm1,1.33099566868944e-203,0.893364168379859,0.465,0.253,3.45712814985396e-199,-1
AY036118,4.76786563264976e-200,1.13151699595074,0.318,0.141,1.2384054194244498e-195,-1
Atp1b1,7.32506222229244e-200,0.642192436878273,0.686,0.471,1.90261166161824e-195,-1
Grin2b,2.42042016260496e-197,0.283504709843031,0.996,0.979,6.28679933035012e-193,0
Mapt,1.68844629873849e-187,-0.573468883167481,0.484,0.541,4.38557041634336e-183,1
Tmem132d,1.1399197913252e-186,-2.88097579684576,0.02,0.122,2.96082766598807e-182,1
Cmss1,1.00697743939661e-184,1.15350818854539,0.356,0.168,2.61552320108876e-180,-1
Dab1,1.67635178861457e-184,0.245145282898937,1.0,0.998,4.35415613574749e-180,0
Plcl1,2.25172640156356e-184,0.467628299513306,0.911,0.811,5.8486341554212e-180,-1
5330438D12Rik,5.59657836614414e-182,1.53049150853563,0.171,0.061,1.4536552648222798e-177,-1
Lrp1b,3.5860124550682204e-180,0.271094380699209,1.0,0.999,9.3143087507942e-176,0
Kcnj6,9.84761715290156e-178,0.511139948582925,0.87,0.738,2.5578200792946503e-173,-1
Tspan18,2.0112495717567197e-177,1.28930387136937,0.298,0.127,5.2240196376809e-173,-1
Kcnt2,4.44425978694457e-177,0.479510864399046,0.86,0.725,1.15435203706098e-172,-1
Hsp90ab1,1.72851872839363e-176,1.35299033613694,0.243,0.091,4.4896545451296e-172,-1
Erc2,1.54419990868509e-175,0.240623105964948,0.998,0.996,4.01090484281864e-171,0
Eef1a1,2.23934698481726e-174,1.24250496498438,0.248,0.099,5.81647985836435e-170,-1
Celf2,3.98018029929249e-174,0.158033646905187,1.0,1.0,1.03381203093823e-169,0
Pard3,7.107596852555091e-173,0.551109875043173,0.756,0.573,1.84612720648266e-168,-1
Ptchd4,3.64421568024185e-172,0.542856862476908,0.796,0.636,9.46548580786017e-168,-1
Cdh9,1.0067658855602601e-171,0.342992770604423,0.898,0.767,2.6149737111542104e-167,-1
Nebl,1.40009385064975e-170,0.431996987925249,0.93,0.849,3.63660376767766e-166,-1
Sema5a,5.3334472059049e-170,0.438194371254203,0.922,0.84,1.38530957726174e-165,-1
Rasal2,6.997815331270601e-170,0.365270351553527,0.958,0.923,1.81761255414423e-165,-1
Pgbd5,1.5946982152562501e-167,0.691192817294608,0.661,0.464,4.14206914430657e-163,-1
Grid1,1.8031089943309e-167,0.40878896704691,0.808,0.632,4.68339530187507e-163,-1
Il1rap,2.88359461807605e-166,0.471685958370406,0.901,0.797,7.48984866099074e-162,-1
Tiam1,2.64719596229556e-161,0.498919448858279,0.861,0.73,6.87582679246648e-157,-1
Kcnj3,1.02194108523568e-159,0.3226129612827,0.957,0.894,2.65438977479116e-155,-1
Rgs6,4.57554801662428e-159,1.35006692281872,0.252,0.103,1.18845284183799e-154,-1
Pigk,1.20076833501928e-158,1.01383863171554,0.294,0.152,3.11887567337907e-154,-1
Chst9,1.7533453981323196e-156,0.673582576403351,0.529,0.341,4.55413933710888e-152,-1
Atp6v0c,1.48499146291851e-155,1.09618400956768,0.235,0.098,3.8571168257845306e-151,-1
2010300C02Rik,1.7181647886217201e-155,0.511532528954732,0.803,0.642,4.46276122196605e-151,-1
Sphkap,1.17885027137564e-153,0.464630030063167,0.885,0.769,3.0619456948710908e-149,-1
Tmsb4x,3.85763508998624e-153,1.21828070489935,0.239,0.101,1.00198213827303e-148,-1
Tenm1,1.9124897498566003e-152,0.50717443164193,0.791,0.631,4.96750087627753e-148,-1
Rplp1,9.471271197559611e-152,1.05885267363361,0.243,0.105,2.4600679808541298e-147,-1
Gabrb3,5.13445717958685e-151,0.274205417940834,0.985,0.96,1.33362390782589e-146,0
Snrnp70,2.04894233431756e-146,-0.677037428526017,0.428,0.535,5.3219228191564404e-142,1
Kirrel3,8.43933182957748e-146,0.324396630692835,0.988,0.962,2.19203204941445e-141,-1
Sorcs2,8.55892842231709e-146,1.11997259263371,0.317,0.155,2.22309606841264e-141,-1
Dlg2,2.7533070646264403e-145,0.151338669933011,1.0,1.0,7.15143976966072e-141,0
Tnr,3.1814400060886e-145,0.399036796662268,0.904,0.794,8.26347227181453e-141,-1
Epha7,6.01974598996207e-145,0.357732542452986,0.947,0.936,1.56356882343275e-140,-1
Zbtb16,1.08798178860257e-144,0.548487454419364,0.695,0.511,2.82592389771633e-140,-1
Rbm25,1.15906906076115e-144,-0.430654804609872,0.581,0.617,3.01056597842102e-140,1
Rpl13,5.34320355445935e-144,1.29027047071839,0.204,0.079,1.38784369123527e-139,-1
Adamts17,7.77493172216454e-142,0.579764044446754,0.635,0.452,2.01946076551502e-137,-1
Slc44a5,3.01824547929805e-140,0.513371263361275,0.667,0.49,7.83959080792875e-136,-1
Glis3,1.88678664172853e-139,0.37857814287683,0.89,0.778,4.90073962322568e-135,-1
Lrfn5,4.44427489175351e-139,0.249824422042724,0.989,0.968,1.15435596038406e-134,0
Osbp2,1.28579279568007e-138,0.482623404850493,0.709,0.531,3.33971820749942e-134,-1
Ubb,6.832620970781549e-138,1.42942033915116,0.16,0.055,1.7747049709508e-133,-1
Rasgrf2,6.12762652073787e-137,0.680675751571199,0.567,0.388,1.59158971249645e-132,-1
Lrrtm4,1.07014357260659e-136,0.196426968475119,1.0,1.0,2.7795909154883702e-132,0
Jph1,7.33443553043181e-136,0.466217816400171,0.785,0.636,1.9050462846743601e-131,-1
Rtn1,3.72266737304328e-135,0.357639801936687,0.835,0.685,9.66925623474262e-131,-1
Pdzd2,6.50085105279754e-133,0.544290967870268,0.799,0.656,1.68853105245363e-128,-1
Pcdh7,1.12361193570851e-131,-0.755485625611158,0.367,0.514,2.91846964180928e-127,1
Ptpro,4.07043466369996e-131,0.725024947929898,0.424,0.257,1.0572546995494299e-126,-1
Prox1,6.93292412533682e-131,0.51051623053486,0.672,0.503,1.8007577123149898e-126,-1
Nrxn1,3.5907073416759898e-130,0.210213877054615,0.998,0.993,9.326503249269228e-126,0
Rps2,5.2279895838131e-130,1.44820754126805,0.162,0.057,1.35791801449961e-125,-1
Ptprg,6.21864666346566e-130,0.5475047960958,0.579,0.402,1.61523128436857e-125,-1
Pcsk1n,7.57645164452559e-130,0.901666820984954,0.252,0.121,1.96790755014908e-125,-1
Atp1a1,3.08223848218745e-129,0.913647389365442,0.279,0.138,8.00580623363367e-125,-1
C1qtnf4,4.11124767486e-129,0.823393922508461,0.318,0.172,1.06785547106814e-124,-1
Ksr1,5.34857276859123e-128,0.677672146557915,0.554,0.377,1.3892382909138899e-123,-1
P2ry14,4.1181616918207996e-126,1.79088528389289,0.099,0.03,1.06965131783353e-121,-1
Ccdc85a,5.72748591285438e-126,0.293258392900327,0.955,0.896,1.4876571910048e-121,0
Rpl17,4.6676422020257e-125,1.3461759761782,0.174,0.065,1.21237338555416e-120,-1
Nhsl1,5.76651270532036e-125,1.77496403951579,0.142,0.043,1.49779401007991e-120,-1
Prkd1,6.697561524229298e-125,0.424681032479456,0.82,0.689,1.7396246303033202e-120,-1
Chn1,7.95021746688415e-125,0.396338336220202,0.796,0.654,2.06498948484849e-120,-1
Cblb,8.91879510578101e-125,0.547680743591413,0.686,0.53,2.31656784077556e-120,-1
Ncald,9.10332617409256e-125,0.448180178371469,0.697,0.53,2.3644979404588e-120,-1
Trpc4,9.95023642484902e-125,0.63761758675726,0.53,0.361,2.58447440899028e-120,-1
Gm20642,2.03485926554875e-124,1.46847273801343,0.129,0.05,5.2853434563363407e-120,-1
Trpm3,1.99401529455844e-122,0.280068698039376,0.981,0.966,5.17925532608608e-118,0
D430041D05Rik,3.2235070190973096e-122,0.648699280870798,0.499,0.332,8.37273713140336e-118,-1
Clmp,1.11892060397855e-121,-0.821944010261213,0.242,0.333,2.9062843767738904e-117,1
Cobl,2.26214057441174e-121,-2.5764559399297,0.018,0.091,5.8756839279770506e-117,1
Pip5k1b,2.80788659297229e-121,0.389540683562975,0.856,0.735,7.29320463658622e-117,-1
4930402H24Rik,4.36145440611775e-121,-0.371967978387557,0.512,0.523,1.13284416744503e-116,1
Nedd4l,4.84740473204169e-121,0.375142087646294,0.871,0.748,1.25906490510051e-116,-1
Hectd2,1.8972903503659103e-120,0.799147385503633,0.491,0.329,4.92802195604043e-116,-1
Zfpm2,2.82425587675606e-120,0.23523499703042,0.975,0.937,7.3357222142862e-116,0
Rps14,1.28988264585282e-119,1.41826522591061,0.161,0.058,3.35034118433811e-115,-1
Syt14,8.60089352500929e-119,0.496877144713925,0.59,0.425,2.23399608418591e-114,-1
Mmp16,8.22654914695863e-118,0.28082671300872,0.951,0.89,2.13676387543104e-113,0
Rps8,2.1308221474321702e-117,1.22509509244658,0.174,0.07,5.53459744574032e-113,-1
Map1b,3.5845675009923205e-117,0.304790236651932,0.912,0.806,9.31055562707746e-113,-1
Unc5c,5.48671508487455e-117,-0.536603888882444,0.605,0.702,1.42511937614531e-112,1
Kif26b,5.94871118537024e-117,0.597390202977534,0.488,0.326,1.5451182432880702e-112,-1
Nkain3,2.02332270956946e-116,0.427365529528367,0.745,0.598,5.2553784058357205e-112,-1
Dlgap2,4.4946051309617096e-116,0.250621195431422,0.992,0.983,1.16742873671599e-111,0
Ccbe1,6.90747400798122e-116,0.793301454346911,0.382,0.228,1.79414729883304e-111,-1
Rpl9,1.44473031047295e-115,1.55042128963442,0.139,0.046,3.75254250842243e-111,-1
Npnt,1.92102516191271e-115,1.14751058133071,0.24,0.113,4.98967075555208e-111,-1
Lpp,2.5818163375018598e-114,0.746472225439305,0.433,0.277,6.70600975502732e-110,-1
Shisa9,1.14391745273832e-113,0.356231365549315,0.894,0.788,2.97121119174251e-109,-1
Enox1,1.39432684582364e-112,0.313297242137526,0.897,0.788,3.62162454934233e-108,-1
Robo2,1.78873112454164e-112,0.346296472599194,0.93,0.864,4.64605022288445e-108,-1
