gene_name,9mo.2mo.log_ratio.mean,18mo.9mo.log_ratio.mean,18mo.2mo.log_ratio.mean,log2_distance.mean,9mo.2mo.log_ratio.std,18mo.9mo.log_ratio.std,18mo.2mo.log_ratio.std,log2_distance.std,count
0610005C13Rik,0.009337234771904512,-0.08087608022744219,-0.07153884545553768,11.60619342045736,0.1374444598133057,0.0349471867015884,0.10249727311171732,0.6726322958659212,2
0610007P14Rik,-0.008919699986679705,0.0722796923074424,0.06335999232076268,11.344375034027827,0.025034776225795387,0.03462618652254154,0.039953478764405755,0.8282015918490543,3
0610009B22Rik,-0.02205718707394766,0.04568838782578588,0.02363120075183822,11.185494924210929,,,,,1
0610009E02Rik,0.07080894198594341,0.0031263591385271203,0.07393530112447054,10.728621500883179,0.08866669451197202,0.2238984012247533,0.21951800908187952,0.6177690855021569,6
0610009L18Rik,0.06137139978021933,-0.04154816778898307,0.019823231991236256,10.885963245601285,0.14760503745216033,0.1627617800554393,0.07146073925543842,0.6955135453256867,4
0610009O20Rik,-0.04103776346276464,-0.012907842272680742,-0.05394560573544538,11.331703639721361,0.06876015403554354,0.15557079441009905,0.1608877337449821,1.994939367563745,4
0610010F05Rik,-0.17830607903159867,0.06922894584468049,-0.10907713318691818,11.342191882899364,0.10894057193823008,0.012168348222751516,0.10411553250859716,0.2154937278607768,3
0610010K14Rik,0.11521822383656666,-0.1334217586125877,-0.018203534776021046,9.80485395863879,0.1481797212227682,0.08365955339867265,0.15066703113148947,1.7200281360032095,4
0610011F06Rik,0.12317828845625522,-0.14583158927997814,-0.02265330082372291,11.141859264230145,0.12465203356956564,0.08566906697330927,0.09098041406575127,1.0055586487096904,4
0610012D04Rik,0.19830000571155987,0.378252617548244,0.5765526232598038,10.298596640442863,0.055745951601900524,0.439559644393376,0.49530559599527657,0.5646102231542227,2
0610012G03Rik,0.13383040348769604,-0.07309306179180286,0.06073734169589318,10.893849072737815,0.10159734529108667,0.05062686720860848,0.0509704780824782,0.2747486300788355,2
