gene_name,9mo.2mo.log_ratio.mean,18mo.9mo.log_ratio.mean,18mo.2mo.log_ratio.mean,log2_distance.mean,9mo.2mo.log_ratio.std,18mo.9mo.log_ratio.std,18mo.2mo.log_ratio.std,log2_distance.std,count
0610005C13Rik,0.5680392914278443,0.0016269443386049964,0.5696662357664493,11.60619342045736,0.26188372774992624,0.12284970820505176,0.13903401954487452,0.6726322958659212,2
0610007P14Rik,0.2442919846654122,-0.14422568105527028,0.10006630361014193,11.631620055894603,0.3634685192847776,0.12441962267964073,0.27888949275809966,0.8873090751497944,4
0610009B22Rik,0.03311589939732773,0.007130308737089308,0.04024620813441704,11.185494924210929,,,,,1
0610009E02Rik,0.31392811872426046,-0.09728001346063311,0.21664810526362732,11.481333073977861,0.40377068786863607,0.12703903455940674,0.29881442809881187,1.1653735963081695,5
0610009L18Rik,0.22749502766896162,-0.06635860744496064,0.161136420224001,10.885963245601285,0.12115292889133548,0.2234463993426317,0.2567741641993821,0.6955135453256867,4
0610009O20Rik,-0.12523844523335245,-0.04903068846603046,-0.1742691336993829,9.346164331783415,0.04375891053284962,0.10088160609680817,0.058192846011399284,1.2389345338762034,3
0610010F05Rik,-0.10856114405774375,-0.0026870599450683,-0.11124820400281207,12.99612459835317,0.39530782440975887,0.2782639035132782,0.3642290299795386,1.5075079834138942,8
0610010K14Rik,0.35078970199461434,-0.11944537108183986,0.23134433091277443,9.803091088677018,0.22087908536898512,0.03626914343627592,0.20784985934964367,1.4895932767149955,5
0610011F06Rik,0.26561983423238544,-0.06592875748847817,0.1996910767439073,11.666034949467175,0.16554926304465148,0.09849671229487898,0.20927853561470708,0.9915277344986542,8
0610012D04Rik,-0.09044048148282968,0.2567957387892488,0.16635525730641906,10.602012423873468,0.20122676286677457,0.181549687511749,0.2285755916288551,0.6599816398579227,3
0610012G03Rik,0.1687122122979825,-0.17173089747065973,-0.003018685172677227,10.893849072737815,0.035370082042347005,0.1052796247979027,0.06990954275555569,0.2747486300788355,2
0610025J13Rik,-0.35951499016154737,-0.055350051963399184,-0.4148650421249466,11.48962121992808,0.3860504114535758,0.30499834922416513,0.17832232229922187,0.6446649083889289,3
0610030E20Rik,-0.02934999082789186,-0.04342993473796708,-0.07277992556585894,10.643718982601909,0.12315226741589261,0.1041696253745095,0.19548178814244732,1.554318781320029,4
0610031O16Rik,-0.11130075457927877,-0.059866467757226524,-0.1711672223365053,12.893379508912664,0.5150854721157722,0.2890485230993876,0.3725086376229522,1.288519979373678,5
0610037L13Rik,0.0729953919831476,0.008228417499951202,0.08122380948309879,11.122262835159614,0.30593730907532946,0.11452582398301554,0.3692169653685795,0.6758200933096248,5
0610038B21Rik,-0.0703708732692821,-0.061593394471990526,-0.13196426774127262,11.428207968455887,0.26244656831705127,0.11283751939522792,0.1781496363013869,0.28596981838894336,4
0610039K10Rik,-0.09160851747197096,-0.1626560457543107,-0.25426456322628166,11.006326078525005,,,,,1
0610040B10Rik,0.4574366616996094,-0.1793093887191484,0.278127272980461,9.813604923517357,0.24246333092642597,0.3422640253442307,0.14636731619772025,1.5828264830690728,5
0610040F04Rik,-0.06345192356902964,0.00987627761956709,-0.05357564594946255,13.321756218421102,0.4385429719396987,0.24037999559284215,0.35267559609878835,1.9329288202326174,12
0610040J01Rik,-0.014059123559578461,0.003941116590212174,-0.010118006969366291,13.113739617506988,0.3257314877905657,0.32532951492924644,0.3198714288565315,1.8958620933465034,14
0610043K17Rik,0.16873957098004735,-0.06733378545465582,0.10140578552539155,13.215843102045397,0.3109809155907285,0.18644648068018496,0.3402745424809838,1.1802996649988398,15
1010001B22Rik,0.07666518417024093,0.2746372465434396,0.3513024307136805,10.811523450655873,0.1426383815035033,0.5895709936320376,0.44693261212853436,0.3892993848902492,2
