,acc,bal_acc,igr,micro_roc_auc,micro_AP
0,0.693015537788505,0.588353802707275,0.09975364427362893,0.8485757927978703,0.6494668382946192
1,0.668879167295218,0.6241156334872602,0.10785468945248733,0.8457986162320962,0.6664267782672899
2,0.7097601448182229,0.5420926401676132,0.07008799951406093,0.8717763623637832,0.7172098051259019
3,0.6765726353899533,0.6032724857673338,0.10309576796887349,0.8484297363980376,0.6629584623600584
4,0.6462513199577613,0.599563567915928,0.09979418924393015,0.8189715833970153,0.596062747594035
5,0.6924121285261728,0.5860562460690033,0.09280113004798007,0.855713873367935,0.675512453022099
6,0.675818373812038,0.5462391689943945,0.07057920859452806,0.8459022546629671,0.6520487788754423
7,0.6083873887464173,0.5992895805299717,0.0967500494879145,0.8111620518654792,0.6101052899713599
8,0.6735555890782924,0.5773384613707142,0.08239502210462106,0.8441788084878992,0.6560433922563762
9,0.6744607029717906,0.5587755596914604,0.07975611588956205,0.8540775046382706,0.6834222272629151
