,acc,bal_acc,igr,micro_roc_auc,micro_AP
0,0.41973065412569477,0.44119876295027066,0.011719977399410332,0.6354391072819365,0.39570612032484215
1,0.3827490380504489,0.44091821881457466,0.01419527435132606,0.6128657028222488,0.3703226696762623
2,0.38820008550662677,0.44798598221607167,0.01304154277937383,0.6055220752593575,0.36394754836472376
3,0.38937580162462593,0.4388368811458707,0.012490951456519944,0.6098798481553654,0.36644865282959593
4,0.3786874732791791,0.4426753459740953,0.014347129828675864,0.6010969576694674,0.35955841815214307
5,0.4231509191962377,0.44853392131957676,0.01262227011945395,0.6388732268524806,0.3898940805696267
6,0.3639375801624626,0.4428836981799111,0.01840938061158143,0.5876314546718917,0.3487235571731221
7,0.38552800342026505,0.4524061156908335,0.01320848037915505,0.60233350106865,0.3618557267670529
8,0.3543180846515605,0.4358639699308084,0.01587150416115567,0.5891497890620244,0.35000098598887197
9,0.40872167592988456,0.4497025054304564,0.016434864433646074,0.6260151427200282,0.38347956083796453
