,acc,bal_acc,igr,micro_roc_auc,micro_AP
0,0.5235860409145607,0.44713461390010045,0.011160210945102342,0.6557631802259323,0.5057940834636326
1,0.5328519855595668,0.43286519491618086,0.010380868923311746,0.6642729679202851,0.5147321722114365
2,0.507942238267148,0.4282032968890457,0.009200239627818239,0.6621120726481802,0.501391169549262
3,0.5365824308062576,0.4457969968432806,0.012612016456414526,0.6667288009314167,0.516655071392472
4,0.5240673886883274,0.43749831993863886,0.012065169169164829,0.6655068089567757,0.5104668434590003
5,0.5377858002406739,0.4436429194704443,0.012141796644118123,0.6804729632863715,0.5290135612579584
6,0.5037304452466908,0.4301638861656425,0.011846572781134868,0.6602251285548996,0.4900214553853671
7,0.5296028880866426,0.43207567188351864,0.009854158114758569,0.6737715169260934,0.5166551762857711
8,0.5122743682310469,0.43063835500628045,0.009771413746747587,0.6583316245776984,0.49517134957625086
9,0.5333333333333333,0.4335189860867245,0.011593889513576325,0.6756928678277516,0.506525862678525
