,acc,bal_acc,igr,micro_roc_auc,micro_AP
0,0.5473156920396385,0.5024128481057509,0.03324377129839129,0.7348200626488475,0.5041807624304491
1,0.5411085701840357,0.5002269300201551,0.03004704971222061,0.7338014772383415,0.4994478854274822
2,0.5913100294021562,0.4994980263764339,0.02710342577010702,0.7680742041305179,0.5679645378609561
3,0.5857562887945116,0.49214690751229323,0.03158402962429621,0.7439739845686618,0.5383978038259619
4,0.5651747794838288,0.4929497315053486,0.026526536159610745,0.7536267888873105,0.5421275782222772
5,0.5416530545573343,0.49967797613011994,0.028841609162361833,0.7378876447987204,0.5065644092569881
6,0.5341391702058151,0.522400715806692,0.03386104123186655,0.734020655470958,0.4819035254566111
7,0.5610366982467603,0.5083909941581519,0.03468110451909501,0.7603338989496058,0.5568332743797886
8,0.5375149733202657,0.5028332157779069,0.02582338536603015,0.7439942478306214,0.5260342233952487
9,0.5223783077425678,0.5125143672902376,0.030462285927956065,0.7173785822082286,0.490447662746394
