gene,stats,fdr,log2(old/young),DEG,-log10(fdr)
Nrgn,0.21955743369282205,0.9176255488997007,-0.056273278,0,0.037334503136767845
Siae,5.339912223773444,0.11355653875138823,0.09936065,0,0.9447878534135408
Spa17,8.058138918106119,0.03586965423693179,0.9751068,0,1.4452728096556842
Tbrg1,2.553792915337821,0.36233626272109143,0.47865608,0,0.4408881994692577
Vwa5a,0.10590044100574135,0.9603986280584451,0.07062412,0,0.017548469009712863
AW551984,3.751775926089841,0.2202847511710139,-0.632501,0,0.6570155650893312
Zfp202,5.790095973643734,0.09412655777971171,-0.13587745,0,1.0262878232264674
Scn3b,14.323930541251748,0.0024650848064473804,-0.20430136,0,2.6081681350729293
Gramd1b,14.034124310278578,0.0027889569307098017,-0.13559817,0,2.5545581924028276
1700110K17Rik,0.8280939792986416,0.7229042256050834,-0.100346945,0,0.1409192366562581
Clmp,42.39194116055819,3.063299727462232e-08,-0.39203593,-1,7.513810507726729
Gm16095,7.345266065401861,0.04869878475129057,2.2124968,0,1.3124818762061818
Hspa8,54.47094957090671,2.2004975826125645e-10,-0.56866884,-1,9.657479104201059
Crtam,1.1909355972606825,0.627675294816257,1.5871212,0,0.20226496476353711
Ubash3b,7.545787310320325,0.044704209158354345,-0.06184086,0,1.3496515836200764
1700063D05Rik,1.5647167256330243,0.5402919359670143,-1.0098774,0,0.2673715143989181
Sorl1,26.797673381735393,1.4182526630097868e-05,0.02301995,0,4.848246392300986
Gm16214,1.1408751953550647,0.6394224032282031,-0.3872803,0,0.19421215156771354
Sc5d,14.243626913613372,0.0025532459803213514,-0.40721586,0,2.592907343147124
Tecta,0.34187444341652934,0.8747342586778265,-0.17281927,0,0.0581238641418488
Tbcel,23.6315179011532,5.043181219502266e-05,0.042244673,0,4.297295425809576
Grik4,35.96387051109534,3.8525389751396793e-07,-0.10485013,0,6.414252958942451
Arhgef12,27.877240916988303,9.238247803575964e-06,0.020256164,0,5.034410392567687
Tmem136,20.844373928012455,0.00015770312000185023,-0.30630887,0,3.802159714494919
Oaf,3.6003929820873637,0.23473282720284694,0.76860344,0,0.6294261704094434
Thy1,48.8770009590746,2.4126968180047403e-09,-0.57236785,-1,8.61749724855956
Usp2,34.75033985771992,6.188680585860279e-07,-0.24016128,0,6.208401931813262
Rnf26,4.7229188032240765,0.14712955169715455,-0.03263951,0,0.8323000883192497
Gm26737,2.6438133616556962,0.34892484461510564,-1.5275329,0,0.4572681062323175
Cbl,26.40576412019124,1.6574220705794756e-05,-0.13065533,0,4.78056688229752
Nlrx1,2.5110184796808537,0.3682780972435275,1.1309788,0,0.4338241093534274
Abcg4,21.391446834979586,0.00012734715805220323,-0.051402666,0,3.8950107425418885
Hinfp,19.046957630677117,0.00033198429703587936,-0.06711963,0,3.4788824580789512
C2cd2l,11.619539082668904,0.007851448552220886,-0.647651,0,2.105050210745193
Dpagt1,8.94472661122894,0.024457720761543837,0.1120298,0,1.6115840177333414
H2afx,6.2755880401454585,0.07671802428496056,0.42955387,0,1.1151025900551705
Hmbs,0.9353419141782945,0.6922518916907268,0.14893982,0,0.15973584880055824
Vps11,11.821928988027562,0.007222305574661265,-0.08114804,0,2.1413241405863315
Hyou1,19.990006277158365,0.0002245324579919712,-0.62467694,0,3.6487208693248525
Slc37a4,7.805462153685415,0.039974779614549226,-0.3630679,0,1.398213921889395
Trappc4,13.586579415520909,0.003375521288862996,-0.12221795,0,2.47165914864196
Rps25,14.153190667504251,0.002652982247710086,-0.4177867,0,2.576265656066425
Ccdc84,8.28351096750875,0.032570136489548,0.17538615,0,1.4871804214617363
C030014I23Rik,0.9978545003211904,0.6771349870738181,0.5203483,0,0.16932474594184443
Bcl9l,30.32023857575071,3.5193045087620685e-06,-0.50047,-1,5.453543154093038
Ddx6,24.73260510305449,3.234334057946456e-05,-0.051277116,0,4.490215126040545
Phldb1,8.882931724998041,0.025154115277266586,-0.551953,0,1.5993909531129555
Arcn1,37.909329216311335,1.788814370285664e-07,-0.23464064,0,6.747434724912466
Ift46,19.31939645579444,0.00029675250409110074,0.10549199,0,3.5276056076442766
Tmem25,13.039785124813045,0.00426360000890655,0.07451749,0,2.370223545555817
Ttc36,1.944616976921903,0.4614603608695857,-0.85576266,0,0.33586559863582854
