,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Meg3,1.9758615591081202e-67,0.374831512149571,0.998,1.0,5.13210281362742e-63,-1
AY036118,2.23419037808448e-50,-0.871688518510126,0.48,0.648,5.8030860880366405e-46,1
Atp1b1,8.42154372815912e-37,0.529125160247558,0.669,0.574,2.18741176795205e-32,-1
Snrnp70,1.64507805630683e-36,0.45300215911833,0.623,0.533,4.27292574345136e-32,-1
Agbl4,1.32363428148697e-31,-0.331425960601493,0.891,0.932,3.43800768273426e-27,1
Atp6v0c,2.61651886396587e-31,0.757536771101204,0.287,0.188,6.79614609726495e-27,-1
Xist,1.06968870328671e-29,-0.723533362368542,0.73,0.853,2.7784094379169103e-25,1
Pabpn1,6.9553042455044795e-28,0.417506036359984,0.485,0.41,1.8065707247273302e-23,-1
Slc25a3,4.50910529690658e-24,0.299661147781991,0.526,0.463,1.17119500981851e-19,0
Sgcz,2.56213212996742e-23,-0.62367787559119,0.5,0.654,6.654881994377371e-19,1
Tsix,4.8933901172676e-22,-1.4798013150943,0.101,0.234,1.27100914905909e-17,1
Mgat4c,3.99896574188802e-20,0.612629378892558,0.62,0.45,1.03869136179799e-15,-1
Pcsk1n,9.7297482180297e-20,0.445815420090693,0.27,0.219,2.52720480215103e-15,-1
Hspa8,1.33347997206451e-19,0.644016401171559,0.219,0.151,3.4635808794403702e-15,-1
Gria2,1.419107607557e-19,0.15744305266546,0.95,0.949,3.6859900998685605e-15,0
Las1l,2.48855089481341e-19,0.288525054441938,0.422,0.383,6.46376209418836e-15,0
Tmsb4x,2.22890604311228e-18,0.536960899960361,0.191,0.147,5.78936055637985e-14,-1
Nr3c2,2.3022635314494597e-18,-0.40257829152862,0.401,0.509,5.97989929658683e-14,1
Tshz3,3.77270356192326e-18,-0.555526810238867,0.302,0.366,9.79922023173947e-14,1
Maged1,4.18960894697385e-18,0.502833039986551,0.224,0.162,1.08820902788699e-13,-1
Ubb,4.29119634226641e-16,0.146927609357253,0.194,0.194,1.1145953379402799e-11,0
Syt11,5.44835298990508e-16,0.75167024855828,0.359,0.238,1.4151552055979498e-11,-1
Pabpc4,9.13704438177319e-16,0.530619293442868,0.213,0.161,2.3732559077217697e-11,-1
Immp2l,1.90619729679238e-15,-0.40165724035171,0.628,0.705,4.9511568586885394e-11,1
Smyd3,2.02148430494928e-15,-0.353684644286688,0.554,0.662,5.25060333367527e-11,1
Rps8,1.0731553329248801e-14,0.645216026431561,0.166,0.117,2.78741366173909e-10,-1
Galntl6,3.41674311423628e-14,-0.284432192595276,0.994,0.995,8.87464856491732e-10,0
Slc32a1,3.87596521309606e-14,0.849993359134594,0.133,0.074,1.0067432044495701e-09,-1
Mif,4.2815638046716996e-14,0.759230193859958,0.103,0.062,1.1120933826254301e-09,-1
Cox4i1,4.81295309099959e-14,0.34910736816171,0.259,0.224,1.2501164358562301e-09,-1
Ptprz1,5.94791250537898e-14,0.665375237245689,0.388,0.259,1.54491079414714e-09,-1
