cell_type,gene,DEG,pred,dmr,mcg_genebody,mch_genebody,atac,hic_loop,hic_abc_dmr,hic_abc_peak
L5_ET_CTX_Glut,Acaa2,0,0,0.12544349,0.05778572,0.3416015,0.123860575,0.012576467,0.12718125,0.21155101
L5_ET_CTX_Glut,Mybbp1a,0,-1,0.122741796,0.066216126,0.10717447,0.08056277,0.29177216,0.11161036,0.21992238
L5_ET_CTX_Glut,Skap2,0,0,0.08731913,0.062465936,0.41101286,0.10763409,0.26694816,0.01785309,0.046766713
L5_ET_CTX_Glut,Ptprd,0,1,0.21562476,0.1396007,0.083631374,0.23535031,0.22797509,0.024847435,0.07297045
L5_ET_CTX_Glut,Cog5,0,-1,0.10456246,0.113425,0.0854926,0.15430607,0.34733555,0.019090787,0.17578751
L5_ET_CTX_Glut,Cdc26,0,0,0.1777783,0.1561235,0.22356081,0.1593796,0.01782335,0.1558299,0.10950459
L5_ET_CTX_Glut,Nav2,-1,-1,0.12023924,0.04226664,0.22869095,0.1140598,0.30550876,0.11838593,0.07084871
L5_ET_CTX_Glut,Supt5,-1,-1,0.13367175,0.07765613,0.084849864,0.11680231,0.28232005,0.12397101,0.18072888
L5_ET_CTX_Glut,Ankrd13d,-1,-1,0.11168769,0.10530056,0.102689974,0.1337882,0.058092766,0.12335671,0.36508408
L5_ET_CTX_Glut,Faim2,-1,-1,0.19103248,0.15556875,0.14412183,0.19319217,0.01677472,0.16613415,0.13317588
L5_ET_CTX_Glut,Sars,-1,0,0.14090194,0.1214278,0.13778259,0.14517754,0.18621911,0.13595071,0.13254017
L5_ET_CTX_Glut,Celf5,-1,-1,0.082634345,0.13890184,0.06638573,0.08692024,0.25544018,0.07339875,0.29631892
L5_ET_CTX_Glut,Srrm3,-1,-1,0.11592511,0.060539115,0.09121361,0.13697214,0.37858716,0.10006962,0.11669313
L5_ET_CTX_Glut,Tcf12,1,0,0.06513189,0.034427285,0.36672983,0.0936378,0.18183547,0.10525846,0.15297931
L5_ET_CTX_Glut,Nisch,-1,-1,0.1145521,0.05274298,0.117123745,0.13137752,0.2952677,0.121642426,0.16729349
L5_ET_CTX_Glut,Srcap,-1,-1,0.13594896,0.061543148,0.07518367,0.13016605,0.38419953,0.13581285,0.07714579
L5_ET_CTX_Glut,Leng9,1,0,0.10993145,0.23021904,0.2044752,0.14338695,0.14756581,0.10993832,0.05448327
L5_ET_CTX_Glut,Cacng8,-1,-1,0.13752297,0.11719042,0.1244417,0.14172432,0.04946674,0.1752023,0.25445154
L5_ET_CTX_Glut,Cap2,-1,-1,0.088012524,0.048367493,0.08935545,0.12645428,0.3028552,0.16042805,0.18452701
L5_ET_CTX_Glut,Ckb,-1,-1,0.08541468,0.2439776,0.14842217,0.07429102,0.09884468,0.11404476,0.235005
L5_ET_CTX_Glut,Mical3,-1,0,0.10516855,0.112559676,0.12318078,0.13899197,0.32765564,0.12575561,0.0666878
L5_ET_CTX_Glut,Mafg,-1,-1,0.20809473,0.29117784,0.16689545,0.23073655,0.020862754,0.035791103,0.0464416
L5_ET_CTX_Glut,Pigk,1,-1,0.1343314,0.091046505,0.07851045,0.10838741,0.25755438,0.19773588,0.13243397
L5_ET_CTX_Glut,Fryl,-1,-1,0.1160951,0.086589634,0.13122836,0.1161865,0.407808,0.066844895,0.075247444
L5_ET_CTX_Glut,Ptpn9,-1,-1,0.1763997,0.14905182,0.12654752,0.11578167,0.017685136,0.13500749,0.2795267
L5_ET_CTX_Glut,Rab11fip3,-1,-1,0.0828343,0.07146565,0.067867845,0.12618282,0.3205169,0.14000966,0.19112273
L5_ET_CTX_Glut,Coro1a,-1,-1,0.08970779,0.055594523,0.124386996,0.08923124,0.29430223,0.12379439,0.22298291
L5_ET_CTX_Glut,Klhl29,-1,-1,0.09915174,0.07890545,0.09176892,0.14596954,0.37659422,0.06018798,0.1474223
L5_ET_CTX_Glut,Ppip5k1,-1,0,0.12524469,0.1847702,0.12486421,0.16110961,0.1383187,0.16560344,0.10008918
L5_ET_CTX_Glut,Thra,-1,-1,0.12116918,0.1385237,0.07277484,0.109856844,0.047832366,0.23122142,0.2786216
L5_ET_CTX_Glut,Ddx5,-1,-1,0.11637084,0.28676608,0.09480272,0.113971695,0.10074451,0.12572347,0.16162074
L5_ET_CTX_Glut,Fus,-1,-1,0.15412521,0.115404494,0.14430803,0.15299825,0.015451984,0.15229093,0.2654211
L5_ET_CTX_Glut,Armc9,-1,-1,0.08137399,0.050384764,0.15229824,0.10162491,0.34895852,0.14787926,0.11748037
L5_ET_CTX_Glut,Tecpr1,-1,-1,0.13853346,0.06541032,0.13389705,0.0909278,0.24548249,0.12062358,0.20512532
L5_ET_CTX_Glut,Sod2,1,0,0.19067411,0.10795794,0.20761965,0.18435675,0.019116232,0.19326957,0.09700572
L5_ET_CTX_Glut,Cyfip2,-1,-1,0.15461966,0.07375293,0.064521976,0.16368476,0.22385053,0.18071966,0.13885047
L5_ET_CTX_Glut,Kcna2,-1,-1,0.105629556,0.15907052,0.08835615,0.110202916,0.19100964,0.13500957,0.21072167
