,acc,bal_acc,igr,micro_roc_auc,micro_AP
0,0.529228855721393,0.58643670186965,0.1037338596078671,0.7277190815395969,0.45842287043951413
1,0.5398009950248757,0.6201936163296332,0.12274119216747646,0.7373283274625008,0.4696406488597101
2,0.5268967661691543,0.5607388114380297,0.08993867512641367,0.7182309179092875,0.45160107649655085
3,0.44340796019900497,0.5950869696843782,0.1128209103265556,0.6644112438333055,0.39525356014797686
4,0.5186567164179104,0.6015923412115247,0.11373988037046835,0.7290224520181277,0.46717922544083523
5,0.5346703980099502,0.60570571535239,0.10918474890968859,0.7391022613050265,0.47760305983634666
6,0.605410447761194,0.6028507153226197,0.11441106386898568,0.7866162473159699,0.54037400097477
7,0.5676305970149254,0.6148149743265812,0.11963176288441761,0.7700061401055978,0.5221356556200547
8,0.5125932835820896,0.5916196734737286,0.10753323668058438,0.7156231375673714,0.44941888756136017
9,0.5040422885572139,0.5982812164961131,0.11774588306138772,0.7119455341065197,0.4500303495874022
