,acc,bal_acc,igr,micro_roc_auc,micro_AP
0,0.53309265944645,0.4719674790791894,0.02030302586316153,0.7093524648800033,0.513760600974706
1,0.5227436823104693,0.4742647415070291,0.019374713015473867,0.7015607962222019,0.5102208614449434
2,0.5226233453670277,0.47739743220330716,0.020146224246250368,0.70133139939846,0.510097835814743
3,0.5425992779783394,0.4616990573677327,0.017499292128370956,0.7025176305930976,0.5185517117116332
4,0.569554753309266,0.4588675594397811,0.020246262363422925,0.7292107033267156,0.5505469739409168
5,0.5460890493381468,0.48640418575004635,0.02469168206894862,0.7044204639416358,0.5266423593506818
6,0.525150421179302,0.47745578008724504,0.02122364750526468,0.6986254726229834,0.501500585029236
7,0.4956678700361011,0.48104004397235195,0.020647705940120095,0.6715359722023109,0.4847197079247456
8,0.48724428399518654,0.4698889973241927,0.01948878165654182,0.6630183430573114,0.4608797740777057
9,0.47027677496991577,0.46484118643111305,0.01729591888907165,0.6573993752905246,0.45970033448214553
