,acc,bal_acc,igr,micro_roc_auc,micro_AP
0,0.48324947846361516,0.5029089823886853,0.04993140565752098,0.6945513303795229,0.4372696683825167
1,0.5415388391213646,0.5058100911858486,0.05017302986154137,0.7331654539310266,0.4833733327888725
2,0.505215363848325,0.4967918052454934,0.04928757959488791,0.7056802270619276,0.44739112385986635
3,0.4719597496625353,0.49544712795772067,0.04283422273528497,0.6742905191941337,0.4195806996832463
4,0.45195729537366547,0.5136901811670594,0.05346445798572445,0.6636424774547787,0.40877294827407706
5,0.505338078291815,0.5113389089088437,0.05469216538587054,0.7023782086254264,0.44475396460948496
6,0.498956927230335,0.5170538984607963,0.05546720999631117,0.7009666499368034,0.4429683561389726
7,0.5133145171186648,0.5144044101228938,0.05304714949194261,0.7118289939519353,0.4634548959384922
8,0.5261995336851147,0.5198288618740575,0.05604418249367417,0.7238706969549424,0.47743289691067414
9,0.48177690514173516,0.5055779433678199,0.04761963470271252,0.691175196123627,0.4349095962430166
