gene_name,gene_length.meta,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,rel_pos.DAR,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DMR,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.min.atac,9mo.2mo.log_ratio.mean.atac,DEG,pred
St6galnac3,0.3883256792416796,0.003418574910610914,0.008648261758498848,0.003097075894474983,0.007190531510859728,-0.009783052108250558,-0.047397201075218616,-0.09647358994465322,-0.031162737673148512,0.0006564391497522593,-0.09407685802318155,-0.021769234519451855,-0.03811188143154141,0.01110914308577776,-0.11346484743990004,-0.24145675844047218,0.0067717466712929305,-0.003682086728513241,-0.04779528916813433,-0.17649983687326312,0.019397475328296422,-0.02754670275375247,1.0,0.0
Nap1l1,-0.08169238253496587,0.0015465997904539107,-0.010335000646300614,-6.360737606883048e-05,8.309494704008103e-05,0.0005363297578878701,-0.013575487234629691,-0.07343629078473896,-0.03828016572864726,-0.006721336194314063,-0.07643634810112417,-0.02665096178185195,-0.07406851596548222,-0.033453902788460256,-0.0066755182668566705,0.15440130490809678,0.038921996387653056,0.016977001244667916,-0.07788353839889169,-0.13788601608481257,-0.05018194844946265,-0.0597881079185754,1.0,1.0
AI987944,-0.19980203943327068,-0.020007110862061382,-0.028722439436241986,-0.016176566611975432,-4.976935684680939e-05,0.0009932032786309718,0.02534955048933625,-0.06840706327464431,-0.041745315208099786,0.03607010690495372,-0.022108278311789034,0.07172426918987185,-0.06736177029088139,0.009030537474900483,0.1010534272273071,0.05524958633352071,-0.02551508569624275,-0.07329081069678069,-0.020733521822839975,0.0047417747136205435,0.039942671591416,0.0012881433268194086,1.0,1.0
Ephb1,0.5549097236059606,0.008961793538182973,0.009466561716981231,0.00338034869171679,8.309494704008103e-05,0.001340824398212135,-0.06293590848334134,-0.09484021523967386,-0.02298632922116667,0.0003454616433009505,-0.05777050470001996,-0.01733259772416204,-0.061341705787926915,0.01110914308577776,-0.12439542723586783,0.25890788457356395,-0.007022809374611825,0.12708410817664118,-0.033870018096640704,-0.0714195835753344,0.10566588185727596,-0.004420351097360253,1.0,2.0
Acvr1,0.3010676959622651,0.0036227089166641236,-0.013364936006255448,-0.0020985355461016295,0.0006145521067082882,0.001340824398212135,-0.05498995787929743,0.07067468071356416,0.08339812498539687,-0.03593617006205022,-0.06726224453188479,-0.07173363988753408,0.0032498679211130366,0.004529631286859512,-0.14057526748627425,-0.3147751864977181,-0.08532047095824964,0.0047722577629610895,-0.054368886016309265,-0.21881776445079595,0.012568382052704693,-0.04338634731713682,1.0,0.0
Pfdn1,0.43434870892204347,0.02364227529615164,0.01374133124947548,0.00338034869171679,8.309494704008103e-05,0.005561938192695379,0.04278135614469648,-0.08489077128469943,-0.02783114586956799,0.05777024069800973,-0.021438166974112393,-0.010143517856486142,-0.060651787454262376,0.014372634068131447,0.3242895008204505,0.17248497219756245,0.0010732202348299324,-0.0014551037549972534,-0.01293031107634306,-0.026860891203396024,0.06966199467889965,-0.0014966597594320773,1.0,2.0
Ap1s2,-0.020237463545054197,0.000792851522564888,0.003931369706988335,0.0018301827646791935,0.0006145521067082882,0.0019864065293222666,0.023407128741964697,-0.08081980080809444,-0.052594059058465065,0.07801163272932171,-0.029281672220677138,0.001015210566110909,0.02190137034340296,0.009142837990075349,-0.05440535283414647,0.011956824499648064,0.042290237946435806,-0.055746266888454556,-0.07158811348490417,0.21640004916116595,0.05720315515063703,-0.0303588130697608,1.0,1.0
Blm,0.6526490771351382,0.02364227529615164,0.01374133124947548,-0.0012386015802621842,0.001146009285002947,0.005561938192695379,0.04252813197672367,0.06633615154307336,-0.01864849189762026,0.06470869353041053,-0.006084023206494748,0.014500099713914097,-0.013444408969953657,0.015944841280579568,0.24249414203339256,0.1608130943821743,0.021241395350079982,0.016443547159433365,0.06667790135368705,-0.05961680030450225,0.10662504223175347,0.04600685914978385,1.0,2.0
Pqbp1,-1.3754184468323365,0.0029599638003855945,0.01952667547389865,-0.0012469141464680434,-0.01021264661103487,-0.0044626208301633595,0.018566150665283204,-0.04632849690970033,-0.03376485732616857,0.03430732210166752,-0.01495240123127587,0.05981574457138777,-0.02450591096421704,0.008974387217313052,0.1047360296593979,0.05913539181929082,0.027804394336417317,-0.058574191853404046,-0.018500952618196606,0.04930655563250184,0.012019913946278393,-0.0022377652674913408,1.0,0.0
Pygo1,-0.038671352909877894,0.0012011195346713066,0.008364651026204229,-0.012151686414144934,0.0006145521067082882,0.0019864065293222666,0.01975082490593195,-0.06910608594771475,-0.052846625195816156,0.02912370563019067,-0.04607380201108754,-0.0705849386472255,0.023575676748296245,-0.10136836186051369,-0.1510072125401348,-0.388563502850011,-0.09664350776001811,-0.05881519311107695,-0.03497313618659973,-0.17221230905037374,-0.04623391076922417,-0.048910663570277395,1.0,0.0
