gene_name,gene_length.meta,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,rel_pos.DAR,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DMR,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.min.atac,9mo.2mo.log_ratio.mean.atac
Bora,28318.0,0.0,0.0,0.0,0.0473372781065088,-0.49523574059645,0.0,-0.0001501307419999,0.00012779191,20.78217391591277,0.0006429461982543,0.0318370261074751,0.0332329321286239,-0.0013959060211488,0.0279836771988668,-0.0077227212128529,-0.1058493836732879,-0.0495113155014919,-0.3208228615632683,-0.49523574059645,-0.458549265639124,-0.2149734778899803
Drosha,110476.0,0.0,0.0,0.0,0.0,0.0,0.2593866287826789,0.0,0.0,0.0,0.0,0.0116123041318312,0.0098327179116412,0.00177958622019,-0.0618530237243726,-0.0814297078711006,-0.0060633945479573,0.265530393762734,-0.2319522827295884,-0.5819930799556572,-0.4262547602570806,-0.225888888181631
Snx14,62208.0,-0.1025556802570966,-0.2223924213347308,0.1331042477929815,0.0,0.0,0.0,0.0014749528714285,-0.0013059250571428,17.10255731280387,0.0011731790328399,-0.0176376877767756,-0.0095105112147721,-0.0081271765620034,0.0240819902197563,0.0709032374035264,-0.0138663343412056,0.351026614000788,-0.117597019107694,-0.3449538826168236,-0.3408620939979389,-0.1037306847664883
2810405F17Rik,1116.0,0.0992380309923524,0.584962500716347,0.0161266682887211,0.0,0.0,0.0,0.000931598885,0.0002193309599999,17.877099933189342,0.0016768831115107,0.0057203027781431,0.0507964623254657,-0.0450761595473225,-0.0109975347324484,-0.0387887441986092,-0.1325756620885128,0.1684108906727604,0.1302581367914696,0.234057030674613,-0.1419516477644342,0.2628337988799824
St6galnac3,526908.0,-0.1398982828142614,0.0,0.0,0.4461725900732731,-0.487823698940133,0.5767354746561597,0.0007025765439501,-0.0002440882329313,16.606847680904618,0.0009712949161788,0.0118192625191369,0.0137853561170481,-0.0019660935979112,0.0022668679607982,0.0175642341575695,-0.0342551291510968,0.484651178114016,-0.0396411792303167,-0.7123802930601102,-1.0079792693700893,-0.0053860500792199
Nap1l1,24927.0,-0.317055081613053,0.8073549220421463,0.136997402486025,0.0,0.0,0.5510151686913072,0.0006536013390243,0.0002506627292682,17.27314163662151,0.000818496513368,0.0275138666187765,0.0149480657475983,0.0125658008711782,0.0608742325865386,-0.0010077594247235,0.0029468428415538,0.3375118075592354,-0.1852195883747849,-0.4004193305627737,-0.1881809765890914,-0.1881664312163387
AI987944,20456.0,0.2833178652627657,-0.1520030934434468,0.1325896944767672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0139653797273344,0.0170987488685734,-0.0310641285959078,-0.0590941870821082,-0.062363270104468,0.0117474188097053,-0.081932793207927,-0.081932793207927,-0.0936802120176323,0.0117474188097053,-0.0936802120176323
Polr2b,39177.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001388240683333,-0.0001092430783333,22.133477019870853,0.0002523418160528,0.0369045463056194,0.0491582748704362,-0.0122537285648168,0.0540259130111002,0.0175465946181865,-0.0993430209898221,-0.1008646092086619,-0.2868384323322278,-0.5462580486402953,-0.1597322294491032,-0.1874954113424057
Txn1,13038.0,-0.1864790383611523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0184703731547012,0.0083746051252633,0.0100957680294378,0.0258442214872496,-0.0796448286880681,-0.0720955194575484,0.1278481970423375,-0.0264453671754967,-0.2016927278885614,-0.1687549392567278,0.0456501522820516
Aprt,2274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010903577,-0.0003279533,17.535639892993036,0.0,-0.0083342177256556,-0.0121747921340393,0.0038405744083837,-0.0414221724345583,-0.0510877719638623,-0.0965804931464102,0.5366890188329037,0.2229987990630508,0.2181753014668939,-0.2522966147576857,0.3195792922094611
