gene_name,gene_length.meta,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_DMR,9mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,count.enhancer_DMR,18mo.9mo.activity.log_ratio.median.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.9mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.count.0-5kb.enhancer_peak,18mo.9mo.contact.log_ratio.count.5kb-20kb.enhancer_peak,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_peak,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,18mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.DAR,rel_pos.DAR,count.DAR,18mo.9mo.log_ratio.DAR,count.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,9mo.2mo.log_ratio.DMR,rel_pos.DMR,18mo.2mo.Q.min.loops,9mo.2mo.Q.std.loops,18mo.2mo.T.mean.loops,18mo.2mo.Q.std.loops,count.loops,18mo.2mo.Q.median.loops,18mo.9mo.Q.min.loops,loop_size.log.min.loops,Qanova.std.loops,min_distance.log.std.loops,18mo.9mo.T.median.loops,loop_size.log.mean.loops,min_distance.log.max.loops,loop_size.log.median.loops,18mo.2mo.T.min.loops,18mo.9mo.T.mean.loops,9mo.2mo.Q.min.loops,Tanova.median.loops,18mo.2mo.T.std.loops,Tanova.mean.loops,loop_size.log.max.loops,Tanova.std.loops,18mo.9mo.T.min.loops,18mo.9mo.Q.std.loops,18mo.2mo.T.median.loops,9mo.2mo.Q.mean.loops,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,18mo.9mo.log_ratio.max.atac,count.atac,18mo.9mo.log_ratio.std.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.mean.atac,log2_distance.max.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.min.atac,18mo.9mo.log_ratio.mean.atac,log2_distance.min.atac,18mo.2mo.log_ratio.min.atac,18mo.2mo.log_ratio.std.atac
Sorbs2,320118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0288344582986588,-0.210429355305032,0.0,0.1219898907984062,-0.4289150338349774,0.0311924422952196,-0.0435899589018218,0.0353841059318534,0.0,0.0771403851936023,0.0,0.0,0.1219898907984062,-0.0907974485031866,0.1668393964032102,-0.4289150338349774,0.7104933828024649,-0.4289150338349774,0.0311924422952196,-0.0907974485031866,-0.4384374765713653,-0.2056337746654137,0.5299418243063524,19,-0.2328037019059516,5,6.151703591148816,-0.9515053452663844,-0.4073447503300467,-0.5441605949363378,0.4016919763789731,-0.0014835809999999,0.0010273034779983,0.0522468457227642,0.0013356041255318,246,0.0012059917999999,-0.0011939715,13.498849206531723,1.7475672791688948,0.5965051114568053,0.04189917,15.999051447645783,16.87380454899013,16.181191088573822,-0.17126627,0.0420497510479674,-0.0029073784999999,1.3485657,0.0853866701241531,1.6342960772747968,17.196410020763704,1.2763369448421082,-0.1435650986999999,0.0012048642070897,0.061981465,-8.152586178861785e-05,-0.0029862608846512,-0.0074232404697694,-0.0104095013544207,0.0393004856792474,-0.0248397397758564,0.0144607459033909,0.5670602515473524,0.1984249204825423,0.6762985950932627,54,0.4201245044257005,15.716147677739173,0.3117429152085858,-0.1789940768929912,16.988695780287593,1.7657689844920303,-0.242494384989926,-0.8187915837357487,-1.2675866405831246,-0.0635003080969347,10.249113452713846,-0.7346876720623738,0.2552150636820877
Ttll12,20067.0,0.0054614701224149,0.0,2.0,0.0700265752455839,0.0,0.0257780379700646,2.0,0.2537565922448879,3,0.0257780379700646,-0.059103635000754,0.2537565922448879,2.0,-0.1768777620833557,0.0,0.0,1.0,0.0,0.6243689217337711,0.1024030981177874,0.0309332070741636,-0.017426148597575,0.138633884015408,0.3931443128095495,0.179345852482903,0.0972296740820154,1.0,-0.017426148597575,1.0,1.0,-0.017426148597575,0.3633860099257793,-0.017426148597575,0.138633884015408,0.415037499274836,0.138633884015408,0.3931443128095495,0.3633860099257793,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0009766867,0.0003976216648279,0.0041395945,0.0011768152202959,8,-0.00020923405,-0.0002933909999999,15.488153956630583,2.003374153350093,0.1924265591236447,-0.005577815,18.08150052599775,14.066509690924445,18.38265007971749,-0.0678963299999999,0.0029296807499999,-0.00110276777,0.7109798350000001,0.0470703776218327,0.6799958858749999,19.987769177809227,0.517321079440803,-0.0612187299999999,0.0009281264155435,0.007647155,-0.00029947509625,0.027194946809941,-0.022777039526053,0.0044179072838879,0.0372758697898872,-0.0499744277077769,-0.0126985579178896,0.1671263008707981,0.2165677098782654,0.1496857985223192,2,0.0708834876018574,11.267544880316583,0.1671367890773642,0.0489427439284482,11.416797527606112,0.2110751180169383,0.1485063476933414,-0.0692408130139017,0.0494414090074672,0.0995636037648932,11.118292233027056,0.0804449855084175,0.0962533014755068
Ccdc162,177788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1620450989858239,-0.1620450989858239,0.0,0.1126216375445469,0.0,-0.0616691891112508,-0.1372983336089976,0.0,0.0,-0.0414567466457045,0.0,0.0,0.1307189686070091,-0.1620450989858239,0.2305053596098738,0.0,0.0,0.0,-0.0616691891112508,-0.1620450989858239,0.0,0.0,0.0,0,0.0,4,3.4359982152802435,-0.7803313689522278,-0.5397525693092804,-0.2405787996429473,0.5019876299769567,-0.0012720625999999,0.0007673803252673,0.0123581697474903,0.0014867922784763,259,3.80354999999998e-05,-0.0015643162,13.819181178959626,2.269782160739346,0.7831571004432772,0.0123337799999999,17.843345451528023,16.507330098864127,18.91865945897593,-0.187801797,0.0110031612911196,-0.0014030741999999,1.8063574,0.0970952323420347,2.058454337999614,19.99582510567728,1.4929196364310806,-0.1775499159999999,0.0011068222751533,0.0182662499999999,9.327296332046334e-05,-0.0028312842092929,-0.018308627616535,-0.0211399118258279,-0.0102059760262804,0.0289081781951816,0.0187022021689011,0.4252667367173341,0.4664727745937905,0.633229873216399,10,0.3056360694988839,14.621741891572968,0.3792926487966161,0.0667162590581336,16.226167558167262,1.1943084558573973,0.0810504823672216,-0.8190065833138813,-0.5631673394633061,0.0143342233090879,12.079484783826848,-0.1857767100974824,0.2050003749883187
Emid1,45992.0,0.1211554205020439,0.0,2.0,0.1901065170292613,0.0,-0.1540917584565226,2.0,0.2094533656283408,4,-0.1323428195943223,0.0522043239748265,0.2094533656283408,3.0,0.2094533656283408,0.0,0.0,0.0,0.0,0.2198692120812855,0.2198692120812855,0.173798254644006,-0.044478058219183,0.1094249400400484,0.232925870105636,0.1753911538621024,0.0,3.0,-0.044478058219183,0.0,3.0,-0.044478058219183,0.2198692120812855,-0.044478058219183,0.1938419149490156,-0.415037499274836,0.1094249400400484,0.232925870105636,0.2198692120812855,0.3315317649756748,0.360007289470627,0.2120539286285805,1,-0.0284755244949521,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004507489145697,0.0058125881568989,0.0053618392423291,-0.0059687108572747,0.015818259741156,0.0098495488838813,0.8662771584982536,0.3315317649756748,-0.0284755244949521,3,0.4781369865302555,12.670728310781476,0.5040872745773433,0.3614634039780007,13.461607340113776,1.29294288592504,-0.0325801991680331,-0.1418942360348782,-0.9351361168225888,-0.394043603146034,11.178664851006534,-0.3604134041554394,0.3473962298952196
Zfp719,13625.0,-0.0028884097139857,0.0,4.0,0.1121907253383576,0.0,-0.0934309392382058,4.0,-0.4150374992773411,8,-0.1059272118430396,-0.1636006369755395,-0.4150374992773411,3.0,0.7279204545614126,0.0,0.0,1.0,1.0,0.2451922764574625,0.2451922764574625,0.1970680339568692,0.0491473329665015,0.3825203880056897,0.380573927776475,0.2943396094239641,0.0,3.0,0.0491473329665015,1.0,3.0,0.0491473329665015,0.2451922764574625,0.0491473329665015,0.4065606954752101,0.5849625007091332,0.3262157592396928,0.380573927776475,0.2451922764574625,0.3358908472639164,0.1574234743563876,0.1116595744680851,2,0.1784673729075288,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0105106408098897,-0.0042777772688195,-0.0147884180787092,0.0604196123412456,0.1498484611677837,0.2102680735090293,0.2063697142809237,0.351170570283327,0.2426933358514755,2,0.0908292278518013,10.930684138099648,0.0692204363284465,0.1574234743563876,11.115693952197075,0.2616433882687103,0.3358908472639164,0.1084772344318514,0.114241409963582,0.1784673729075288,10.745674324002218,0.3206111242445058,0.0216087915233548
Nrros,22809.0,0.0691793197534518,1.0,1.0,0.0691793197534518,-0.0768135875938692,-0.868168344570472,1.0,-0.5525410230272492,11,-0.868168344570472,0.0691793197534518,-0.5525410230272492,1.0,-0.0824621601915014,-0.0768135875938692,-0.0768135875938692,1.0,2.0,0.0828333251745676,-0.0654642110706715,0.0,0.0154159987735091,0.0,0.0604737730194435,-0.0091019756147106,0.3998344317116873,0.0,-0.0919353007892782,1.0,0.0,-0.0254294736875069,0.0218658580345496,0.1636127707973127,0.0,0.3561438102240126,0.0,0.0637303077901517,0.0482284599997528,0.0,0.0,0.0,0,0.0,3,4.209785540037003,-1.7243764200103266,-1.3496869387474948,-0.3746894812628318,0.5176371119151528,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0259726983897688,0.0106430812781519,-0.0153296171116169,-0.0123547102274452,0.0433391654957522,0.030984455268307,0.5191830497894447,0.4225294270440607,0.057983761935545,5,0.2062152323179392,12.65686847829825,0.1592783538068745,0.2826388237882549,13.69021628042205,1.1585132617575744,0.1687377706218484,0.1663227754792187,-0.4584699608131233,-0.1139010531664064,11.183015000882818,-0.2912513796412114,0.2701783292431532
Pdha1,16204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.0872885086031041,-0.2556195197702768,0.0,0.0849268120088544,0.0,-0.1081005899250895,-0.2726699539245594,1.0860708248932376,0.0,-0.1507649004089035,1.0,0.0,0.1197391276924975,-0.1549376939630122,0.245182887877621,0.0,1.5849625006249766,0.0,-0.1447780083234701,-0.1219050535156558,0.0,0.0,0.0,0,0.0,1,4.807354922062757,0.7432245845116221,0.4594316185670359,0.2837929659445861,0.3308255790932489,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024302714493658,0.0261294058360533,0.0504321203297114,0.0432861124878216,0.080201471631291,0.1234875841191127,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Polr1d,34547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0725163918313702,0.0725163918313702,0.0,0.108324417166628,0.0,0.3411980214057744,0.1808408089979982,0.0,0.0,0.108324417166628,2.0,0.0,0.108324417166628,0.0725163918313702,0.108324417166628,0.0,-0.5849625007131416,0.0,0.3411980214057744,0.0725163918313702,0.0,0.0,0.0,0,0.0,1,6.247927513445484,-0.4739311882576058,-0.2451124977947867,-0.2288186904628191,0.8327895382527212,-0.0007753913,0.0008211908710289,0.0322677382,0.0012590906365208,54,0.0007175959,-0.0008099931999999,14.951694513305444,2.393619158890435,0.3957815246609401,0.0231857574999999,17.51257226479867,14.606752195111984,17.346150045808322,-0.086026228,0.0204124436611111,-0.002530201,0.70766315,0.0537466463336241,1.0626556558462965,19.4808710443967,0.927085296315444,-0.105801628,0.0014611970759243,0.03370346,0.0001392256166666,0.0246208366891978,-0.0114462383536126,0.0131745983355851,0.0355697618032229,0.0194746121421758,0.0550443739453987,0.2129041671517595,0.1539383163888725,0.1935615094572331,5,0.1098911850848247,11.627817010572826,0.1861577207500852,0.0094260511134367,13.919328908186907,1.918870903409192,0.0598867969624059,-0.2770672437508439,-0.0589658507628869,0.0504607458489692,9.4283601727045,-0.0835057342936107,0.0909053271275907
Prelid1,4772.0,0.1535187422566112,0.0,2.0,0.2683436033015257,0.0,-0.0762600314852931,2.0,-0.3219280948863314,7,-0.0762600314852931,0.0386938812116967,-0.3219280948863314,2.0,0.1561192019168595,0.0,0.0,0.0,0.0,0.2952370340842263,0.0141699896579678,0.0836691863532554,-0.044546418668758,0.2482568460711216,0.0441500034960324,0.0395694960602783,0.0487840864372829,1.0,-0.2510870305881938,0.0,1.0,0.0171329910097357,0.1089029138830084,0.0399160031276002,0.2482568460711216,0.3625700793801285,0.2482568460711216,0.0831152526275182,0.0785004172497427,0.5862801070720527,0.2893421593589678,0.5006929046563193,2,0.2969379477130849,3,6.297701987677985,-1.2907353548138043,-0.8406462737000715,-0.4500890811137331,0.811529933481153,-0.0015598754,0.0010600207805947,-0.0675974929277777,0.0010214333496707,36,-0.0004639959999999,-0.0031798970999999,15.935579451756643,1.2287866989824845,0.0,-0.039066795,17.852815498450557,13.295625461192714,17.787923962573792,-0.210338272,-0.0376863204277777,-0.0022153196999999,1.06183485,0.0569542438919458,1.5035278573333333,19.28771237954945,1.4294506833579197,-0.13848853,0.0012707091718941,-0.0596430349999999,-0.0004647548555555,-0.0093761690992095,0.1028345894661156,0.0934584203669061,0.1198069806175419,0.054268950705671,0.1740759313232129,0.409929720563599,0.8703505324114951,0.6182132500366282,5,0.3301031755385552,10.680764877341147,0.1667347748308987,0.241541585058979,11.18363538147328,0.3962174759069797,0.5068982691365199,-0.0330433963615062,-0.0332021162735127,0.2653566840775408,10.071462362556758,0.1148529948369128,0.3452305071470467
Mpc2,20577.0,0.0,1.0,0.0,0.0,0.0480363514198882,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0480363514198882,0.0480363514198882,0.0,0.0,0.0096507862631747,-0.2968094838792967,0.0,0.0869709704993669,0.0,-0.0466248157937423,-0.2217951016807733,0.5950517669013601,0.0,-0.0240043616586369,0.0,0.0,0.1054729656582913,-0.1534797162280323,0.1484554065290333,0.0,0.6780719051018176,0.0,-0.0578229253674015,-0.1769570979334114,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0006013136999999,0.0011954843096536,0.0763073725,0.001159910449924,16,0.0029537128499999,8.746099999999962e-05,15.47113537274074,2.6468123915268484,0.4015845210040991,0.1220348399999999,16.216544910220183,14.382826638054905,16.228328353696224,-0.0391952299999999,0.1080001554999999,-0.0023831844999999,1.72200775,0.0518569433289194,1.6756242603125,16.685830126668503,1.2529490190163326,-0.0372765099999999,0.0016956098281272,0.0923881599999999,-8.282331875000007e-05,-0.0161894793730879,0.1136781168524299,0.0974886374793419,0.0409653606648124,0.0060810713254765,0.047046431990289,-0.0817740165015412,0.387998716559863,0.4957263494246426,4,0.2331781402638438,11.140892166239844,0.0988225266599801,-0.1702619969495303,12.564387696052654,1.0178511348841397,-0.0176337489009004,-0.3012399686415783,-0.0111437824381148,0.1526282480486299,10.194756854422373,-0.2029220312285442,0.2742137700209446
