gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,18mo.9mo.log_ratio.DAR,rel_pos.DMR,count.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,9mo.2mo.log_ratio.DMR,distance.log2.DMR,min_distance.log.mean.loops,Tanova.median.loops,loop_size.log.mean.loops,min_distance.log.max.loops,18mo.2mo.T.std.loops,loop_size.log.median.loops,Tanova.mean.loops,loop_size.log.max.loops,9mo.2mo.Q.median.loops,18mo.2mo.T.max.loops,18mo.2mo.Q.max.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,log2_distance.min.atac,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,18mo.9mo.log_ratio.max.atac,count.atac,log2_distance.max.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.std.atac,DEG,pred
Adat1,0.23965105272829532,-0.04698379583656788,0.0,-0.018228679522871973,-0.005333727579563856,0.0,-0.01187232879921794,0.0,0.0075904992967844006,0.0,0.0,0.0,0.0,0.10987920612096787,0.0,-0.004491560067981482,0.0,0.04382031034678221,0.0,0.025825377777218817,0.0,0.0,0.0,0.0,0.02288810908794403,-0.10496593348681926,0.0,0.04485705964267254,0.007126958817243576,0.1801019986718893,0.019746406003832817,-0.08761319696903229,0.011523533537983894,-0.0015252668410539628,-0.02775892408564687,0.0,0.0,0.0,0.0,-0.0065460498631000515,0.0,0.0179329514503479,-0.05035282488912344,0.0,0.0,1.0,0.0
Acaa2,0.1496096883714199,-0.042179970853030685,0.0,0.006433651484549045,0.016590700345113875,0.0,0.031506389416754245,0.0,0.0075904992967844006,0.0,0.0,0.0,0.0,-0.03735231388360262,0.0,0.016590700345113875,0.0,0.016324115609750153,0.0,-0.04963838845491409,0.0,0.0,0.0,0.0,-0.07586110383272171,0.010245327055454254,0.0,-0.12766508668661117,-0.12235751815140247,0.12032025001943111,0.002937786281108856,0.0367514194175601,0.2584186620824039,0.010937577039003372,-0.0444176784902811,0.0,0.0,0.0,0.0,-0.015198140144348145,0.0,0.007196776568889618,-0.11818698339164257,0.0,0.0,1.0,1.0
Mrps18c,0.206393386349082,0.16305786494165658,0.0,0.006969789117574692,0.021475271647796036,0.0,-0.014355797246098518,0.0,-0.0565070504322648,0.0,0.0,0.0,0.0,0.08105968061834573,0.0,-0.0029475863557308912,0.0,0.016324115609750153,0.0,-0.02087830865755677,0.0,0.0,0.0,0.0,-0.07586110383272171,-0.10496593348681926,0.0,-0.12577618032693863,-0.012397726085036993,0.1105636321566999,0.005668778903782368,-0.11828221462666988,0.013547823335975408,0.016844710279256107,-0.050264884526841344,0.0,0.0,0.0,0.0,-0.024327854216098784,0.0,0.007196776568889618,0.019899256192147732,0.0,0.0,1.0,1.0
Chchd1,0.12245927471667528,-0.053885893076658246,0.0,0.023858124166727068,-0.005333727579563856,0.0,-0.000708253625780344,0.0,0.0075904992967844006,0.0,0.0,0.0,0.0,0.06222396597266197,0.0,-0.004491560067981482,0.0,0.008904063072986902,0.0,-0.04963838845491409,0.0,0.0,0.0,0.0,-0.02899947017431259,-0.03257315259426832,0.0,-0.04441595921292901,-0.03357743611559272,0.10754757875576615,-0.02772489661350846,0.15416078090667726,-0.17454280119389295,-0.001722367350012064,-0.02362913839519024,0.0,0.0,0.0,0.0,-0.008811812344938517,0.0,0.004388853921554982,0.09632762931287289,0.0,0.0,1.0,0.0
Oxsr1,0.20694574348628522,-0.04619738813489675,0.0,0.003216825798153877,-0.005333727579563856,0.0,0.00031465249136090277,0.0,0.0075904992967844006,0.0,0.0,0.0,0.0,0.10085838213562966,0.0,-0.004491560067981482,0.0,0.013104092804715037,0.0,0.011068019047379495,0.0,0.0,0.0,0.0,0.010382235050201416,0.19253360610455275,0.0,0.016994599271565675,0.007126958817243576,-0.39137116868048905,0.06698631938546896,-0.01759138822555542,0.05793264355510473,-0.0015252668410539628,-0.015905002001672983,0.0,0.0,0.0,0.0,-0.0032885346468538045,0.0,0.006370916962623596,-0.04985998760908842,0.0,0.0,1.0,1.0
Nle1,0.2683317518979311,-0.023392120711505413,0.0,0.023858124166727068,-0.005333727579563856,0.0,0.002589024994522333,0.0,0.0075904992967844006,0.0,0.0,0.0,0.0,0.10987920612096787,0.0,-0.004491560067981482,0.0,0.04382031034678221,0.0,0.025825377777218817,0.0,0.0,0.0,0.0,0.02288810908794403,-0.05279662739485502,0.0,0.04485705964267254,0.006898606605827809,0.1801019986718893,0.01213571134954691,0.17196036465466022,0.05925997532904148,0.0016283439844846726,-0.02775892408564687,0.0,0.0,0.0,0.0,-0.0065460498631000515,0.0,0.0179329514503479,0.2080588560178876,0.0,0.0,1.0,1.0
Tbc1d2,0.13708207924850285,-0.04342703055590391,0.0,0.006433651484549045,-0.0075795076601207255,0.0,0.010946093406528235,0.0,0.0075904992967844006,0.0,0.0,0.0,0.0,-0.03444293037056923,0.0,-0.004491560067981482,0.0,-0.022484159236773847,0.0,-0.04963838845491409,0.0,0.0,0.0,0.0,-0.07586110383272171,0.09029690537601709,0.0,0.01229624149389565,0.03186722844839096,0.16003525465726853,0.037928380742669104,0.02450237564742565,0.3716767773404717,0.01777885714545846,0.12806565000209957,0.0,0.0,0.0,0.0,-0.0032885346468538045,0.0,0.007196776568889618,-0.05947774510830641,0.0,0.0,1.0,1.0
Ube2i,0.2754007076472044,-0.023392120711505413,0.0,0.023858124166727068,-0.005333727579563856,0.0,0.002589024994522333,0.0,0.0075904992967844006,0.0,0.0,0.0,0.0,0.10987920612096787,0.0,-0.004491560067981482,0.0,0.04382031034678221,0.0,0.025825377777218817,0.0,0.0,0.0,0.0,0.02288810908794403,0.06695723973214626,0.0,0.04485705964267254,0.006898606605827809,0.1801019986718893,0.01919951621443033,0.06141340404748916,0.03592030961066484,0.0016283439844846726,-0.02775892408564687,0.0,0.0,0.0,0.0,-0.0065460498631000515,0.0,0.0179329514503479,0.2080588560178876,0.0,0.0,1.0,1.0
Prmt2,-0.02640237905085087,-0.05778392128646374,0.0,0.006969789117574692,-0.005333727579563856,0.0,-0.0014198333024978637,0.0,0.0075904992967844006,0.0,0.0,0.0,0.0,0.034608366712927816,0.0,-0.004491560067981482,0.0,-0.02226015765219927,0.0,-0.018782092928886412,0.0,0.0,0.0,0.0,0.010382235050201416,0.17049058862030506,0.0,0.012710569351911545,0.00257891483604908,-0.31123847637325525,0.01509072182700038,-0.04650238141417504,0.015395243261009455,-0.01855953587219119,-0.037774046771228316,0.0,0.0,0.0,0.0,-0.0032885346468538045,0.0,0.006370916962623596,-0.050076703131198885,0.0,0.0,1.0,0.0
Gm13830,0.2489302944391966,0.11935054112225771,0.0,0.006433651484549045,-0.005333727579563856,0.0,0.00027724960818886757,0.0,-0.0565070504322648,0.0,0.0,0.0,0.0,0.10987920612096787,0.0,-0.004491560067981482,0.0,0.04382031034678221,0.0,-0.02087830865755677,0.0,0.0,0.0,0.0,-0.07586110383272171,-0.03257315259426832,0.0,0.04485705964267254,-0.12235751815140247,0.14026731854304672,0.015592574216425419,0.07147314570844174,0.06343778301030398,0.0012341426312923432,-0.02775892408564687,0.0,0.0,0.0,0.0,-0.0065460498631000515,0.0,0.007196776568889618,-0.09673958234488964,0.0,0.0,1.0,0.0
