gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_DMR,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,18mo.9mo.log_ratio.DAR,rel_pos.DMR,count.DMR,size.log2.DMR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,9mo.2mo.log_ratio.DMR,distance.log2.DMR,min_distance.log.mean.loops,Tanova.median.loops,loop_size.log.mean.loops,min_distance.log.max.loops,18mo.2mo.T.std.loops,loop_size.log.median.loops,Tanova.mean.loops,loop_size.log.max.loops,9mo.2mo.Q.median.loops,18mo.2mo.T.max.loops,18mo.2mo.Q.max.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,log2_distance.min.atac,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,18mo.9mo.log_ratio.max.atac,count.atac,log2_distance.max.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.std.atac
Slc4a2,17113.0,-0.0342546153739943,-0.2739006132857247,0.0724875892921382,0.2013681713039572,0.1127321688271715,2,-0.1255308820827658,-0.0580515812742969,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,13.680485394007428,1.4682086,15.982036295820762,14.148714893173102,0.0555176579534297,15.75272037168704,1.50585596,17.147811088899928,-0.0001922185,-0.0232213,0.001990658,0.0282198173083119,0.0139521351572398,0.014267682151072,-0.021684042930701,-0.0605760828539484,-0.0822601257846494,-0.3512136818503858,10.591522346570828,0.3564621930585452,0.0398677562577871,0.1719116907195452,2,11.14593214582058,0.3920269286057711,-0.2390045525519922,0.394385001289088
Adat1,25394.0,-0.136523698845278,0.07593178756478,0.212455486410058,0.07593178756478,0.07593178756478,5,-1.8073549220060792,0.0174573588006407,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,14.090751090794123,0.874804645,16.290271571300444,14.568787428826925,0.0740966201070433,16.38295929016702,1.28497696375,16.75507012344033,-0.0013289650499999,0.0960302399999999,0.002376405,0.0104139952316861,0.010443363966422,-2.9368734735885083e-05,0.0538318501297701,0.0057502584994984,0.0595821086292685,-0.0621492955347302,10.737247343027825,0.4374885256639128,0.2682094439090675,0.3290346770590515,4,12.681018739902123,0.8397393768222098,0.0829299946968165,0.2062074037396049
Kcnk3,37101.0,-0.1407097043085644,-0.1007957148741354,0.1174408123081598,0.0119030997450931,-0.0444463075645211,1,-0.999999999981966,0.1458444987860772,0.0,0.0,0.3860827250608272,1,7.417852514886741,-1.6938968716879843,-0.8194277539904331,-0.8744691176975512,13.95383268214529,14.215062567401592,0.6231815,17.443134738424998,14.735027079802624,0.0753386261208211,18.492870263469545,0.7889770916521739,18.64138853730109,0.0005551669999999,0.17067937,0.004081866,-0.0060284718340375,-0.019599226428223,0.0135707545941854,-0.0805957534488638,-0.0239560288889037,-0.1045517823377676,-0.0384975299179204,10.552669097514368,0.3752324694358218,0.4104495684265732,0.3298640504931471,4,14.296199268514949,1.7003524103198902,0.232925377137257,0.1236042352399959
Spryd3,19706.0,0.0523727161665642,0.0489656738451768,0.1600619183745842,0.419384675859277,0.0615684971537053,5,-0.9999999999879776,0.2804174394657085,0.0,0.0,0.0530667341601282,1,3.5849625007331785,-1.473931187819454,-0.8744691175518242,-0.59946207026763,10.296916206879404,13.92889795372575,1.9152259,16.645110574642807,14.154343460243451,0.1235953480058153,16.40482085360211,2.413039765429166,19.79400964502097,-8.360715000000013e-05,0.17358348,0.002988648,-0.006834843890932,0.0406323168308523,-0.0474671607217843,0.0781549308740551,0.0304623776804202,0.1086173085544753,0.0908845408305785,11.11048330981629,0.2386363387825056,0.2271144228272295,0.1932909976164332,2,11.421012855779278,0.2195775477092075,0.199231163748119,0.0394328831528407
A730090N16Rik,24653.0,0.0,0.0,0.0,0.0,0.0,7,-2.3219280947719465,-0.1735912305242775,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,13.9272831070102,0.7807715550000001,17.75336333411952,14.387276906712646,0.0579281728743664,17.81548660043567,0.9574761107037036,19.163349935047844,-0.0003657098999999,0.11817826,0.002454304,0.0109164615039047,-0.0071883521950999,0.0181048136990046,-0.0507850656266,0.1080304503409408,0.0572453847143407,-0.2038845647689675,8.543031820255624,-0.220774898340256,-0.4246594631092235,-0.2038845647689675,1,8.543031820255624,0.0,-0.4246594631092235,0.0
Bmp1,45676.0,-0.0519472987399019,0.1940573056584604,0.0410896773975824,0.1940573056584604,0.1940573056584604,7,-0.7776075786549645,0.1831787815908389,0.0,0.0,0.8229080739593183,1,6.507794640200282,-0.673771767550841,-0.607682577103162,-0.066089190447679,13.103615656394563,13.924118526980552,1.2054356,16.420411325578776,14.977458818043004,0.0842383289555885,16.420334177991585,1.396534156875,19.288381724919827,-0.00098203,0.09799472,0.0024468339999999,-0.0108420706433385,0.0082222188562957,-0.0190642894996342,-0.0217726257695825,-0.016016868626188,-0.0377894943957706,0.0235221017054439,10.80896417491934,0.4152737918652729,0.2775473084894283,0.353071441644643,4,14.49247913020407,1.680062734932681,0.1506319758306495,0.0968144879996351
Gm11084,15168.0,-0.1215301962032204,-0.1822747733293619,-0.0607445771261414,-0.1822747733293619,-0.1822747733293619,4,-0.9999999999639329,-0.1252978227467628,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,13.929868210815291,1.0794345,17.37739851976319,14.254733389246674,0.0832022005944938,17.946312337767413,1.9800107921052632,18.782230395898218,0.000462234,0.214776644,0.0035489056,0.1246179423543047,0.0007474002184992,0.1238705421358054,0.011848013615887,0.0114292764904233,0.0232772901063103,0.0442747435856517,13.044906349096104,0.141911757747887,0.1235263336862253,0.210992999353305,3,13.17990909001495,0.0726143467882231,0.0700529115507917,0.0516908398174824
Acaa2,27011.0,0.0,-0.2222776595580022,0.0,0.282765384350538,0.2238385846676118,7,-0.7369655941469699,-0.0749014184419068,-0.0179019277259651,0.4682640757732477,0.1065140277329893,1,6.629356620081067,0.1634987322210497,2.807354918966115,-2.643856186745065,11.689561254285568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0291532277149089,-0.0156841110135549,0.0448373387284639,-0.093655113360823,0.071239052354815,-0.0224160610060079,0.2621619909201658,9.789533644970524,0.2982603214609676,0.551457070633609,0.4682640757732477,3,11.111787735801077,0.6611302717792031,0.4055709493565733,0.1726946035802659
Dna2,27159.0,0.0582619475006802,-0.0212942145285915,-0.0436597188591492,0.0504986718116536,0.0168953623115006,6,-2.169925001386208,-0.0710937466848989,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,14.073528317506048,1.2343423,17.162265037644094,14.60813929084344,0.087630079717287,17.095067301607052,1.5595227633333333,18.535837300913133,0.0001326184999999,0.1313173999999999,0.0056478885,0.0043053244655059,0.0141488745614522,-0.0098435500959463,0.0027596636312451,0.0259379632184068,0.0286976268496519,-0.3263443806806747,10.761551232444562,0.1805116306742458,-0.1458327500064289,-0.3263443806806747,1,10.761551232444562,0.0,-0.1458327500064289,0.0
Arrb1,71305.0,0.0,0.0,0.0292329558097623,0.0,0.0,4,-0.9068905956001028,0.0050062900906254,0.4196137211686959,0.5399344066968732,0.630329991368435,3,5.63723598804584,-0.8791433066614843,-0.8249933463817621,-0.0541499602797222,14.67655004748164,14.659675976391249,1.3715997,16.108361241411345,15.505997584098557,0.1015339527970323,15.73912133313569,1.7942499900000002,18.54494179997113,0.0005654431999999,0.30631956,0.006937122,-0.0324375761034056,-0.016652316423662,-0.0157852596797435,-0.0573208329516424,0.0010819955755848,-0.0562388373760576,-0.0103766887465365,10.018200178813364,0.8693506475935378,0.9595481278655692,0.5399344066968732,6,15.13000740287712,2.2932970450829644,0.3409740234652608,0.3768059412463339
Tceal1,3496.0,0.1221772250644029,-0.2138157457002627,0.0875657077308864,0.4249240198087507,-0.1284861979402698,4,-1.5849625006890964,-0.0662107384315797,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0648566249677642,0.0247222522044605,0.0401343727633037,0.0862103340376674,-0.012679569974232,0.0735307640634354,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Fam49a,118826.0,0.2002010928392786,0.2248518190901985,0.0246507262509199,0.2248518190901985,0.2248518190901985,5,-1.3219280948440812,-0.127655633348723,0.0,0.0,0.6955443241414312,4,5.3864724291798165,-1.254080965967968,-1.1531663567178676,-0.1009146092501003,14.986431047723183,15.382340569308216,1.1072011,18.34164354880565,16.060843672034636,0.1147451192188939,19.597474288260344,1.5431402914983472,19.872674880270605,-0.0002100920999999,0.2242385737,0.004596797,-0.0201602435923139,0.0112358995661839,-0.0313961431584979,0.0932702872513238,-0.1016195783645059,-0.0083492911131821,0.0724262030322257,11.639340708652275,-0.0248546883664599,-0.0472923817996746,0.2670689237569981,6,14.768132621763291,1.227515574830614,-0.2536995917249187,0.2083381973352573
Pold4,1735.0,-0.0231401806701529,-0.1464850878806196,-0.041457633334556,0.0749913581097622,-0.1222997122432694,11,-0.6520766965721987,0.2236130720256426,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,13.693489628432696,1.0935016,17.11241983003713,14.280408311258538,0.094093381900186,16.66993693502865,1.5214058941600002,18.3321064989079,-0.0003369159999999,0.20754891,0.002741225,0.0932734812434183,-0.0328757710822666,0.126149252325685,0.0660551527073686,-0.0246914403982266,0.0413637123091419,-0.4377221872299927,10.733015321686048,0.6492467541251266,0.4129114335211845,-0.236335320603942,2,11.186733289128927,0.3208270515250381,0.0290952632714897,0.5427980334252193
Zfp85os,27576.0,0.0,0.0,0.0,0.0,0.0,9,-0.4150374992668215,0.0987143035312919,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,14.075312006460443,3.8779244,16.356383190214547,14.075312006460443,0.0,16.356383190214547,3.8779244,16.356383190214547,-0.0008705166,0.156527,0.0029617314,0.0142662298255781,-0.0118702007079052,0.0261364305334834,0.1279619160174614,0.0757510586345333,0.2037129746519947,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Mrps18c,5844.0,0.1611190680420602,0.0761899647580793,0.053477302547039,0.2891555422382851,0.2784436047709335,3,-1.999999999891798,0.401864446401553,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0862945030368435,0.0807111971014131,0.0055833059354303,0.1035468770047263,0.1183367502545134,0.2218836272592397,0.2415620486941367,10.789533644970442,-0.2571455707690928,-0.015583522074956,0.2415620486941367,1,10.789533644970442,0.0,-0.015583522074956,0.0
Eaf1,15459.0,0.0,0.0,0.0,0.0,0.0,7,-1.584962500673066,0.1271430064309645,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,13.752677478877864,1.3942871,16.915976284492693,14.046527211152096,0.0819236262290708,16.8272930784824,1.9775061114634147,19.005482009355784,0.000746052,0.2317347399999999,0.007930456,0.0684246229499718,0.0023020244796693,0.0661225984703025,0.0340161809254524,0.0447055613205377,0.0787217422459901,-0.1348339501577471,10.290018846932734,0.2937199713989986,0.0020956451597087,0.0219564259237956,2,10.778898476008456,0.3456901009034077,-0.0072121939238688,0.0131632722683817
Cald1,176973.0,0.0,0.0,0.0,0.0,0.0,3,-0.5849625007091332,0.0216804473068201,-0.6674681425743008,-0.2787284526543638,0.7390605228404237,1,7.044394119359546,-1.2854022183304858,-0.2479275133012142,-1.0374747050292716,15.527202076085125,15.145157227679222,1.1641644,16.5000541145926,16.34948857713614,0.0891429164319203,16.376091465461208,1.4990457473907284,18.237373367791005,-1.2733000000000017e-05,0.207661712,0.004408543,-0.0043966185592163,6.112368111602096e-05,-0.0044577422403323,-0.0264569639603278,0.0797480426765251,0.0532910787161973,-0.4833735534943764,15.478548446573456,0.1994992492946927,-0.4885194050396962,-0.2787284526543638,2,16.05945009008776,0.410759491331376,-0.7173580001341804,0.3236266447770248
Chchd1,1419.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,13.428752724983042,0.70727797,17.252027358480973,13.428752724983042,0.0472700078909544,17.353641197665567,0.74798415,18.343237774808856,-0.0012779503,0.02163851,0.000638974,0.131206376535611,0.1135194230743608,0.0176869534612502,0.1558709030920732,-0.0162770630647809,0.1395938400272922,0.0252590485966255,10.760719947465706,0.1962123355006468,0.2214713840972724,0.0252590485966255,1,10.760719947465706,0.0,0.2214713840972724,0.0
Oxsr1,83995.0,0.0323058013495075,-0.1001475549747429,0.0597316682577658,0.1814789043345845,-0.0063575824710451,3,-0.5849625006971113,0.1413527100604497,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,14.406965931976991,2.3541591,16.43849073253045,15.709083812550343,0.0923668400004458,16.78422586042625,2.7594511204545458,19.33648258791638,-0.0006225849,0.207459257,0.0037423465,-0.0189867898635787,-0.0069123266226662,-0.0120744632409125,-0.0187364730325021,0.0641786422599635,0.0454421692274613,-0.0522025305535035,10.349834091457357,0.2538103691759992,0.2922549178880125,0.1434130465000125,3,11.304921669581727,0.480089026630595,0.0668744610543492,0.2011314668572588
5430405H02Rik,18612.0,0.0301963246710585,0.0,0.0,0.0,0.0,6,-1.2630344058169625,0.286654083434044,0.0,0.0,0.5050857951530161,1,3.807354922067909,-0.7369655940288066,-0.8744691177600052,0.1375035237311986,13.45005133727406,13.878529769715774,0.85704373,17.315669078457088,14.107298821634462,0.0740199854492641,17.762641313358195,1.242845588551923,18.645524749532893,0.0002074834999999,0.1769048299999999,0.004719789,-0.0110707650893404,0.0089757760931803,-0.0200465411825208,-0.0651065631990178,-0.026374667058073,-0.0914812302570908,-0.1162631605437076,8.8856963733397,0.9896448812833828,1.0237907162142024,0.1007470700493726,5,13.376668061857682,1.6080846460135725,0.4275255641410342,0.3751764378518264
Adam4,2503.0,0.0830979699764929,0.1320516668590217,0.1153315622697965,0.2664749886458253,0.1967619412340211,9,-0.9999999999278651,-0.0574185436190284,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,13.932308448844992,0.6437594,18.0244548214798,14.09036056834034,0.0731216357454107,17.901750772602043,0.959697166,19.342747474699564,-0.0001721812,0.2210498,0.00388406,-0.0337893193860889,-0.0179212795170667,-0.0158680398690222,0.011522840147618,0.0230377117866283,0.0345605519342463,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Htr2c,234764.0,0.0,0.0,0.0,0.0,0.0,11,-0.9999999999278651,-0.1147336517528699,0.0,0.0,0.2265123720493876,1,6.375039431348663,-0.4533656178780907,-0.4854268271068266,0.0320612092287359,15.722887560109644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0230963113296502,-0.0016862958470619,0.0247826071767122,-0.031236755032859,-0.010241830345778,-0.041478585378637,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Polm,10156.0,-0.004201369319897,-0.1399981164635822,-0.0932212552091064,-0.0548471325944247,-0.0974226245290034,9,-1.2630344058169625,0.2734549099793277,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,13.814988991499122,1.741172,16.09143394589994,13.95310515059134,0.0883957195076898,15.941013621691766,1.6844566116666666,16.800242693232406,0.0015409704,0.09934399,0.004503284,0.0005059655393475,0.0084446517715872,-0.0079386862322397,0.0565046556087243,-0.0993482424474031,-0.0428435868386787,0.2151784471605252,11.10983065427886,0.1016133129684964,0.3872979148925157,0.2856846019240193,2,11.419960177847942,0.2192946891618525,0.2631121709347681,0.1756251633584393
Add1,58644.0,-0.0541227479378102,-0.2526438297824802,0.2425281730794893,0.6294546800658385,0.1884054251416791,6,-0.4150374992668215,0.0190129217800151,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,14.193752626601498,0.894008025,16.894632142810792,15.226412192788786,0.0761312717263714,17.436288612287154,1.2265142942125,19.13910163916247,-0.0001051479,0.13096828,0.005122895,0.0116543574131627,0.0129419355879848,-0.0012875781748221,0.0996752351121582,0.0673930769469273,0.1670683120590855,0.0573014135693145,10.225207436943622,-0.0119156326600817,0.0843516240077395,0.1601241336850423,2,10.79197682089877,0.4007664747636069,0.0134573424006222,0.1002596545434827
Foxk2,49906.0,0.0,-0.0454440197776289,0.0,0.2924940810527889,0.0741227135408396,8,0.0,0.1497998156908396,0.0,0.0,0.3169777019255742,1,5.087462841254583,-0.1950159823811415,-0.3667823306290081,0.1717663482478666,14.060611501838766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0401625681488327,0.0307370093932901,0.0094255587555426,0.1573959458953217,-0.0426036073599817,0.1147923385353399,-0.0106246227789644,10.184875342908407,0.4450447459394926,0.4014992442497158,0.2205390600570993,4,12.682994583681705,1.0733611802272989,0.1456773962495883,0.2866563013285754
