gene_name,gene_length.meta,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,rel_pos.DAR,count.DAR,18mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,18mo.2mo.T.min.loops,18mo.9mo.Q.median.loops,18mo.9mo.Q.max.loops,Qanova.max.loops,9mo.2mo.Q.mean.loops,loop_size.log.mean.loops,min_distance.log.max.loops,18mo.2mo.T.std.loops,loop_size.log.median.loops,9mo.2mo.Q.median.loops,18mo.2mo.T.max.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,log2_distance.min.atac,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.std.atac,count.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.mean.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.std.atac,DEG,pred
Parp12,0.22216414242982865,0.0,0.0,0.0,-0.032125720977783205,0.0,0.10014205800369382,0.0,0.0,-0.19277304995805025,-0.02427810337394476,-0.0014256002008914948,0.0,0.01900216355919838,0.0,0.0,0.003712714910507202,-0.01564169652760029,0.0,-0.024107828736305237,0.04440298553556204,0.0,-0.0066408967971801755,0.0,0.5496967221796513,0.010389389269985259,0.0,-0.02231949537061155,-0.11923814743757248,0.0018605411052703858,-0.011044961884617805,0.0,0.0,0.005674550011754036,0.0,0.0,0.02018027029931545,-0.01097950279712677,0.037873982954770326,0.0,-0.0011391768231987954,0.007403245568275452,0.026695385426282883,-0.007379042394459248,1.0,1.0
Mecr,0.02809891534037888,0.0,0.0,0.0,0.0191053182259202,0.0,0.06285320466384292,0.0,0.0,-0.23053006947040558,-0.012423951178789139,-0.0015444002207368613,0.0,0.01900216355919838,0.0,0.0,0.003712714910507202,-0.008891539163887501,0.0,-0.013661102950572967,-0.007896128557622433,0.0,-0.017150048464536667,0.0,-0.160570326782763,-0.007974768257699907,0.0,0.011096704658120871,0.056774765998125074,0.0009302705526351929,0.03008484810590744,0.0,0.0,-0.042270415760576725,0.0,0.0,0.016882378086447717,0.005489751398563385,-0.3099701822921634,0.0,-0.1349373814277351,0.007403245568275452,-0.16432878687977792,0.12006022606045008,1.0,1.0
Nasp,0.0299060845002532,0.0,0.0,0.0,0.0191053182259202,0.0,-0.1144467793032527,0.0,0.0,-0.2730790836364031,-0.02427810337394476,-0.0033264004811644553,0.0,-0.041090388149023056,0.0,0.0,0.003712714910507202,-0.026031346917152406,0.0,-0.024107828736305237,0.005954918032512069,0.0,0.12996676065027712,0.0,-0.22738726627081632,-0.015455442108213901,0.0,0.017750080227851867,0.011897002290934324,0.0009302705526351929,-0.011044961884617805,0.0,0.0,0.004392765499651432,0.0,0.0,0.02018027029931545,-0.01097950279712677,0.0004262167029082775,0.0,-0.03811530891805887,0.007403245568275452,0.026695385426282883,-0.011145592518150806,1.0,1.0
Fbxo32,-0.002414211630821228,0.0,0.0,0.0,-0.006611198410391808,0.0,0.09938410187140106,0.0,0.0,-0.23441350065171718,-0.02427810337394476,-0.0015444002207368613,0.0,0.01900216355919838,0.0,0.0,0.003712714910507202,0.19131268410012126,0.0,-0.024107828736305237,-0.00899470567703247,0.0,-0.011430358737707138,0.0,-0.17172705519944428,0.010389389269985259,0.0,0.016001007463783027,0.04212996870279312,0.00018605411052703856,0.03008484810590744,0.0,0.0,0.00676129698753357,0.0,0.0,0.02018027029931545,0.005489751398563385,0.06277997296303511,0.0,-0.05704807292670012,0.007403245568275452,0.026695385426282883,-0.011145592518150806,1.0,1.0
Snapc3,-0.11267127258703112,0.0,0.0,0.0,-0.006611198410391808,0.0,-0.0342860172316432,0.0,0.0,-0.36740740954875944,-0.02427810337394476,-0.0033264004811644553,0.0,-0.00549684576690197,0.0,0.0,0.003712714910507202,-0.026031346917152406,0.0,0.005625160038471222,-0.00899470567703247,0.0,0.12948237992823125,0.0,-0.11484387269243598,-0.007794865500181913,0.0,-0.00119275257922709,-0.03963547006249428,0.00018605411052703856,0.08301929701119662,0.0,0.0,-0.03667167313396931,0.0,0.0,0.02018027029931545,0.005489751398563385,-0.0234295716509223,0.0,-0.12466655775904656,0.007403245568275452,0.019230589121580124,-0.011145592518150806,1.0,1.0
Flnb,-0.3717229336500168,0.0,0.0,0.0,-0.0045646031945943836,0.0,-0.07164694625884295,0.0,0.0,-0.29443973205983637,-0.03607461608946323,-0.0033264004811644553,0.0,-0.00549684576690197,0.0,0.0,0.003712714910507202,-0.016772330589592457,0.0,0.008571672439575195,-0.00899470567703247,0.0,-0.02381028339266777,0.0,-0.17041000204160808,-0.009753708969801664,0.0,-0.00119275257922709,0.0348682283051312,-0.002976865768432617,-0.03392766866832972,0.0,0.0,-0.05237948454916477,0.0,0.0,0.016882378086447717,0.005489751398563385,-0.047273466847836974,0.0,-0.0814850914478302,0.007403245568275452,0.012982067316770554,-0.004549807198345661,1.0,2.0
Aftph,-0.39805339235812426,0.0,0.0,0.0,-0.006611198410391808,0.0,-0.03640144249424338,0.0,0.0,-0.2837597380578518,-0.03607461608946323,-0.0033264004811644553,0.0,0.016039035022258757,0.0,0.0,0.003712714910507202,-0.030815087743103504,0.0,-0.024107828736305237,0.005954918032512069,0.0,-0.02381028339266777,0.0,-0.18964571004733444,-0.025297104083001613,0.0,-0.003482769224792719,-0.05287856267765165,0.00018605411052703856,-0.03392766866832972,0.0,0.0,0.00676129698753357,0.0,0.0,0.02018027029931545,0.005489751398563385,0.07379478018730878,0.0,-0.0846994686126709,0.007403245568275452,0.012982067316770554,-0.011145592518150806,1.0,1.0
Scp2,-0.3481474605575204,0.0,0.0,0.0,-0.032125720977783205,0.0,-0.06670530771836639,0.0,0.0,-0.28228841684758665,-0.03607461608946323,-0.0033264004811644553,0.0,0.016039035022258757,0.0,0.0,0.003712714910507202,-0.024783414527773856,0.0,-0.024107828736305237,-0.007739188969135284,0.0,-0.012211275100708009,0.0,0.07125020360574126,-0.008157223723828792,0.0,-0.00119275257922709,0.0348682283051312,0.0018605411052703858,-0.03392766866832972,0.0,0.0,-0.04939763236790896,0.0,0.0,0.02018027029931545,-0.01097950279712677,-0.03249161783605814,0.0,-0.031782312206923964,0.007403245568275452,0.012982067316770554,-0.007379042394459248,1.0,1.0
Osgepl1,0.7735074753686786,0.0,0.0,0.0,-0.0029131083190441134,0.0,0.11518010463565588,0.0,0.0,-0.18416282940655948,-0.02427810337394476,-0.0014256002008914948,0.0,-0.009323433190584183,0.0,0.0,0.003712714910507202,-0.0103154094517231,0.0,0.09107401967048645,-0.0036140169948339464,0.0,-0.01823990508913994,0.0,-0.09622597237117589,-0.00918353564105928,0.0,0.0012418226525187492,-0.2582150926068425,0.0,-0.011044961884617805,0.0,0.0,0.05032528892159462,0.0,0.0,0.02018027029931545,-0.01097950279712677,0.03422902334481478,0.0,0.006818030457943678,0.007403245568275452,0.026695385426282883,-0.007379042394459248,1.0,0.0
Fbxl3,0.07674504049122334,0.0,0.0,0.0,-0.006611198410391808,0.0,-0.0841429140791297,0.0,0.0,-0.25424893461167813,-0.02427810337394476,-0.0033264004811644553,0.0,-0.041090388149023056,0.0,0.0,0.003712714910507202,-0.016772330589592457,0.0,0.008571672439575195,-0.0055955640226602555,0.0,-0.017150048464536667,0.0,-0.1023759709019214,-0.03259532246738672,0.0,-0.02095117637887597,-0.05287856267765165,0.00018605411052703856,0.03008484810590744,0.0,0.0,0.00676129698753357,0.0,0.0,0.02018027029931545,-0.01097950279712677,0.02111126909032464,0.0,-0.03674636509269476,0.007403245568275452,0.026695385426282883,-0.011145592518150806,1.0,1.0
Ube2m,0.8064816003479064,0.0,0.0,0.0,0.030036583840847016,0.0,0.11549340821802616,0.0,0.0,-0.12339052997529507,-0.02427810337394476,-0.0009504001587629318,0.0,-0.006335724703967571,0.0,0.0,0.003712714910507202,-0.0017618830129504204,0.0,0.09107401967048645,-0.007648252435028553,0.0,-0.0066408967971801755,0.0,0.30849500961601733,0.07829844281543047,0.0,-0.03788276723586023,-0.014219716731458902,0.00401876874268055,-0.011044961884617805,0.0,0.0,0.12516610145103185,0.0,0.0,0.02018027029931545,-0.01097950279712677,0.052907449565827845,0.0,0.04721880249679088,0.007403245568275452,0.03346087470650673,-0.006343241115100682,1.0,0.0
Fbrs,0.26756269319914283,0.0,0.0,0.0,0.030036583840847016,0.0,-0.018033363111317157,0.0,0.0,-0.19834109216928483,-0.012423951178789139,-0.0007128001004457474,0.0,0.03260627716779709,0.0,0.0,0.003712714910507202,-0.001131419762969017,0.0,0.027322205901145934,-0.007648252435028553,0.0,-0.0066408967971801755,0.0,0.20574291090480984,0.07759142788127064,0.0,-0.028127135494723916,-0.03923164950683713,0.00401876874268055,-0.011044961884617805,0.0,0.0,-0.13306211580056698,0.0,0.0,0.02018027029931545,-0.01097950279712677,-0.303652641903609,0.0,-0.2764105625078082,0.007403245568275452,-0.16432878687977792,-0.006343241115100682,1.0,1.0
Rps19,0.7685100550204516,0.0,0.0,0.0,-0.006045983545482159,0.0,0.11549340821802616,0.0,0.0,-0.12373176172375679,-0.02427810337394476,-0.0007128001004457474,0.0,-0.006335724703967571,0.0,0.0,0.003712714910507202,0.05805805696174502,0.0,0.09107401967048645,-0.007648252435028553,0.0,0.01368738204240799,0.0,0.23153355988673865,0.07829844281543047,0.0,-0.03788276723586023,-0.014219716731458902,-0.0037210822105407716,0.02063942402135581,0.0,0.0,0.12516610145103185,0.0,0.0,0.02018027029931545,-0.01097950279712677,0.09401337508112192,0.0,0.05313931908458471,0.007403245568275452,0.03346087470650673,-0.006343241115100682,1.0,0.0
Scamp5,-0.06495357051491737,0.0,0.0,0.0,-0.006611198410391808,0.0,-0.0841429140791297,0.0,0.0,-0.29170542005449535,-0.02427810337394476,0.0829224120453,0.0,-0.041090388149023056,0.0,0.0,0.003712714910507202,-0.011307529620826245,0.0,0.005625160038471222,-0.00899470567703247,0.0,-0.017150048464536667,0.0,-0.15470032688230276,-0.015455442108213901,0.0,0.016001007463783027,-0.04097804054617882,0.00018605411052703856,0.03008484810590744,0.0,0.0,0.004392765499651432,0.0,0.0,0.02018027029931545,0.005489751398563385,0.006553169954568148,0.0,-0.14511624246835708,0.007403245568275452,-0.16432878687977792,-0.011145592518150806,1.0,1.0
Sec14l1,0.06648367438465357,0.0,0.0,0.0,0.1095428553968668,0.0,0.09396697849035263,0.0,0.0,-0.1886169185489416,-0.02427810337394476,-0.0014256002008914948,0.0,0.008799589648842811,0.0,0.0,0.003712714910507202,-0.015017730332911015,0.0,-0.013661102950572967,0.04440298553556204,0.0,0.05107265748083591,0.0,0.5728464518859983,-0.007381787961348891,0.0,0.07792012363672257,0.05728478647768497,0.018791465163230894,0.03008484810590744,0.0,0.0,-0.04939763236790896,0.0,0.0,0.02018027029931545,0.005489751398563385,0.029189323298633097,0.0,-0.14800622453913093,0.007403245568275452,0.026695385426282883,-0.007379042394459248,1.0,1.0
Pus10,-0.1345386912766844,0.0,0.0,0.0,-0.011562072038650513,0.0,0.05949068203568458,0.0,0.0,1.1026199609786271,0.1046716245263815,-0.0009504001587629318,0.0,-0.0014721210300922393,0.0,0.0,0.025989004373550416,0.0333835580945015,0.0,0.005357295274734497,-0.0148506198823452,0.0,-0.004467629790306091,0.0,0.1565655311383307,-0.007244946360588074,0.0,0.023268726523965597,0.04228043913841248,0.0008186380844563245,0.03507328936830163,0.0,0.0,0.006494115553796292,0.0,0.0,0.04844853848218918,0.035683384090662004,0.2133668384887278,0.0,0.24462243117392063,0.02683676518499851,0.00865471176803112,0.0025139151513576506,1.0,0.0
Bud13,0.2688401099294424,0.0,0.0,0.0,-0.006611198410391808,0.0,0.1064623430557549,0.0,0.0,-0.21911151729524136,-0.012423951178789139,-0.0009504001587629318,0.0,-0.009323433190584183,0.0,0.0,0.003712714910507202,-0.012351773213595152,0.0,-0.024107828736305237,0.005954918032512069,0.0,0.12996676065027712,0.0,-0.1093207439687103,-0.00918353564105928,0.0,0.009903194755315781,0.06173871342092752,0.00018605411052703856,-0.011044961884617805,0.0,0.0,0.01543164324015379,0.0,0.0,0.02018027029931545,-0.01097950279712677,-0.4010775331035256,0.0,-0.038068482019007206,0.007403245568275452,-0.16432878687977792,-0.011145592518150806,1.0,1.0
Daglb,0.13302262708544732,0.0,0.0,0.0,-0.006611198410391808,0.0,-0.03280194511637092,0.0,0.0,-0.27391003575176,-0.02427810337394476,-0.0033264004811644553,0.0,0.058720215298235415,0.0,0.0,0.003712714910507202,-0.030815087743103504,0.0,-0.013661102950572967,-0.00899470567703247,0.0,-0.01823990508913994,0.0,-0.17085712872445583,-0.009639674304053188,0.0,0.016001007463783027,-0.04860647197812796,0.00018605411052703856,-0.011044961884617805,0.0,0.0,-0.03667167313396931,0.0,0.0,0.016882378086447717,0.005489751398563385,-0.018096008021384478,0.0,-0.12742693794891238,0.007403245568275452,0.026695385426282883,-0.004549807198345661,1.0,1.0
Arntl2,0.06731397341936826,0.0,0.0,0.0,0.0130027433950454,0.0,0.07157096536830068,0.0,0.0,-0.2584731747582555,-0.02427810337394476,-0.0033264004811644553,0.0,0.01900216355919838,0.0,0.0,0.003712714910507202,-0.026031346917152406,0.0,-0.024107828736305237,0.005954918032512069,0.0,0.12996676065027712,0.0,-0.19464372834190727,-0.025114648616872726,0.0,0.000556320184841752,-0.08857900626957417,-0.010381819345057011,-0.011044961884617805,0.0,0.0,0.00676129698753357,0.0,0.0,0.016882378086447717,0.005489751398563385,0.010649942047894,0.0,-0.05458456292748451,0.007403245568275452,0.026695385426282883,-0.004549807198345661,1.0,1.0
