gene_name,gene_length.meta,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,rel_pos.DAR,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DMR,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.min.atac,9mo.2mo.log_ratio.mean.atac,DEG,pred
St6galnac3,-0.2167808577278629,-0.038288248842582105,-0.027893321036826818,-0.0004119804594665766,0.05659044304396957,0.002745254673063755,0.30520827958360314,0.007087352089583874,-0.0035541314189322295,0.012251453343778848,0.0007987592555582523,-0.026989344735629858,-0.0692211690545082,-0.031022968366742135,-0.07778855457203462,0.16501187099143863,-0.10007636334747076,-0.0838830248825252,0.14748135838657617,0.13791991404723375,0.01664957098662853,0.11736734829843044,1.0,0.0
Nap1l1,-0.12818894953932614,-0.06743431818671525,0.08733036741614342,-0.009674646719358861,-0.0012914290465414523,0.0005719280801713466,0.23344160818494855,0.007087352089583874,0.003542160312645137,0.005727217602543533,0.03145665375515819,0.01665677730925381,-0.0678111276216805,-0.004036226272583008,0.029999997783452272,-0.1033687152294442,0.08919685252942144,-0.06023340329527855,0.2947506493795663,0.1181050486303866,0.01664957098662853,0.15256083775311707,1.0,1.0
AI987944,-0.1136326157534495,0.015337349912151695,0.014920034296810627,-0.010129147144034505,-0.0012914290465414523,0.0005719280801713466,-0.017071389704942704,-0.04686822596471757,-0.010494744163006544,0.007347499704919756,0.048978322669863704,-0.09777576813474298,-0.039119545239955186,0.026537632853724062,-0.08558405597694219,-0.1643559350515716,0.0411373793752864,0.0688366178702563,0.3380703645199537,-0.061778707057237627,-0.012917575752362609,0.11158047180622815,1.0,1.0
Ephb1,-0.31918007010594013,0.00792740853736177,-0.03022952222265303,-0.0006263393210247159,-0.0012914290465414523,0.0005719280801713466,0.0463991838414222,0.007087352089583874,-0.028339373236522077,0.001294504376128316,0.030866784495301544,-0.030895702149718998,-0.08574313262477518,-0.02944641374051571,-0.12398229628102854,-0.11941421874100343,0.03315122328698635,-0.08907276413403452,0.07035154771059751,0.12603376369923353,0.017282537557184695,-0.04912294531241059,1.0,2.0
Acvr1,-0.10326640226412565,0.032029598141089084,0.07851655136793852,0.01035660969093442,-0.003382445927709341,0.0005719280801713466,-0.015967277963645755,-0.01658061780035496,0.000536239049397409,0.05151442997157574,0.006616957359947264,0.15285873192828148,0.22902741840109228,0.01043073059991002,0.3415044408547692,0.20561657505575567,0.17675832155160606,-0.026734884176403285,0.27169571254402397,0.14820128885097802,0.024830363504588605,0.21707790258340537,1.0,0.0
Pfdn1,-0.2616000371798873,0.007844704799354077,-0.03129607771523297,-0.0016570094926282764,-0.0012914290465414523,0.0005719280801713466,-0.01607501270249486,-0.008069734931923448,-0.029812865518033506,-0.0014201552607119084,0.03491610075812787,-0.06957148957531899,-0.06359171885997057,-0.026682033124379813,0.00789865811355412,-0.08351197694893926,-0.0739658522978425,-0.05004918335005641,0.09001699233427644,-0.04979337483644485,0.009475252479314805,-0.053546923566609624,1.0,2.0
Ap1s2,-0.24711954662110658,-0.01539667195873335,-0.030981714315712453,-0.01479395166039467,-0.0012914290465414523,0.0005719280801713466,-0.026996444100514053,-0.04885095654055476,-0.02677382200025022,-0.007897128006443382,0.032929227566346524,-0.04156359168700874,-0.07551219895482063,0.02289085719268769,-0.1062695082090795,0.011568369301967323,-0.003559160502627492,0.051696707876399156,0.07599036462605,-0.0677760193683207,-0.03405081399716437,-0.06713078701868654,1.0,1.0
Blm,-0.2726745307445526,0.006482334230095148,-0.052763285683467984,-0.006450334573164582,-0.0007220590929500759,0.00034315682947635653,-0.008245439771562814,0.0005848696315661073,-0.0075405478617176416,0.005081618968397379,0.005355455300305039,-0.10925447829533369,-0.05188445608131587,-0.018535732943564653,-0.06921503652120009,-0.14560633146669716,0.061655933102592826,-0.055981537075713274,-0.35076752248220144,-0.04289224222302437,-0.009871080592274666,-0.0708513812161982,1.0,2.0
Pqbp1,1.1703362980275416,0.007347303107380867,-0.03028442298993468,-0.005400401912629605,-0.0007250742800533771,0.0005719280801713466,-0.002700557946227491,-0.04754866582807153,-0.0010504932701587678,-0.0009562207199633122,0.03067415615543723,-0.05083986184559763,-0.08487288346979767,0.024521770896390082,-0.023823393397033214,-0.1387755160080269,-0.020031973477452992,0.07061370185343549,0.13787003225646913,-0.03459485667059198,-0.006760038314387202,-0.0049529047682881355,1.0,0.0
Pygo1,-0.10181554435752332,0.014333627400919795,-0.015474421074613928,-0.19895807277411223,-0.0007248531701043249,0.000411788197234273,-0.022577874998096378,-0.04408172994852066,-0.005972254513762891,-0.0369841839093715,0.018366990648210048,0.13959976800950244,0.09922878430923447,0.017729157637804745,0.5622045104228891,0.3547041080938652,0.08263877179473639,0.06891009415965527,0.09541270033456385,0.07176562548382208,0.018098615128546953,0.17063948913477361,1.0,0.0
