,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Wars2,0.133140239711131,0.386741896995591,0.089,0.071,1.0,0
Harbi1,0.133547891451724,1.37012718314469,0.015,0.005,1.0,0
Eaf1,0.13357360974685,0.354185639275673,0.032,0.023,1.0,0
Prdx4,0.133689914594919,0.447295043667155,0.035,0.025,1.0,0
Coq4,0.133787618543926,0.447295043667155,0.047,0.033,1.0,0
Lonrf3,0.134333563308797,-1.02219023963407,0.005,0.011,1.0,0
Fbxw17,0.134617184036387,0.693168898342766,0.039,0.024,1.0,0
Zfp12,0.135182380796771,0.492870247856934,0.034,0.024,1.0,0
Uhmk1,0.135280695073423,0.320883664124846,0.118,0.092,1.0,0
Glp2r,0.135340684077628,-0.545603899957702,0.065,0.097,1.0,0
2610021A01Rik,0.135506118521418,0.383623025628918,0.124,0.096,1.0,0
Shcbp1l,0.135546406933212,0.79981145838794,0.023,0.012,1.0,0
Triqk,0.135643295771026,0.317659763250559,0.038,0.031,1.0,0
Ankrd49,0.136043977678542,0.474899505061757,0.05,0.036,1.0,0
Med21,0.136058980107182,-0.504341934771447,0.03,0.042,1.0,0
Fam217b,0.136130978446407,0.844342618358311,0.034,0.019,1.0,0
Urb2,0.136205171056496,0.819112014346876,0.031,0.017,1.0,0
Rmst,0.136340625029312,-0.232229970556971,0.079,0.103,1.0,0
Eif2b5,0.13634185653262,0.543663438139386,0.055,0.037,1.0,0
Cep68,0.136359553848764,-0.340764899411619,0.047,0.057,1.0,0
Egr4,0.136445723448324,0.709613649416362,0.021,0.013,1.0,0
Mtfp1,0.136584154596499,1.14773476180825,0.014,0.006,1.0,0
Dock11,0.136747354686188,1.01023123805831,0.024,0.013,1.0,0
Adck2,0.137022878915729,0.648163752317735,0.042,0.027,1.0,0
Tmem158,0.137101856131433,0.344771608867799,0.033,0.027,1.0,0
Nrip2,0.137286286890081,0.610706738150792,0.037,0.024,1.0,0
Gm15492,0.137428494299523,0.825806666920884,0.011,0.006,1.0,0
Cript,0.137496669113705,0.58383387661492,0.049,0.033,1.0,0
Polr2d,0.137553683949673,0.858228144613261,0.026,0.014,1.0,0
Gm10785,0.137776223927611,-0.46778520588888,0.075,0.103,1.0,0
Eif2b2,0.1377882816385,0.872100319194819,0.027,0.015,1.0,0
Fam126a,0.138239165281197,-0.38019679387653,0.027,0.036,1.0,0
Dynlt1a,0.138271229208003,0.3069333566575,0.049,0.038,1.0,0
Crot,0.138475093463949,0.426035924295351,0.04,0.031,1.0,0
Nbn,0.138568265230875,-0.163466926486057,0.039,0.043,1.0,0
Asns,0.138638330970881,0.513384234124927,0.048,0.033,1.0,0
Dnah5,0.138651224121165,0.41076916764204,0.032,0.023,1.0,0
Alk,0.138981066762052,-0.121451871007142,0.027,0.025,1.0,0
Slc25a26,0.139140356653302,-0.240598413641544,0.173,0.196,1.0,0
Ccndbp1,0.1393310511035,0.662307934638005,0.049,0.031,1.0,0
Gm12353,0.139385584192175,-0.265341221137311,0.121,0.135,1.0,0
2810032G03Rik,0.139400793956011,0.449390461669347,0.038,0.027,1.0,0
Idi1,0.139434398135819,0.717100407478385,0.033,0.02,1.0,0
Sertad4,0.139693452995076,0.95508968386585,0.015,0.007,1.0,0
Cdk5rap2,0.140018596003454,-0.212667480893752,0.052,0.056,1.0,0
Prkx,0.140206352774999,0.291098936979424,0.054,0.043,1.0,0
Mcf2,0.140296044443967,0.769223138554517,0.028,0.017,1.0,0
Zfp688,0.140949199448151,-1.29283782957773,0.004,0.012,1.0,0
Iqub,0.140954272757299,0.147734761808247,0.016,0.013,1.0,0
Tbc1d31,0.141117694260278,0.337559320688263,0.05,0.039,1.0,0
