,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Apoe,4.01030955688637e-146,1.01848630384546,0.849,0.636,1.04163780430566e-141,-1
Clu,1.27564953877269e-123,1.34417583383819,0.621,0.366,3.31337211200818e-119,-1
Cst3,1.4234382763669e-120,1.10172725851423,0.83,0.663,3.69723857903538e-116,-1
Dach1,6.5519531517942005e-77,-1.43071568582783,0.214,0.396,1.70180431164703e-72,1
Sema6d,8.82060255944628e-66,0.835293156609583,0.638,0.453,2.29106330879058e-61,-1
Mt1,9.98451104064185e-56,1.08252551724294,0.431,0.244,2.59337689769631e-51,-1
Fgf14,6.01966962356925e-53,-0.467315244853075,0.947,0.985,1.56354898802588e-48,1
Brinp3,1.59047475998537e-52,-0.750220868109021,0.48,0.601,4.1310991415860005e-48,1
Csmd1,1.70390370417884e-50,0.510915681380538,0.935,0.89,4.42571948123412e-46,-1
Gpr37l1,2.46924569462768e-47,1.00326297798169,0.358,0.191,6.413618767225929e-43,-1
Ctnna2,2.55907387884424e-47,0.448350214376499,0.958,0.9,6.6469384929100296e-43,-1
Cped1,1.90302478231548e-46,-1.87731600161712,0.045,0.151,4.942916569586219e-42,1
Pcdh9,3.89265026432991e-46,-0.344056554556764,1.0,1.0,1.01107697965705e-41,1
Shroom3,3.73003716588995e-42,-1.86193080602084,0.034,0.129,9.68839853468256e-38,1
Dcc,8.46596423190407e-38,0.582998695792511,0.838,0.746,2.19894954959476e-33,-1
Grip1,4.8401367450698e-37,0.601792872840305,0.662,0.566,1.25717711816443e-32,-1
Cd81,3.94806000431264e-35,0.906917222905203,0.332,0.191,1.02546910552016e-30,-1
Mt3,8.83200777409016e-34,0.966087551285288,0.32,0.188,2.29402569924218e-29,-1
Lrrc4c,7.88057807419201e-32,-0.36661055883163,0.983,0.991,2.04690134899063e-27,1
Erbb4,2.4287618318430797e-30,-0.499271956322423,0.609,0.72,6.3084659820292e-26,1
Pcdh11x,2.9872341712556696e-28,-0.69766574039822,0.285,0.411,7.75904203641948e-24,1
Adam23,3.25735158910393e-28,-0.698114304983134,0.305,0.418,8.46064501753856e-24,1
Gja1,5.227319920363409e-28,0.678831384066177,0.402,0.274,1.35774407611519e-23,-1
Bcan,6.1939980229462e-28,0.670900646783233,0.488,0.36,1.6088290464800502e-23,-1
Mt2,1.44270171204725e-27,0.976647544018428,0.212,0.109,3.74727342687152e-23,-1
Fgf13,2.8786306853047496e-26,-0.628622480746171,0.354,0.469,7.47695534201057e-22,1
Nr6a1,3.70911705715352e-26,-1.14465545992642,0.094,0.185,9.63406064425054e-22,1
Immp2l,1.63733070488194e-25,-0.76630587261972,0.287,0.352,4.25280277286034e-21,1
Ntsr2,1.6145534514086602e-23,0.559670038935206,0.475,0.383,4.1936411346888503e-19,-1
Cpeb4,2.0834712865943e-23,-0.483814683023788,0.467,0.558,5.41160831980004e-19,1
Gm21860,5.96405050901775e-23,2.41033872662896,0.061,0.011,1.5491024792122699e-18,-1
Npas3,2.08423902231767e-22,-0.239876204501145,0.957,0.961,5.413602436567919e-18,0
Il1rapl1,2.42170899650408e-22,-0.354085805359934,0.941,0.944,6.29014694751971e-18,1
Nrxn3,3.60462894483003e-22,0.296773449149251,0.916,0.867,9.36266322130153e-18,0
Pbx1,4.0643507425169e-22,-0.328565474454372,0.954,0.964,1.0556744618613401e-17,1
Atp1b2,4.51635832952686e-22,0.862696890890695,0.239,0.138,1.17307891251131e-17,-1
Rgs6,5.912875657307269e-22,-0.560963946151216,0.401,0.469,1.53581032322899e-17,1
Nrg1,1.20748707283381e-21,0.404903856425961,0.825,0.79,3.13632692297854e-17,-1
Unc13c,1.39814194530838e-21,1.13416642655828,0.173,0.087,3.63153388874399e-17,-1
Gpam,3.00787016266748e-21,-0.687527354048556,0.334,0.411,7.81264196051251e-17,1
Dok6,3.3018874184169802e-21,0.430156691854785,0.646,0.574,8.57632238059628e-17,-1
Ptprt,5.23610481162721e-21,-0.305619947223707,0.876,0.89,1.36002586377205e-16,1
Bmp6,1.16043406507681e-20,-1.91946866168799,0.019,0.066,3.01411144063049e-16,1
Dclk1,1.55031850838783e-20,0.2988993735942,0.953,0.917,4.02679729368655e-16,0
B3galt1,3.19213701410015e-20,-0.262722244702279,0.989,0.994,8.291256680423739e-16,0
Msmo1,1.33920750257842e-19,0.874039633800758,0.247,0.155,3.47845756719718e-15,-1
Gria2,1.4955835836578502e-19,0.274176875489747,0.989,0.965,3.8846288001929005e-15,0
Itm2b,1.8060715955113902e-19,0.745174122625782,0.294,0.204,4.69109036218128e-15,-1
Bsg,2.1089693583759e-19,1.36511189656967,0.111,0.047,5.4778370114455604e-15,-1
Chl1,3.58401546004008e-19,1.6382313263425,0.062,0.017,9.309121755908111e-15,-1
Dlg2,4.10347406200623e-19,-0.305297007096654,0.929,0.939,1.0658363528655e-14,1
Nfia,1.4054610264968199e-18,-0.258382244723214,0.862,0.893,3.65054447022283e-14,0
Atp1a2,1.4321808704151299e-18,0.438685272814076,0.774,0.696,3.71994659281625e-14,-1
Zeb1,1.68460700031287e-18,-0.282698408520188,0.731,0.748,4.37559822261264e-14,0
Pabpn1,5.0283419909893395e-18,0.751750037039948,0.263,0.173,1.30606154873957e-13,-1
Efemp1,1.72915594524701e-17,-1.31111935995235,0.035,0.09,4.49130965218459e-13,1
Csmd2,9.52607146903255e-17,1.21826005560401,0.112,0.057,2.47430180336652e-12,-1
Cd63,1.34218879738263e-16,0.909280360273683,0.158,0.086,3.48620118232165e-12,-1
Zfhx4,2.73679015294253e-16,-0.821549308457708,0.124,0.209,7.108538743252929e-12,1
Plekhm3,3.21532405118925e-16,-1.08465690717984,0.065,0.128,8.35148269055895e-12,1
Dmd,5.87646342171345e-16,-0.249270253146322,0.953,0.946,1.52635260915585e-11,0
Gm26917,6.10000732891762e-16,0.698828176684077,0.268,0.179,1.58441590361306e-11,-1
Cdh19,6.33136208535805e-16,-0.340840726756947,0.408,0.51,1.6445079880509e-11,1
Slc7a10,6.69007339893523e-16,0.666830286595982,0.258,0.169,1.7376796646394397e-11,-1
Wls,8.32400752985036e-16,-0.726982002175904,0.14,0.21,2.1620777158033297e-11,1
Crym,8.686570621343889e-16,-1.3363369924827,0.05,0.107,2.25624985318786e-11,1
Trpm3,1.0672207720788602e-15,-0.256301857617431,0.894,0.921,2.7719992333976196e-11,0
Mfge8,1.1154531660858602e-15,0.641233970729127,0.272,0.175,2.89727805359142e-11,-1
Dpyd,1.1863363397056602e-15,-0.831822388090766,0.119,0.198,3.08139000875147e-11,1
Cox8a,1.37384316173687e-15,0.904472477613712,0.148,0.084,3.56842022829535e-11,-1
Sox6,1.4410774880893e-15,-0.310826096721712,0.645,0.707,3.7430546675631494e-11,1
Luzp2,1.4664004217190702e-15,-0.303638273355537,0.767,0.787,3.8088284553731096e-11,1
Fjx1,1.4838374336465501e-15,0.863322192388978,0.168,0.095,3.8541193501535594e-11,-1
Efna5,1.91002701870076e-15,-0.987487870666993,0.103,0.174,4.96110417837335e-11,1
9530026P05Rik,2.13926524934734e-15,-0.736651596693832,0.136,0.216,5.556527558654769e-11,1
Maml3,2.1465583374581504e-15,-1.13421485391666,0.058,0.117,5.575470625713809e-11,1
Spata6,2.16681923055429e-15,-1.27981420789188,0.034,0.08,5.6280962694417095e-11,1
S1pr1,3.6010102558960305e-15,0.579974267358277,0.304,0.211,9.353264038664349e-11,-1
Ptchd4,4.55846061819564e-15,0.636456637552463,0.246,0.158,1.18401456097013e-10,-1
Glis3,6.585367485170311e-15,-0.40122427079843,0.486,0.553,1.71048335059814e-10,1
Rmst,6.8946663946944106e-15,0.347456090952268,0.595,0.531,1.7908206493579301e-10,-1
Nr3c2,7.074853703948591e-15,-0.345136513265267,0.612,0.677,1.83762250106361e-10,1
Acsl3,7.80769654178061e-15,0.313144229296016,0.638,0.587,2.02797109976209e-10,-1
