,acc,bal_acc,igr,micro_roc_auc,micro_AP,num_features
0,0.6608590441621296,0.6711912026442919,0.2679444820317687,0.848523747725908,0.7359025803170869,251.0
1,0.6782214156079854,0.6906795067378592,0.2898471968945922,0.8713108195003019,0.7664498030829965,133.0
2,0.6744706594071386,0.6890528858377829,0.3009661323458386,0.8478989693709836,0.7347693917590051,102.0
3,0.6744706594071385,0.6901709890668701,0.29904805145090774,0.8425610971856703,0.7178329743591572,62.0
4,0.6920145190562613,0.7048347317569286,0.30977024848086354,0.8699776003519238,0.7670305847152553,44.0
5,0.6780399274047187,0.6946631070429696,0.3028698589116007,0.849149587415354,0.7370964079413336,34.0
6,0.6606775559588628,0.6757373506229342,0.2767099483894735,0.8294453996455143,0.6993755307326506,26.0
7,0.6815486993345432,0.700901983218917,0.304485429359154,0.8430330250705513,0.7190438167250741,18.0
8,0.660919540229885,0.6779087210780574,0.2686921598132298,0.841584834115244,0.7207917167143967,16.0
9,0.6469449485783424,0.6647908721078057,0.242579588828443,0.8244402832811634,0.6805299892276414,14.0
