,acc,bal_acc,igr,micro_roc_auc,micro_AP,num_features
0,0.6637744034707158,0.6620640336058992,0.2611286773580478,0.8498256642872939,0.7414627472509634,219.0
1,0.6650759219088938,0.6642463694504064,0.26275583666882407,0.847399551103185,0.7386225406306678,169.0
2,0.6633405639913231,0.6631586220657602,0.2634977017086678,0.8469294799102206,0.7367565676637615,135.0
3,0.6629067245119307,0.6630926343626838,0.2634673556982648,0.84767340639278,0.7379314761207139,105.0
4,0.6637744034707158,0.662211083224884,0.2595546909715615,0.8466796222490954,0.7381015751794635,85.0
5,0.6594360086767896,0.6589436073880985,0.25705306379076887,0.8453701046014277,0.7344924254759329,69.0
6,0.6607375271149675,0.6593789809101768,0.25971207096569876,0.8468941892801182,0.73712789312475,52.0
7,0.6642082429501085,0.6642832625082368,0.2598006920181211,0.8500567002790312,0.7411765852672441,39.0
8,0.6529284164859002,0.6534549313717074,0.25382486193325315,0.8448510970680545,0.7338574500837666,29.0
9,0.6511930585683297,0.6512654835286938,0.24605172450292825,0.8455089144131638,0.7351595028083105,23.0
