,acc,bal_acc,igr,micro_roc_auc,micro_AP,num_features
0,0.5333333333333332,0.5885789743175142,0.14317517596205684,0.7498153277931671,0.5521638101759824,205.0
1,0.5684210526315789,0.5946335933920823,0.13534021432104626,0.7853801169590643,0.6220706949474899,114.0
2,0.5719298245614035,0.6170582706766917,0.1709019169666656,0.7688827331486612,0.5895420403308778,69.0
3,0.6105263157894737,0.5957920675344275,0.15690259903240095,0.7914435210834101,0.634040044234834,45.0
4,0.5473684210526315,0.5782699355916673,0.14112488351009522,0.7662357648507233,0.5800099796572369,31.0
5,0.5578947368421052,0.5742513205055649,0.1479582320330134,0.7600184672206833,0.5765344568116559,22.0
6,0.5999999999999999,0.6135454563828927,0.15459689140464228,0.7943059402893198,0.6318469758908115,18.0
7,0.6035087719298244,0.6126832538335085,0.17074959630862666,0.7824869190520161,0.6125674352465594,15.0
8,0.5719298245614035,0.5791592556660469,0.13894900638411664,0.7848876577408433,0.6280078894176031,12.0
9,0.5964912280701754,0.590175202791926,0.13240698561893224,0.7829178208679594,0.6220371734507066,8.0
