,acc,bal_acc,igr,micro_roc_auc,micro_AP,num_features
0,0.5401317501403783,0.5309450438382102,0.053109252275156685,0.7592766099255441,0.5587948970218755,213.0
1,0.5492611309695002,0.5346367988882846,0.057538332175466646,0.7622073107253455,0.5582144295813357,155.0
2,0.5281997343084488,0.5275853588508286,0.04808233572238731,0.7469437021842651,0.5349447882505081,117.0
3,0.5239878384485805,0.5243612067222777,0.047361135263896445,0.7471268709361365,0.5349487740893156,91.0
4,0.536623799937001,0.5424235045851812,0.05453869414943043,0.7543582234904804,0.5448067455512149,68.0
5,0.5202429571195749,0.5351681696216882,0.049336898868628895,0.7395251770223032,0.5220440946599216,54.0
6,0.5387309804566061,0.5382159252139525,0.05370261529808471,0.7522929920367968,0.5412790480994844,44.0
7,0.5312447786131997,0.5405168593747705,0.057534870670935934,0.7520506162263836,0.547114312998341,36.0
8,0.5230524398427765,0.54546584891448,0.054940924684670524,0.7443610576651396,0.5328656822041956,30.0
9,0.5263209937411836,0.5336473315061346,0.052483370896892936,0.7545465233090076,0.5531281320874903,26.0
