,acc,bal_acc,igr,micro_roc_auc,micro_AP,num_features
0,0.5437610367842927,0.5664642726459259,0.12764396767595504,0.7671540402224942,0.5886368176609919,179.0
1,0.570087695669091,0.5801682405418056,0.1350331718107572,0.7783756337183944,0.6026671390284516,144.0
2,0.5584717607973422,0.5739933235231692,0.13105369612537776,0.7731566512923336,0.5895258510934365,110.0
3,0.5460746460746461,0.5598865653882255,0.11353090417401217,0.7698307809240672,0.5872326027894844,86.0
4,0.576289246056688,0.5810442261948966,0.12725705590557485,0.7805573055859132,0.6092937343257283,71.0
5,0.5700936817215887,0.575749113084884,0.1376632160183686,0.7767012285143238,0.5988539841493106,58.0
6,0.5646553530274461,0.5714481307371094,0.1276302270629948,0.7809628955572395,0.6101664440954627,45.0
7,0.5832510251114903,0.5921171857243603,0.13488025528128844,0.7772437953249451,0.6037595760429098,38.0
8,0.5732094220466314,0.5832300743250941,0.13249661283110775,0.778915980215232,0.60225620731074,31.0
9,0.5886923468318818,0.5926993475469058,0.14770114289097858,0.8002352773626926,0.6367835368278533,29.0
