,acc,bal_acc,igr,micro_roc_auc,micro_AP,num_features
0,0.7137254901960784,0.696269743328567,0.3273393429518445,0.8505190311418683,0.737520746239192,189.0
1,0.6941176470588235,0.6807930631460043,0.2892851475872799,0.8562091503267976,0.7567377461691365,104.0
2,0.6941176470588235,0.6751033280445045,0.2796294090128394,0.8506728181468667,0.7466787140857261,63.0
3,0.6941176470588235,0.6785874256462492,0.2956085845919541,0.8557862360630526,0.758888442564203,34.0
4,0.6588235294117647,0.63878213289978,0.24283486692203918,0.8429834678969627,0.7457770174379491,23.0
5,0.6941176470588235,0.6766338236926472,0.2754973324815979,0.841676278354479,0.7423995798563778,17.0
6,0.6235294117647059,0.5770086123027299,,0.811437908496732,0.6886042015903919,12.0
7,0.6470588235294118,0.6036940183999007,0.23743176198828858,0.8161860822760477,0.6947350010373408,11.0
8,0.6470588235294118,0.6310450986921575,0.22717825143704537,0.8162629757785467,0.715370519356507,8.0
9,0.596078431372549,0.5631933426051073,0.17774414389533097,0.785928489042676,0.6415069188204752,5.0
