,acc,bal_acc,igr,micro_roc_auc,micro_AP,num_features
0,0.611493828300551,0.6053427904737212,0.12302339211476299,0.815811859723167,0.6547203228930707,229.0
1,0.6201218949118108,0.6245484400656814,0.13551653349162474,0.8186708065915406,0.6609045826316514,184.0
2,0.5988025979622618,0.610860896082571,0.11937400438001963,0.804905775518594,0.6334110419719432,134.0
3,0.6219277454571572,0.6152470667637895,0.12998763924397091,0.818782667986493,0.6554985220946573,111.0
4,0.6377905008157109,0.6240817561144241,0.14814943486187357,0.8345633044454461,0.6912777490799966,90.0
5,0.5970029037255928,0.594095871863567,0.11065028312752467,0.8020915889391269,0.6298070346143237,74.0
6,0.6074316906249678,0.610004691531785,0.1250602122037841,0.8106163721433424,0.6419856375726823,62.0
7,0.6173997804249906,0.6046446164672765,0.1231711670332849,0.8127676543028398,0.6501936960938689,50.0
8,0.6137716625111583,0.6065138214995616,0.12506730550651862,0.8128153634895116,0.6479688271255135,39.0
9,0.6124029098819015,0.6175053808577273,0.13283250362343949,0.8146325485418071,0.649803852331493,35.0
