,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Pdss1,4.13952409913388e-07,-0.31277221323879,0.035,0.045,0.0107519998950903,0
Scamp5,4.18841000683154e-07,0.12411613658707,0.126,0.123,0.0108789761517442,0
Edem3,4.19949119635869e-07,-0.125201318095185,0.066,0.077,0.0109077584334221,0
Rab33a,4.26006780384383e-07,0.366177260811377,0.03,0.023,0.011065100113704,0
Pex1,4.37928847773761e-07,0.187448109853797,0.061,0.058,0.0113747638920757,0
Ncapd3,4.37979223608646e-07,0.200204981638249,0.065,0.061,0.011376072354011,0
Slc17a5,4.38130012075655e-07,-0.151583376282054,0.03,0.036,0.0113799889336531,0
Gmps,4.40403689881452e-07,-0.185286014412953,0.04,0.048,0.0114390454409808,0
Gtf2h1,4.47798261461164e-07,-0.119888207873114,0.045,0.053,0.0116311120431923,0
Fkbp15,4.48007080080663e-07,0.102806200498568,0.068,0.069,0.0116365358980151,0
Ubac2,4.49589602469226e-07,0.133392386043019,0.105,0.101,0.0116776403345357,0
Arl8a,4.54446259795714e-07,0.326128903239598,0.044,0.035,0.0118037871519339,0
Sipa1l2,4.55480518775499e-07,-0.417540192321171,0.019,0.026,0.0118306509946748,0
C2cd3,4.55523274640279e-07,-0.182496231486159,0.042,0.051,0.0118317615355066,0
Fgd3,4.55617060722036e-07,0.287677619828377,0.062,0.052,0.0118341975351942,0
Itgb1,4.56021271025573e-07,0.324020974228574,0.051,0.043,0.0118446964936182,0
Rccd1,4.59267349512203e-07,-0.42322259419682,0.028,0.038,0.01192901013623,0
Ccnt1,4.67213378764206e-07,-0.101805300610198,0.089,0.1,0.0121354003000215,0
Pfdn6,4.73816604464822e-07,0.586755786033487,0.017,0.011,0.0123069124843693,0
Zhx3,4.76397485193808e-07,-0.19697094661384,0.112,0.129,0.012373948280424,0
Wdr41,4.77932748796207e-07,-0.191493532715712,0.049,0.059,0.0124138252172327,0
Gal3st1,4.79968575608074e-07,0.188214912511553,0.13,0.115,0.0124667037828441,0
Pecr,4.83735900547565e-07,-0.693063034275506,0.01,0.015,0.0125645562808225,0
Nek4,4.83962250447256e-07,0.167552991211005,0.024,0.024,0.012570435493117,0
Abce1,4.84211857384316e-07,-0.191803394374879,0.043,0.052,0.0125769187837002,0
Asb7,4.84653111744443e-07,-0.412368951523304,0.022,0.031,0.0125883799244502,0
Rnf185,4.91714838571079e-07,-0.312608008041583,0.028,0.036,0.0127718012170452,0
Papss1,4.96711988913615e-07,0.149264468373032,0.082,0.08,0.0129015972000422,0
Gosr1,4.98546915408103e-07,-0.150821071035548,0.052,0.061,0.0129492575808101,0
