start,end,2mo,9mo,18mo,gene_start,gene_end,gene_name,distance
4932830,4932915,0.8,0.73,0.57,4907576,5072285,Rgs20,25254
5031782,5031793,0.55,0.38,0.33,4907576,5072285,Rgs20,40503
5110519,5110577,0.79,0.69,0.58,5068018,5164529,Atp6v1h,42501
9127313,9127368,0.9,0.85,0.65,8359475,9301878,Sntg1,174565
9172501,9172531,0.37,0.29,0.14,8359475,9301878,Sntg1,129377
9564544,9564581,0.68,0.6,0.39,9545948,9582673,Adhfe1,18129
9564544,9564581,0.68,0.6,0.39,9558832,9633175,2610203C22Rik,5712
9626261,9626353,0.53,0.55,0.32,9599199,9629143,3110035E14Rik,2882
9626261,9626353,0.53,0.55,0.32,9558832,9633175,2610203C22Rik,6914
9891899,9891902,0.67,0.51,0.74,9796107,9902845,Sgk3,10946
10141190,10141232,0.42,0.22,0.14,10135571,10234670,Arfgef1,5619
10141265,10141354,0.61,0.45,0.31,10135571,10234670,Arfgef1,5694
10553143,10553726,0.79,0.7,0.57,10552098,10557553,Gm15604,1045
10553143,10553726,0.79,0.7,0.57,10553554,10557660,Gm25253,411
10553143,10553726,0.79,0.7,0.57,10322720,10721945,Cpa6,168802
11653393,11653503,0.33,0.14,0.09,11412105,11977901,A830018L16Rik,241288
12718897,12718974,0.38,0.32,0.17,12690277,12863192,Sulf1,28620
12749324,12749358,0.82,0.63,0.58,12690277,12863192,Sulf1,59047
12826215,12826311,0.39,0.41,0.2,12690277,12863192,Sulf1,36977
12905858,12906147,0.24,0.21,0.43,12864549,12994650,Slco5a1,41309
12984969,12985020,0.39,0.12,0.24,12864549,12994650,Slco5a1,9681
13155840,13155898,0.58,0.4,0.32,13137105,13376083,Ncoa2,18735
13189111,13189181,0.51,0.37,0.28,13137105,13376083,Ncoa2,52006
13255432,13255541,0.47,0.38,0.23,13137105,13376083,Ncoa2,118327
13332529,13332736,0.66,0.68,0.46,13332498,13336609,Gm23169,31
13332529,13332736,0.66,0.68,0.46,13137105,13376083,Ncoa2,43554
13371559,13371566,0.41,0.55,0.32,13137105,13376083,Ncoa2,4524
14758013,14758268,0.61,0.52,0.4,14750937,14778931,Gm9947,7076
15312976,15313018,0.71,0.53,0.5,15285254,15725750,Kcnb2,27722
15710428,15710687,0.36,0.15,0.19,15285254,15725750,Kcnb2,15322
16115382,16115387,0.58,0.48,0.25,16103774,16135734,Rdh10,11608
16479572,16479610,0.62,0.58,0.39,16226674,16522112,Stau2,42540
16511416,16511594,0.56,0.67,0.47,16226674,16522112,Stau2,10696
16516321,16516340,0.81,0.33,0.78,16226674,16522112,Stau2,5791
16516377,16516396,0.82,0.44,0.76,16226674,16522112,Stau2,5735
16565563,16565603,0.56,0.46,0.74,16538790,16621489,Ube2w,26773
16987270,16987351,0.41,0.25,0.14,16896185,17093631,Gm28376,91085
16987270,16987351,0.41,0.25,0.14,16962560,17099889,Jph1,24710
17059048,17059099,0.42,0.31,0.2,16896185,17093631,Gm28376,34583
17059048,17059099,0.42,0.31,0.2,16962560,17099889,Jph1,40841
17059221,17059329,0.83,0.86,0.64,16896185,17093631,Gm28376,34410
17059221,17059329,0.83,0.86,0.64,16962560,17099889,Jph1,40668
17061006,17061060,0.35,0.15,0.12,16896185,17093631,Gm28376,32625
17061006,17061060,0.35,0.15,0.12,16962560,17099889,Jph1,38883
17067166,17067198,0.73,0.65,0.46,16896185,17093631,Gm28376,26465
17067166,17067198,0.73,0.65,0.46,16962560,17099889,Jph1,32723
20513734,20513741,0.39,0.36,0.15,20055779,20620064,Pkhd1,106330
20935195,20935221,0.39,0.31,0.11,20888606,20941650,Paqr8,6455
21075852,21075856,0.4,0.63,0.35,20994299,21081229,Tram2,5377
21248527,21248805,0.68,0.51,0.41,21238589,21267661,Gsta3,9938
21248527,21248805,0.68,0.51,0.41,21248359,21273593,Gm28836,168
21499957,21499978,0.5,0.27,0.44,21396403,21963942,Kcnq5,103554
21507000,21507055,0.66,0.54,0.4,21396403,21963942,Kcnq5,110597
21539640,21539770,0.31,0.22,0.1,21396403,21963942,Kcnq5,143237
21630219,21630238,0.56,0.3,0.35,21396403,21963942,Kcnq5,233816
21679577,21679658,0.58,0.63,0.34,21396403,21963942,Kcnq5,283174
22516161,22516241,0.77,0.69,0.91,22284251,22807724,Rims1,231910
22597006,22597015,0.81,0.73,0.57,22284251,22807724,Rims1,210718
23257618,23257686,0.42,0.29,0.15,23253685,23258407,RP23-28L24.5,789
23378592,23378598,0.7,0.5,0.66,23364424,23399772,Ogfrl1,14168
23834531,23834618,0.46,0.26,0.2,23759753,23851158,B3gat2,16627
23902657,23902676,0.61,0.58,0.36,23842846,23924317,Smap1,21660
24265082,24265090,0.62,0.85,0.65,24259890,24589472,Col19a1,5192
24558026,24558063,0.79,0.72,0.56,24259890,24589472,Col19a1,31446
24611577,24611687,0.83,0.48,0.55,24609535,24614410,Gm28439,2042
24611577,24611687,0.83,0.48,0.55,24610407,24614700,Gm10222,1170
24611577,24611687,0.83,0.48,0.55,24610775,24615119,Gm28438,802
24611577,24611687,0.83,0.48,0.55,24611189,24615971,Gm28437,388
24614593,24614645,0.28,0.0,0.06,24610407,24614700,Gm10222,107
24614593,24614645,0.28,0.0,0.06,24610775,24615119,Gm28438,526
24614593,24614645,0.28,0.0,0.06,24611189,24615971,Gm28437,1378
24614593,24614645,0.28,0.0,0.06,24611974,24616651,Gm10925,2058
24614593,24614645,0.28,0.0,0.06,24612885,24617565,Gm28661,1708
24614593,24614645,0.28,0.0,0.06,24613706,24618197,Gm29216,887
25168744,25168862,0.79,0.84,0.6,25065476,25831707,Bai3,103268
25691786,25691984,0.79,0.67,0.56,25684062,25693501,RP23-478K4.1,1715
25691786,25691984,0.79,0.67,0.56,25065476,25831707,Bai3,139921
25709712,25710051,0.64,0.64,0.4,25065476,25831707,Bai3,121995
25814855,25814985,0.66,0.66,0.45,25065476,25831707,Bai3,16852
25994972,25994987,0.69,0.5,0.23,25994604,25999159,Gm18443,368
30773524,30773555,0.82,0.67,0.53,30767687,30773815,Gm6473,291
31204084,31204102,0.71,0.58,0.49,31133226,31224684,4931428L18Rik,20600
31204084,31204102,0.71,0.58,0.49,31174401,31206725,Lgsn,2641
32186656,32186673,0.53,0.7,0.39,32170714,32660568,Khdrbs2,15942
32270707,32270712,0.51,0.56,0.8,32170714,32660568,Khdrbs2,99993
33500399,33500420,0.73,0.53,0.48,33451810,33671795,Prim2,48589
33526810,33526879,0.51,0.34,0.27,33451810,33671795,Prim2,75000
33733298,33733327,0.85,0.72,0.63,33717887,33744564,Rab23,11266
33869888,33869899,0.46,0.22,0.32,33850052,33909816,Bend6,19836
33892494,33892531,0.84,0.84,0.63,33887490,33893117,RP23-32P22.2,623
