geneslop2k,pvalue,corrected_pvalue,18mo,2mo,9mo,gene_length,DMG,gene_name
ENSMUSG00000095280.1,2.6429099686753717e-17,1.0806146254435605e-12,3.3250749111175537,2.488585948944092,2.962229013442993,3073,-1,Gm21738
ENSMUSG00000054074.9,3.7619118422890167e-19,2.097469527178533e-14,1.0721739530563354,2.1294565200805664,1.318490505218506,8375,1,Skida1
ENSMUSG00000032338.9,3.18792659414893e-09,2.4749187879557716e-05,1.1428524255752563,1.5111031532287598,1.203640103340149,39763,1,Hcn4
ENSMUSG00000038648.5,1.9885463391034417e-19,1.2195944713647031e-14,1.356828689575195,1.8405381441116333,1.3693467378616333,114891,1,Creb3l2
ENSMUSG00000113883.1,1.8416961806089124e-07,0.000773650593103,1.3669066429138184,1.907024621963501,1.4383569955825806,3794,1,Gm36500
ENSMUSG00000028937.14,4.687918815237598e-07,0.0017747811141253,1.1717623472213743,1.4814658164978027,1.2328705787658691,93721,1,Acot7
ENSMUSG00000078670.3,1.750392529720449e-08,0.0001012766475836,1.233260154724121,1.6567158699035645,1.3842140436172483,36617,1,Fam174b
ENSMUSG00000023991.16,3.0493144068959543e-06,0.0085787782730798,1.1336455345153809,1.4755405187606812,1.21779465675354,57512,1,Foxp4
ENSMUSG00000090066.2,3.633938769513802e-06,0.0097514605850917,0.888746440410614,1.2303279638290403,1.06518816947937,16454,1,1110002E22Rik
ENSMUSG00000025790.14,6.700769101052943e-09,4.617579459553962e-05,1.2689749002456665,1.5469096899032593,1.299365758895874,279361,1,Slco3a1
ENSMUSG00000090258.7,5.637041867235503e-07,0.0020826817120704,1.413192868232727,1.8801050186157229,1.5043669939041138,17642,1,Churc1
ENSMUSG00000104818.1,3.0639052453308933e-06,0.0085804674162857,1.355027437210083,1.7248167991638184,1.364237904548645,17151,1,Gm43661
ENSMUSG00000098128.1,1.5161554949461542e-08,8.941083199070147e-05,1.3001744747161863,1.8533469438552856,1.3913952112197876,14974,1,Gm3693
ENSMUSG00000079499.9,5.383650766878171e-07,0.0020011178538813,0.965362787246704,1.2839038372039795,0.9962981939315796,7899,1,6530402F18Rik
ENSMUSG00000038119.15,1.4516405438860144e-08,8.643738026643334e-05,1.284886360168457,1.6934870481491089,1.4085487127304075,86524,1,Cdon
