,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Api5,0.562804780465605,-0.136962316381499,0.047,0.051,1.0,0
Tbpl1,0.56297428005344,-0.214607460275697,0.02,0.023,1.0,0
Vps33a,0.563143737753198,0.103840065876704,0.044,0.043,1.0,0
B4galt5,0.563182605133058,-0.110686537050142,0.026,0.029,1.0,0
Trappc10,0.563221267523343,-0.133854175055315,0.049,0.05,1.0,0
Snhg9,0.563223120895886,-0.309366601886271,0.016,0.019,1.0,0
Snrpa1,0.56348490258023,0.217639329035371,0.017,0.016,1.0,0
Tmbim4,0.563530688128035,0.173825220900662,0.051,0.045,1.0,0
4933407K13Rik,0.563689117234477,-0.118182481072155,0.029,0.031,1.0,0
Smug1,0.563722957994684,0.341208694785943,0.01,0.008,1.0,0
Sprn,0.563723438818674,0.407602083714227,0.012,0.009,1.0,0
H2-Ke6,0.564255652941247,0.236121615769873,0.021,0.018,1.0,0
Nmnat1,0.564650793064841,-0.299277784262688,0.008,0.01,1.0,0
Pom121,0.564722145864773,-0.183835719802413,0.023,0.025,1.0,0
Poldip2,0.564754117581767,0.164330932701863,0.02,0.018,1.0,0
Scn3b,0.564831573420739,-0.102240937203134,0.014,0.013,1.0,0
Edrf1,0.564975572046711,0.181971816885578,0.04,0.033,1.0,0
Snap29,0.565097010844084,0.294454926086201,0.013,0.011,1.0,0
Cnnm3,0.565350989357095,-0.254731345309425,0.029,0.035,1.0,0
Shank1,0.565452164715357,-0.124468968445722,0.044,0.043,1.0,0
Zfp27,0.565656319659593,-0.164976692551097,0.016,0.018,1.0,0
Mettl8,0.565781565056581,0.136773520398636,0.05,0.047,1.0,0
Bet1,0.565800708519448,-0.139885711588266,0.023,0.025,1.0,0
Tmem120b,0.566685142315179,0.260630048437934,0.02,0.016,1.0,0
Dbnl,0.566844839408998,0.264416099704817,0.02,0.017,1.0,0
Zfp964,0.567093131056885,-0.284275620923441,0.012,0.014,1.0,0
Chst10,0.567295687399584,-0.171402961710529,0.023,0.024,1.0,0
Bmyc,0.567507653403499,-0.179190551770798,0.02,0.023,1.0,0
Dhx16,0.56874140211279,-0.416515459547061,0.013,0.017,1.0,0
Mthfsd,0.56884072287824,0.294454926086201,0.013,0.011,1.0,0
Pcolce2,0.569199819501306,0.32806331872902,0.016,0.014,1.0,0
Morn1,0.569457201067253,0.134583589307812,0.014,0.013,1.0,0
Nop14,0.570045587197598,0.301899738247366,0.017,0.013,1.0,0
Zfp942,0.570157426529004,-0.153199524774743,0.055,0.057,1.0,0
Slc7a6,0.570545515627369,0.229538482854402,0.047,0.04,1.0,0
Adamts17,0.571421351769231,0.103512143374806,0.044,0.038,1.0,0
Mrpl10,0.572120998036885,0.284008138651084,0.017,0.014,1.0,0
Paqr8,0.572545944243051,0.250060806727748,0.059,0.052,1.0,0
Ensa,0.572828132283409,-0.129352782820376,0.037,0.039,1.0,0
BC005537,0.572993661297102,-0.133267832823758,0.088,0.092,1.0,0
Gm11906,0.573230609298715,0.196949470268185,0.023,0.019,1.0,0
Zmiz2,0.573478826424796,-0.131809828615896,0.031,0.034,1.0,0
Fasn,0.573584157837019,-0.215162449719314,0.023,0.027,1.0,0
Mras,0.573785816108514,0.197804569596324,0.066,0.058,1.0,0
Ippk,0.574678304274429,-0.200600602281818,0.019,0.021,1.0,0
Epha3,0.574801109467619,0.287150125462968,0.022,0.018,1.0,0
Pdxk,0.575201918963296,-0.245466610411464,0.012,0.015,1.0,0
Slc39a1,0.575632694085909,0.372051331106357,0.015,0.012,1.0,0
Morc2a,0.57569694810456,-0.104047693908765,0.091,0.096,1.0,0
Slit1,0.575773845710119,0.320450134619145,0.018,0.016,1.0,0
Dus2,0.575875168422895,0.18633520911736,0.029,0.026,1.0,0
Ajap1,0.576124557502405,-0.390396806585112,0.01,0.013,1.0,0
Sdf2,0.576414083368484,0.152938339829642,0.065,0.06,1.0,0
Psmd13,0.577321632288546,0.12268150025152,0.038,0.033,1.0,0
Msi1,0.577419157251504,-0.14170691322825,0.026,0.029,1.0,0
Spg21,0.577610675756859,0.210168079604235,0.021,0.017,1.0,0
Coa3,0.577705390486653,0.269960364165453,0.015,0.012,1.0,0
Gle1,0.577957347973449,-0.184986653282591,0.034,0.037,1.0,0
Zfp367,0.578444028856198,-0.296221225829349,0.013,0.016,1.0,0
Rnf149,0.578480944035668,-0.193545844747868,0.022,0.024,1.0,0
Azin2,0.579604015075621,-0.172394164113579,0.019,0.021,1.0,0
Zfp60,0.58012996309748,-0.16820781381411,0.035,0.037,1.0,0
Zfp446,0.580384055534704,-0.11767097777274,0.018,0.02,1.0,0
P2rx4,0.580526363884414,-0.202990018487828,0.039,0.042,1.0,0
Lrfn1,0.582073417682319,0.153384787316073,0.02,0.019,1.0,0
Klf9,0.582783665851385,0.239816775230945,0.058,0.05,1.0,0
Fam222a,0.582932681913159,0.103671319746224,0.02,0.019,1.0,0
Tmem70,0.583469583460413,-0.116996663649275,0.021,0.023,1.0,0
Babam1,0.583523543629751,-0.164976692551096,0.026,0.029,1.0,0
Gas6,0.583961361722662,0.234293490869431,0.035,0.03,1.0,0
Gm17655,0.584031689960555,-0.264512366102011,0.014,0.017,1.0,0
Rhbdd2,0.584164298000325,0.22868715593518,0.027,0.023,1.0,0
Foxg1,0.58440894252758,0.108641052140525,0.042,0.039,1.0,0
Entpd6,0.584783853122615,-0.269507276022403,0.026,0.029,1.0,0
Mier2,0.585017096699458,-0.235366020442494,0.01,0.012,1.0,0
Phf21b,0.585434987877358,0.174111953494449,0.043,0.038,1.0,0
Ubxn2b,0.585781939694024,0.175155997713857,0.045,0.041,1.0,0
Farp2,0.587474061397924,0.111397093899695,0.078,0.074,1.0,0
Gm21798,0.587836828623789,-0.297426988574746,0.016,0.019,1.0,0
Pramef8,0.588212338631428,0.250060806727747,0.012,0.01,1.0,0
Jrkl,0.58848196608176,0.454419305233934,0.011,0.008,1.0,0
Gm10076,0.588861266496794,0.250060806727747,0.011,0.009,1.0,0
Gmfb,0.589748933639044,-0.194724035945148,0.029,0.033,1.0,0
Ubxn11,0.589916954196005,-0.294259709496062,0.008,0.01,1.0,0
Ech1,0.590214134744649,0.22581326048107,0.012,0.01,1.0,0
Nrbp1,0.590319610007059,0.115759715016156,0.033,0.031,1.0,0
Mrps34,0.590397814976556,0.250060806727748,0.01,0.008,1.0,0
Dctn3,0.590569009154984,-0.252439533801436,0.015,0.017,1.0,0
Dnajb2,0.591005283772802,-0.155577994548847,0.015,0.017,1.0,0
Slc39a7,0.591017035039491,0.268439336042602,0.016,0.013,1.0,0
Rdh11,0.591624100796825,0.297366521506104,0.013,0.01,1.0,0
Arf5,0.592221075315734,0.187325051379784,0.035,0.031,1.0,0
Sord,0.592229171831106,-0.334901693993409,0.008,0.01,1.0,0
Gpatch4,0.593552348114008,-0.235366020442494,0.014,0.017,1.0,0
Apmap,0.594018304162629,0.307091751764126,0.025,0.021,1.0,0
Dcp2,0.594610463145281,-0.150179690623016,0.028,0.031,1.0,0
Epm2aip1,0.595795625945609,-0.214149534532798,0.042,0.046,1.0,0
Pnma3,0.595891774055805,0.300686879797715,0.012,0.01,1.0,0
Lemd2,0.596097783760894,0.126678391222465,0.023,0.02,1.0,0
Yars,0.597378168812437,0.138415450898838,0.049,0.045,1.0,0
Car11,0.597552270735689,0.14043631555325,0.032,0.029,1.0,0
Pmpcb,0.597582734096505,0.189688188748265,0.023,0.019,1.0,0
Stard7,0.59774948061505,-0.12433470805375,0.061,0.065,1.0,0
Srp72,0.597905048014679,-0.135489928050716,0.051,0.053,1.0,0
Tmem255b,0.598090587313532,0.426938568811827,0.01,0.008,1.0,0
Synm,0.598240873412271,0.383327337591211,0.014,0.011,1.0,0
Ccnj,0.598241658138161,0.289589170914385,0.015,0.012,1.0,0
Gm10069,0.598257359283319,0.178507545702713,0.012,0.01,1.0,0
Prkx,0.598469174419369,-0.173150623996796,0.018,0.02,1.0,0
Ndufs2,0.598622269084624,-0.141129950596729,0.024,0.027,1.0,0
Tvp23a,0.598633744783245,-0.115588665588933,0.021,0.023,1.0,0
Dap,0.599364301642342,0.324061388171524,0.016,0.013,1.0,0
Zfp763,0.599806078035227,-0.150477122855981,0.02,0.022,1.0,0
Ogdhl,0.600236061926093,0.250060806727748,0.013,0.011,1.0,0
Gm11508,0.600419203029777,0.172058294726474,0.025,0.024,1.0,0
Pet100,0.600548432117822,0.250060806727747,0.021,0.018,1.0,0
Tmem246,0.601670080468842,0.116382371495778,0.039,0.035,1.0,0
Trmt6,0.601814713226127,0.147375142753184,0.034,0.03,1.0,0
Wdtc1,0.601860018222556,0.293915096317175,0.033,0.028,1.0,0
Apaf1,0.603170398032449,-0.12190797065921,0.049,0.052,1.0,0
Gm12592,0.603664916574138,-0.325441364744343,0.01,0.012,1.0,0
Arhgap33,0.603718490374657,0.187325051379784,0.018,0.016,1.0,0
2410004B18Rik,0.603756116597598,-0.177687744300651,0.023,0.026,1.0,0
Fdps,0.603779904711982,0.147491073087199,0.019,0.017,1.0,0
Zfp142,0.603795883339657,0.169890458043764,0.026,0.024,1.0,0
Shisa5,0.604093346387527,0.176060225283971,0.016,0.014,1.0,0
Lmo1,0.604437952661201,-0.148488569762527,0.027,0.03,1.0,0
