cell_type,gene,DEG,pred,dmr,mcg_genebody,mch_genebody
L6_CT_CTX_Glut,Rimbp2,0,1,0.17095695,0.06031072,0.76873237
L6_CT_CTX_Glut,Zfp622,0,-1,0.30813015,0.34724548,0.34462434
L6_CT_CTX_Glut,Asnsd1,0,-1,0.2663975,0.40651459,0.32708794
L6_CT_CTX_Glut,Taf9b,0,-1,0.29131743,0.27068296,0.4379996
L6_CT_CTX_Glut,Chrna7,0,0,0.0595837,0.09772057,0.8426957
L6_CT_CTX_Glut,Gm13402,0,0,0.030946365,0.05787885,0.91117483
L6_CT_CTX_Glut,Foxj2,0,-1,0.19613935,0.30150083,0.5023598
L6_CT_CTX_Glut,Rab11fip5,0,-1,0.4185622,0.22148739,0.3599504
L6_CT_CTX_Glut,Raly,0,0,0.119747244,0.18765381,0.692599
L6_CT_CTX_Glut,Rexo4,0,-1,0.28073022,0.34772736,0.37154245
L6_CT_CTX_Glut,Hnrnpf,0,-1,0.22317065,0.24740307,0.52942634
L6_CT_CTX_Glut,Mdga1,0,0,0.15829629,0.095090464,0.7466132
L6_CT_CTX_Glut,Gm15496,0,0,0.14226608,0.17716606,0.68056786
L6_CT_CTX_Glut,Zranb1,0,-1,0.21456647,0.3099725,0.47546107
L6_CT_CTX_Glut,Ptcd2,0,-1,0.41802293,0.316251,0.26572612
L6_CT_CTX_Glut,Tapt1,0,0,0.09690236,0.1393895,0.7637081
L6_CT_CTX_Glut,Max,0,-1,0.26532906,0.406497,0.32817388
L6_CT_CTX_Glut,Phb2,0,-1,0.31406143,0.43697423,0.24896443
L6_CT_CTX_Glut,A230077H06Rik,0,0,0.061047103,0.09515464,0.8437983
L6_CT_CTX_Glut,Nme1,0,-1,0.2964174,0.38448435,0.3190982
L6_CT_CTX_Glut,Panx1,0,0,0.2010637,0.074122936,0.7248133
L6_CT_CTX_Glut,Atg4d,0,-1,0.31367213,0.4012457,0.28508222
L6_CT_CTX_Glut,Slain2,0,-1,0.12855557,0.21584807,0.6555964
L6_CT_CTX_Glut,Hmgn2,0,-1,0.33647648,0.35811043,0.3054131
L6_CT_CTX_Glut,Leprotl1,0,0,0.22739461,0.32876953,0.44383582
L6_CT_CTX_Glut,Sppl3,0,-1,0.33620447,0.21001008,0.4537854
L6_CT_CTX_Glut,Ccz1,0,-1,0.23186675,0.39588714,0.3722461
L6_CT_CTX_Glut,Rpl5,0,-1,0.3354728,0.39138433,0.2731429
L6_CT_CTX_Glut,Pate2,0,-1,0.70041203,0.10708498,0.19250296
L6_CT_CTX_Glut,Crlf2,0,-1,0.30669338,0.40494046,0.28836617
L6_CT_CTX_Glut,Nip7,0,-1,0.330347,0.37776157,0.2918914
L6_CT_CTX_Glut,Gm14295,0,-1,0.23425886,0.36439097,0.40135017
L6_CT_CTX_Glut,Dtwd2,0,0,0.102770895,0.15572494,0.74150413
L6_CT_CTX_Glut,Gm12353,0,0,0.19312358,0.31593385,0.49094257
L6_CT_CTX_Glut,Mpp2,0,-1,0.567022,0.13329896,0.29967892
L6_CT_CTX_Glut,Cox19,0,0,0.19395761,0.3019838,0.50405854
L6_CT_CTX_Glut,Trim3,0,-1,0.2685705,0.39473784,0.33669165
L6_CT_CTX_Glut,Imp3,0,-1,0.42299587,0.38681966,0.19018452
L6_CT_CTX_Glut,Gpr155,0,0,0.17940329,0.26677984,0.55381685
L6_CT_CTX_Glut,A430010J10Rik,0,0,0.17397168,0.12255411,0.7034742
L6_CT_CTX_Glut,Gal3st3,0,-1,0.46148923,0.30636433,0.23214637
L6_CT_CTX_Glut,Hspbap1,0,-1,0.4135646,0.14698775,0.43944764
L6_CT_CTX_Glut,Brd3,0,-1,0.6378117,0.10537039,0.2568179
L6_CT_CTX_Glut,Fuom,0,0,0.24852172,0.40939012,0.34208816
L6_CT_CTX_Glut,St3gal1,0,-1,0.21752305,0.3159484,0.46652856
L6_CT_CTX_Glut,Wdfy3,0,-1,0.7354197,0.073210694,0.19136965
L6_CT_CTX_Glut,Jarid2,0,0,0.10496846,0.07100223,0.82402927
L6_CT_CTX_Glut,Rnf166,0,-1,0.23620893,0.38396528,0.37982574
L6_CT_CTX_Glut,Ggct,0,0,0.08654634,0.12270271,0.790751
L6_CT_CTX_Glut,1700048O20Rik,0,0,0.21849196,0.14759353,0.63391453
L6_CT_CTX_Glut,Cep97,0,0,0.1654988,0.28369,0.5508112
L6_CT_CTX_Glut,Kdm2a,0,-1,0.21485212,0.31397885,0.47116905
L6_CT_CTX_Glut,Trabd2b,0,0,0.17733422,0.09513907,0.7275267
L6_CT_CTX_Glut,Asb6,0,-1,0.31508723,0.3810896,0.30382314
L6_CT_CTX_Glut,Tmem246,0,-1,0.28704908,0.34056988,0.37238106
L6_CT_CTX_Glut,Fermt2,0,0,0.08586266,0.11903726,0.7951001
L6_CT_CTX_Glut,Gm26839,0,0,0.06491936,0.09861551,0.83646506
L6_CT_CTX_Glut,Ltv1,0,-1,0.36647326,0.35589483,0.27763188
L6_CT_CTX_Glut,Snx11,0,-1,0.26372188,0.3854056,0.35087252
L6_CT_CTX_Glut,Gm13619,0,0,0.18725494,0.2997108,0.5130342
L6_CT_CTX_Glut,4930593A02Rik,0,0,0.074806914,0.11700988,0.8081832
L6_CT_CTX_Glut,Noa1,0,-1,0.3154865,0.33482754,0.349686
L6_CT_CTX_Glut,C530008M17Rik,0,0,0.19444525,0.13750283,0.66805196
L6_CT_CTX_Glut,Synpo2,0,0,0.14406799,0.11534471,0.74058723
L6_CT_CTX_Glut,Atf4,0,-1,0.37831026,0.3564395,0.26525027
L6_CT_CTX_Glut,Zdhhc23,0,-1,0.2723426,0.38786772,0.33978972
L6_CT_CTX_Glut,Atp6v0a4,0,0,0.08399613,0.13298944,0.7830145
L6_CT_CTX_Glut,Gm26756,0,0,0.07684917,0.111347415,0.8118034
L6_CT_CTX_Glut,Id2,0,-1,0.3667096,0.32675287,0.30653754
L6_CT_CTX_Glut,Eif4ebp3,0,0,0.25767183,0.47154254,0.27078566
L6_CT_CTX_Glut,Rps24,0,-1,0.3171732,0.36298814,0.3198387
L6_CT_CTX_Glut,Nsmce1,0,0,0.13483547,0.21322362,0.65194094
L6_CT_CTX_Glut,Mfsd6,0,-1,0.17993785,0.2703708,0.5496914
L6_CT_CTX_Glut,Immt,0,-1,0.25522935,0.38060468,0.364166
L6_CT_CTX_Glut,Lancl1,0,-1,0.471917,0.18423875,0.34384426
L6_CT_CTX_Glut,P4ha2,0,0,0.22422388,0.14955655,0.6262196
L6_CT_CTX_Glut,Cdc40,0,-1,0.47393754,0.19588235,0.3301801
L6_CT_CTX_Glut,Gosr1,0,-1,0.21931414,0.35438204,0.42630383
L6_CT_CTX_Glut,Sidt1,0,0,0.113561325,0.19144608,0.6949926
L6_CT_CTX_Glut,Vma21,0,0,0.232268,0.3458822,0.42184985
L6_CT_CTX_Glut,Mtmr2,0,-1,0.21057954,0.31634414,0.47307637
L6_CT_CTX_Glut,Scarb1,-1,0,0.34266868,0.14540401,0.5119273
L6_CT_CTX_Glut,Ttbk1,-1,-1,0.3174447,0.2864632,0.39609206
L6_CT_CTX_Glut,Usp21,-1,-1,0.31918436,0.36828008,0.31253555
L6_CT_CTX_Glut,Ppp2r2a,1,-1,0.22530073,0.33001775,0.4446815
L6_CT_CTX_Glut,Ogdh,-1,-1,0.3452241,0.25820675,0.39656913
L6_CT_CTX_Glut,Gdi1,-1,-1,0.28818104,0.39484647,0.31697255
L6_CT_CTX_Glut,Dlgap3,-1,-1,0.49650672,0.18682973,0.3166636
L6_CT_CTX_Glut,Pabpc4,-1,0,0.25260702,0.2739854,0.47340763
L6_CT_CTX_Glut,Ncan,-1,-1,0.38066062,0.31263816,0.3067012
L6_CT_CTX_Glut,Fbxl16,-1,-1,0.7816637,0.10840818,0.10992804
L6_CT_CTX_Glut,Nphp4,-1,-1,0.74810696,0.03950772,0.21238524
L6_CT_CTX_Glut,Mcf2l,-1,-1,0.6587358,0.08072006,0.26054406
L6_CT_CTX_Glut,Dennd6b,-1,0,0.16626701,0.2542346,0.57949835
L6_CT_CTX_Glut,Gapdh,-1,-1,0.55537134,0.21566027,0.22896841
L6_CT_CTX_Glut,Tmem243,1,0,0.15463173,0.23577984,0.6095884
L6_CT_CTX_Glut,Uck2,-1,0,0.14404519,0.19088747,0.66506726
L6_CT_CTX_Glut,Camk1,-1,-1,0.3048619,0.42290273,0.27223533
L6_CT_CTX_Glut,Rabgef1,-1,-1,0.20230742,0.30248183,0.4952107
L6_CT_CTX_Glut,Slc25a51,-1,-1,0.50753915,0.27383614,0.21862468
L6_CT_CTX_Glut,Stag1,1,0,0.10218524,0.14538854,0.7524262
L6_CT_CTX_Glut,Ift172,-1,0,0.166248,0.2553744,0.5783776
L6_CT_CTX_Glut,Pcyt2,-1,-1,0.3250962,0.39097533,0.28392845
L6_CT_CTX_Glut,Camk2a,-1,-1,0.8802471,0.052299995,0.06745295
L6_CT_CTX_Glut,Filip1l,1,0,0.3607625,0.081058666,0.5581789
L6_CT_CTX_Glut,Eef2,-1,-1,0.3282778,0.37400243,0.2977198
L6_CT_CTX_Glut,Nab2,-1,-1,0.62347233,0.1779747,0.19855301
L6_CT_CTX_Glut,Sec16a,-1,-1,0.5710012,0.19400063,0.23499817
L6_CT_CTX_Glut,Zdhhc1,-1,0,0.16208361,0.23185815,0.6060582
L6_CT_CTX_Glut,Kcnq2,-1,-1,0.4179597,0.2536991,0.3283412
L6_CT_CTX_Glut,Nova2,-1,-1,0.35096613,0.25817636,0.39085746
L6_CT_CTX_Glut,Acbd6,1,0,0.20702627,0.14537935,0.64759433
L6_CT_CTX_Glut,Slc38a1,-1,-1,0.35761696,0.2554001,0.38698292
L6_CT_CTX_Glut,Adcy3,-1,-1,0.67403626,0.1302645,0.19569917
L6_CT_CTX_Glut,Tmem178,-1,-1,0.4552173,0.25859866,0.28618404
L6_CT_CTX_Glut,Safb,-1,-1,0.29871196,0.36597914,0.3353089
L6_CT_CTX_Glut,Tmem63b,-1,-1,0.5577399,0.21361862,0.22864152
L6_CT_CTX_Glut,Grip2,-1,0,0.17474663,0.26736566,0.5578878
L6_CT_CTX_Glut,Myo9b,-1,-1,0.19284633,0.32892242,0.47823128
L6_CT_CTX_Glut,Bex2,-1,0,0.24773408,0.37071615,0.38154975
L6_CT_CTX_Glut,Actr2,-1,-1,0.41504517,0.2579682,0.32698667
L6_CT_CTX_Glut,Tacc1,-1,-1,0.7437703,0.05535669,0.20087305
L6_CT_CTX_Glut,Igsf9b,-1,-1,0.8629299,0.05929593,0.07777416
L6_CT_CTX_Glut,Hs6st3,1,0,0.041652534,0.07736474,0.8809827
L6_CT_CTX_Glut,Lmo7,-1,0,0.1741023,0.11838616,0.70751154
L6_CT_CTX_Glut,Srrm4,-1,-1,0.5121967,0.08730199,0.40050134
L6_CT_CTX_Glut,Ap1ar,-1,0,0.22426584,0.29319727,0.4825369
L6_CT_CTX_Glut,Hpcal4,-1,-1,0.32644555,0.3145876,0.3589669
L6_CT_CTX_Glut,Cacng7,-1,-1,0.20780316,0.31177408,0.48042277
L6_CT_CTX_Glut,Vps13d,-1,-1,0.56944937,0.09648205,0.33406848
L6_CT_CTX_Glut,Zmym5,-1,-1,0.2596979,0.3164455,0.42385662
L6_CT_CTX_Glut,Cltb,-1,-1,0.26077032,0.38532376,0.35390595
L6_CT_CTX_Glut,Fbxw5,-1,-1,0.2835658,0.4484892,0.26794508
