cell_type,gene,DEG,pred,hic_loop,hic_abc_dmr,hic_abc_peak
Oligo_NN,Arsg,0,1,0.36740664,0.17821975,0.45437354
Oligo_NN,Mfap3,0,0,0.24375992,0.32942352,0.42681658
Oligo_NN,2310057M21Rik,0,0,0.18381387,0.28652608,0.52966005
Oligo_NN,Sdha,0,0,0.31462383,0.22904101,0.45633525
Oligo_NN,Osbpl8,0,1,0.17503344,0.09816116,0.72680545
Oligo_NN,T2,0,-1,0.79178417,0.056214124,0.15200172
Oligo_NN,Cenpv,0,0,0.15451391,0.43439236,0.4110938
Oligo_NN,Slc38a9,0,0,0.62364185,0.080961764,0.29539642
Oligo_NN,Etv3,0,0,0.16697165,0.40187773,0.43115053
Oligo_NN,Zbtb25,0,0,0.3613087,0.35266846,0.2860228
Oligo_NN,Ermard,0,0,0.19130607,0.38054243,0.42815152
Oligo_NN,Lhfpl2,0,1,0.37842768,0.079507835,0.5420645
Oligo_NN,B130055M24Rik,0,-1,0.13742603,0.6000229,0.26255104
Oligo_NN,Arl6ip4,0,-1,0.10333696,0.24637268,0.65029037
Oligo_NN,Anp32e,0,0,0.15562314,0.47866884,0.36570805
Oligo_NN,Nupl2,0,-1,0.14137682,0.3737197,0.48490348
Oligo_NN,Fam45a,0,0,0.18564679,0.3553287,0.45902458
Oligo_NN,Nudt3,0,0,0.4502693,0.39635882,0.15337196
Oligo_NN,Cwc27,0,1,0.33078587,0.12165004,0.547564
Oligo_NN,Keap1,0,-1,0.07849883,0.3396184,0.5818828
Oligo_NN,Med7,0,-1,0.071387246,0.26354975,0.6650631
Oligo_NN,Cstf3,0,1,0.13159747,0.25337932,0.6150232
Oligo_NN,Cwf19l2,0,1,0.1568185,0.09333388,0.7498476
Oligo_NN,Mllt11,0,-1,0.13096298,0.56430894,0.30472812
Oligo_NN,Clcn5,0,1,0.13091409,0.09970143,0.76938444
Oligo_NN,Zmym6,0,0,0.24432322,0.37144953,0.3842272
Oligo_NN,Pmm2,0,-1,0.34865603,0.46229112,0.18905284
Oligo_NN,Rbm8a,0,-1,0.031528216,0.65868396,0.30978784
Oligo_NN,Scamp2,0,-1,0.3516556,0.37628907,0.2720553
Oligo_NN,Klhl20,0,0,0.24226883,0.18169472,0.5760364
Oligo_NN,Mfsd6,0,1,0.3693229,0.14382212,0.48685506
Oligo_NN,Fkbp9,0,1,0.3212823,0.1721631,0.5065546
Oligo_NN,D130017N08Rik,0,0,0.08188114,0.5759736,0.3421453
Oligo_NN,Wbp2,0,-1,0.08251202,0.4116309,0.50585705
Oligo_NN,Ctps2,0,1,0.17245117,0.07050956,0.75703925
Oligo_NN,Ift57,0,1,0.2783412,0.19319244,0.52846634
Oligo_NN,Paxip1,0,0,0.25687182,0.18861596,0.5545122
Oligo_NN,Fubp1,0,0,0.17114742,0.34529617,0.48355642
Oligo_NN,2310011J03Rik,0,-1,0.100523844,0.66739637,0.23207976
Oligo_NN,Myrf,0,0,0.3379885,0.46390107,0.19811043
Oligo_NN,Hecw2,0,1,0.3308914,0.07574868,0.5933599
Oligo_NN,Cerk,0,0,0.17322545,0.47267038,0.35410413
Oligo_NN,Ppfia2,0,1,0.43248516,0.056614585,0.51090026
Oligo_NN,Exoc2,0,0,0.5812711,0.06861629,0.3501126
Oligo_NN,Shisa6,0,0,0.30808267,0.16306584,0.52885145
Oligo_NN,Rasal2,0,1,0.23530152,0.054179706,0.7105188
Oligo_NN,Pitrm1,0,0,0.40529332,0.14040193,0.45430475
Oligo_NN,Gpr37,0,0,0.112585716,0.5072486,0.38016573
Oligo_NN,Usp9x,0,1,0.17596151,0.09815983,0.72587866
Oligo_NN,Rnf138,0,0,0.53831685,0.15895233,0.3027308
Oligo_NN,Map3k10,0,-1,0.0861942,0.71819717,0.19560865
Oligo_NN,Gpn3,0,-1,0.3827894,0.2731273,0.34408334
Oligo_NN,Jam3,0,1,0.26630783,0.21633008,0.5173621
Oligo_NN,Pttg1,0,-1,0.05037565,0.3891856,0.5604387
Oligo_NN,Atg16l2,0,-1,0.17903599,0.65976644,0.1611976
Oligo_NN,Psma4,0,-1,0.081125215,0.2998184,0.61905634
Oligo_NN,Dclk2,0,1,0.3887859,0.16832824,0.4428859
Oligo_NN,6030407O03Rik,0,1,0.21023011,0.078438066,0.7113318
Oligo_NN,Spats2l,0,1,0.15603034,0.13218682,0.7117829
Oligo_NN,Rngtt,0,1,0.15951614,0.07582236,0.7646615
Oligo_NN,Fam78b,0,0,0.19624068,0.104677975,0.6990813
Oligo_NN,Psmd2,0,-1,0.35496193,0.29690707,0.34813103
Oligo_NN,Parp8,0,1,0.35485753,0.06389412,0.5812484
Oligo_NN,C030047K22Rik,0,1,0.15050624,0.158801,0.6906927
Oligo_NN,Mocs1,0,0,0.23164696,0.39275223,0.3756008
Oligo_NN,Mrps33,0,-1,0.04737782,0.38806596,0.5645562
Oligo_NN,Kctd3,0,0,0.10515179,0.66724,0.22760813
Oligo_NN,Stxbp6,0,1,0.20508257,0.101829074,0.69308835
Oligo_NN,Kctd8,0,1,0.18010275,0.082245596,0.73765165
Oligo_NN,Rab33a,0,0,0.1535977,0.37350544,0.47289687
Oligo_NN,Zfp639,0,-1,0.40074748,0.40527475,0.19397771
Oligo_NN,Tctn1,0,0,0.33879852,0.26405558,0.39714587
Oligo_NN,Pspc1,0,0,0.23535848,0.30378136,0.46086016
Oligo_NN,Zfp809,0,0,0.15941139,0.33589324,0.50469536
Oligo_NN,Slc25a36,0,1,0.32806042,0.15320377,0.5187358
Oligo_NN,Mafg,0,-1,0.061873015,0.014317416,0.92380965
Oligo_NN,Pnkp,0,-1,0.077424206,0.53920025,0.38337559
Oligo_NN,Copa,0,0,0.23860446,0.30846342,0.45293206
Oligo_NN,Chn1,0,1,0.39908448,0.10289922,0.49801627
Oligo_NN,Ubald1,0,-1,0.06480854,0.79072165,0.14446975
Oligo_NN,Prpf31,0,0,0.0873421,0.59477097,0.31788692
Oligo_NN,Crtc3,0,0,0.56397676,0.066414006,0.3696092
Oligo_NN,Khsrp,0,-1,0.057939485,0.7593423,0.18271817
Oligo_NN,Bicd1,0,1,0.24132562,0.0990734,0.659601
Oligo_NN,Ddr1,0,-1,0.1964531,0.57759297,0.22595389
Oligo_NN,Ankrd26,0,0,0.26005575,0.09012344,0.6498208
Oligo_NN,1700029J07Rik,0,0,0.39395064,0.1749745,0.43107486
Oligo_NN,Zfp446,0,-1,0.08261901,0.45137548,0.4660055
Oligo_NN,Vti1a,0,1,0.2823246,0.060080525,0.65759486
Oligo_NN,Jak1,0,1,0.45585528,0.08760907,0.45653567
Oligo_NN,Gramd4,0,0,0.44986397,0.17587447,0.37426162
Oligo_NN,Gpr107,0,0,0.3491279,0.35737568,0.29349643
Oligo_NN,Man2c1,0,-1,0.066851094,0.26080373,0.6723452
Oligo_NN,Vma21,0,0,0.1932523,0.29185417,0.5148936
Oligo_NN,Bdp1,0,0,0.5653787,0.047365107,0.38725615
Oligo_NN,Bud13,0,0,0.17144693,0.30818504,0.520368
Oligo_NN,Dusp16,0,1,0.13957869,0.35511518,0.5053062
Oligo_NN,Cnpy3,0,-1,0.43691313,0.28663412,0.27645272
Oligo_NN,Cdk17,0,1,0.2857451,0.18374577,0.5305092
Oligo_NN,Mtbp,0,1,0.21102414,0.07938226,0.70959365
Oligo_NN,Osbpl11,0,1,0.3333997,0.16736603,0.49923417
Oligo_NN,Atp1b3,0,1,0.21784298,0.4141064,0.36805063
Oligo_NN,Prpf38a,0,0,0.184313,0.2535454,0.56214166
Oligo_NN,Rnf24,0,0,0.36260694,0.29670852,0.3406845
Oligo_NN,Acp6,0,0,0.13942547,0.4907435,0.36983112
Oligo_NN,5330438D12Rik,0,0,0.20505613,0.18625954,0.60868436
Oligo_NN,Rpap2,0,0,0.2873066,0.13749954,0.5751938
Oligo_NN,Rnf185,0,0,0.44558948,0.31392276,0.24048774
Oligo_NN,Trappc2,0,0,0.17436564,0.2405461,0.5850883
Oligo_NN,Rnf11,0,0,0.28875408,0.3046724,0.40657347
Oligo_NN,Ccdc112,0,0,0.23275955,0.40637118,0.36086932
Oligo_NN,Alg13,0,1,0.13607016,0.09937508,0.7645548
Oligo_NN,Cpeb3,0,1,0.2745456,0.0713143,0.65414006
Oligo_NN,Pou2f1,0,1,0.3175601,0.11428921,0.5681507
Oligo_NN,Atxn7l1,0,1,0.19694513,0.116301134,0.68675375
Oligo_NN,Trim36,0,0,0.18238385,0.23258157,0.58503455
Oligo_NN,Mnat1,0,1,0.53084344,0.104022495,0.365134
Oligo_NN,Ubxn4,0,1,0.21112366,0.16843759,0.62043875
Oligo_NN,Anp32b,0,-1,0.6504769,0.1800405,0.16948274
Oligo_NN,Pikfyve,0,0,0.21274176,0.12923677,0.6580215
Oligo_NN,Neil1,0,-1,0.037526626,0.40767747,0.5547959
Oligo_NN,Trmt11,0,0,0.2268088,0.23763444,0.53555673
Oligo_NN,Ncoa2,0,1,0.17220674,0.09118141,0.73661184
Oligo_NN,Lpcat2,0,0,0.6667393,0.11674716,0.21651357
Oligo_NN,Rab7,0,0,0.45026752,0.2921471,0.25758547
Oligo_NN,Cpsf7,0,-1,0.10938155,0.55501807,0.33560035
Oligo_NN,Pgrmc2,0,0,0.16801,0.34111863,0.4908713
Oligo_NN,Mllt3,0,1,0.30942103,0.06583739,0.6247416
Oligo_NN,Zrsr2,0,0,0.21291195,0.2867216,0.5003665
Oligo_NN,Mmd2,0,0,0.47824344,0.21711469,0.30464187
Oligo_NN,Fbxo45,0,0,0.29556575,0.34796345,0.35647076
Oligo_NN,Lrif1,0,0,0.29753318,0.07569773,0.6267691
Oligo_NN,Snx18,0,0,0.2594071,0.38617808,0.35441485
Oligo_NN,Zmym4,0,1,0.26514468,0.15873648,0.5761188
Oligo_NN,Bcdin3d,0,-1,0.13560906,0.5106424,0.3537485
Oligo_NN,Snx19,0,1,0.15012085,0.34537664,0.5045025
Oligo_NN,9930021J03Rik,0,1,0.15109113,0.18739371,0.6615152
Oligo_NN,Jdp2,0,-1,0.27538678,0.58854884,0.13606437
Oligo_NN,Wwp2,0,1,0.45329016,0.13963693,0.40707284
Oligo_NN,Tulp4,0,1,0.17552875,0.24381249,0.5806588
Oligo_NN,Snx13,0,1,0.17274344,0.08801488,0.73924166
Oligo_NN,Rdx,0,0,0.42476732,0.23381412,0.34141862
Oligo_NN,Phlda1,0,-1,0.0709371,0.30300882,0.6260541
Oligo_NN,Srsf3,0,-1,0.05497336,0.6207343,0.32429242
Oligo_NN,Zrsr1,0,-1,0.12548172,0.013346637,0.8611716
Oligo_NN,Pex5,0,0,0.19485888,0.30108282,0.5040583
Oligo_NN,Mpp5,0,1,0.23776643,0.10128363,0.66095
Oligo_NN,Eif4ebp2,0,0,0.17528431,0.42401347,0.40070224
Oligo_NN,Tsen15,0,0,0.37977126,0.25459933,0.36562935
Oligo_NN,Zadh2,0,-1,0.174301,0.2590918,0.5666072
Oligo_NN,Stub1,0,-1,0.05414349,0.57679254,0.369064
Oligo_NN,Ccdc62,0,0,0.31190217,0.530714,0.15738384
Oligo_NN,Gnpat,0,0,0.1848291,0.28478253,0.53038836
Oligo_NN,Tnks,0,1,0.3882902,0.07407585,0.5376339
Oligo_NN,Tmem19,0,0,0.28378382,0.3130723,0.40314388
Oligo_NN,Pcna,0,-1,0.0731407,0.22258508,0.7042743
Oligo_NN,Zxdc,0,0,0.14566691,0.50833756,0.3459955
Oligo_NN,Gm14399,0,-1,0.061873015,0.014317416,0.92380965
Oligo_NN,Eif2s3x,0,0,0.22632645,0.26236773,0.51130587
Oligo_NN,Hdac11,0,-1,0.15568283,0.71132606,0.13299114
Oligo_NN,Vps13d,0,1,0.32473898,0.08278176,0.5924792
Oligo_NN,Olig2,-1,-1,0.09250956,0.5687389,0.33875158
Oligo_NN,Qdpr,-1,-1,0.07487111,0.8079323,0.11719656
Oligo_NN,Unc13c,1,1,0.18130855,0.07084904,0.7478424
Oligo_NN,Mlf2,-1,-1,0.07191686,0.27440962,0.6536735
Oligo_NN,Zfp612,1,-1,0.4516761,0.19829004,0.3500338
Oligo_NN,Mad1l1,-1,1,0.5082557,0.021520203,0.47022414
Oligo_NN,1500015L24Rik,1,1,0.14643148,0.15448612,0.6990825
Oligo_NN,Cacna2d3,1,1,0.22499076,0.05589316,0.71911603
Oligo_NN,Sparc,-1,0,0.26145008,0.4995602,0.23898976
Oligo_NN,Atp6v1g1,-1,-1,0.07803985,0.30295622,0.61900395
Oligo_NN,Cd59a,-1,0,0.16778773,0.3826184,0.44959387
Oligo_NN,Carhsp1,-1,-1,0.1454513,0.4154384,0.43911028
Oligo_NN,Ypel3,-1,-1,0.011540385,0.555369,0.4330906
Oligo_NN,Eif3i,-1,-1,0.11840423,0.4429484,0.43864733
Oligo_NN,Atp5f1,-1,0,0.23256972,0.17642917,0.5910011
Oligo_NN,Cox7b,-1,-1,0.06998561,0.42473882,0.50527555
Oligo_NN,Pam,1,1,0.13284297,0.08251256,0.7846445
Oligo_NN,Tsix,1,0,0.12372958,0.5146492,0.3616212
Oligo_NN,Rpl18,-1,-1,0.08031611,0.37762964,0.5420543
Oligo_NN,Timp3,-1,0,0.5180815,0.25923768,0.22268085
Oligo_NN,Praf2,-1,-1,0.027387299,0.39499918,0.57761353
Oligo_NN,Mms19,1,0,0.4720942,0.28879654,0.23910925
Oligo_NN,Xpo1,1,0,0.20357236,0.27327496,0.5231527
Oligo_NN,Tcte2,1,0,0.19454716,0.27747753,0.5279753
Oligo_NN,1700025G04Rik,1,1,0.23265564,0.10841265,0.65893173
Oligo_NN,Naca,-1,-1,0.09943269,0.24228023,0.658287
Oligo_NN,Ubb,-1,-1,0.03249328,0.2945761,0.67293066
Oligo_NN,Lgi3,-1,-1,0.054572396,0.5419121,0.40351555
Oligo_NN,Asah2,1,1,0.2459778,0.19679087,0.5572313
Oligo_NN,Cct5,-1,0,0.32656094,0.32340884,0.35003018
Oligo_NN,2010315B03Rik,-1,0,0.22725204,0.23109125,0.5416568
Oligo_NN,Eif5a,-1,-1,0.033853754,0.60729796,0.35884824
Oligo_NN,Rpl7a,-1,-1,0.037687175,0.52649,0.4358229
Oligo_NN,Eif3l,-1,-1,0.14044212,0.7742575,0.08530039
Oligo_NN,Ddrgk1,-1,-1,0.13268031,0.5101745,0.35714516
Oligo_NN,Clpp,-1,-1,0.036522467,0.50152683,0.46195063
Oligo_NN,Smoc1,-1,0,0.46391422,0.090032995,0.44605276
Oligo_NN,Myo1d,1,1,0.4249726,0.10067263,0.4743548
Oligo_NN,Uvssa,1,-1,0.19488887,0.65336543,0.15174565
Oligo_NN,Adam23,1,1,0.31114495,0.10572809,0.5831269
Oligo_NN,Rpl26,-1,-1,0.13938418,0.4806811,0.37993467
Oligo_NN,Slc2a1,-1,0,0.18188892,0.46408918,0.35402188
Oligo_NN,E2f3,-1,1,0.21915296,0.15056267,0.6302843
