cell_type,gene,DEG,pred,dmr,mcg_genebody,mch_genebody
Oligo_NN,Cdc42ep2,0,-1,0.09070368,0.86461455,0.044681758
Oligo_NN,Gsta3,0,0,0.39937568,0.40388694,0.1967374
Oligo_NN,Brd2,0,-1,0.06939298,0.89642316,0.034183834
Oligo_NN,Ube4a,0,0,0.43131432,0.35621488,0.21247074
Oligo_NN,Nop9,0,-1,0.15929505,0.7622342,0.0784707
Oligo_NN,Scap,0,0,0.42200378,0.37011194,0.20788425
Oligo_NN,Alg13,0,-1,0.48129568,0.32491645,0.1937879
Oligo_NN,Apip,0,1,0.028832283,0.055833783,0.9153339
Oligo_NN,Hdac4,0,1,0.6294101,0.27156773,0.0990222
Oligo_NN,Bcl7b,0,-1,0.2184703,0.6739085,0.10762117
Oligo_NN,Cops8,0,-1,0.13044581,0.805295,0.06425921
Oligo_NN,Nmrk1,0,0,0.30890772,0.5389206,0.15217175
Oligo_NN,Eed,0,0,0.27854356,0.58424246,0.13721399
Oligo_NN,Rab28,0,0,0.432628,0.3542541,0.21311788
Oligo_NN,Kat6a,0,1,0.522948,0.34670058,0.13035144
Oligo_NN,Cenpc1,0,0,0.37382066,0.44203073,0.18414865
Oligo_NN,Hist1h4d,0,-1,0.02425992,0.9637893,0.011950734
Oligo_NN,Gnpat,0,-1,0.3255153,0.5205085,0.1539762
Oligo_NN,Snx16,0,1,0.02004994,0.024742771,0.9552072
Oligo_NN,Rabgef1,0,0,0.44637308,0.33373803,0.21988887
Oligo_NN,Rbm17,0,0,0.30338523,0.54716355,0.14945129
Oligo_NN,Efcab7,0,0,0.39855364,0.40511397,0.19633242
Oligo_NN,Heg1,0,1,0.49593607,0.31726155,0.18680243
Oligo_NN,Gm26724,0,-1,0.0376492,0.9438044,0.018546464
Oligo_NN,Csnk1g1,0,1,0.33164075,0.50498897,0.1633703
Oligo_NN,Ralbp1,0,0,0.4373553,0.34719807,0.2154466
Oligo_NN,Camta2,0,-1,0.14963178,0.77665776,0.073710464
Oligo_NN,D730003I15Rik,0,-1,0.04964477,0.9258996,0.02445563
Oligo_NN,Ubxn11,0,0,0.24328226,0.63687396,0.119843826
Oligo_NN,Dnlz,0,-1,0.0665504,0.90066606,0.032783553
Oligo_NN,Snapc4,0,0,0.4054099,0.3948802,0.1997099
Oligo_NN,Lmf1,0,1,0.11252563,0.03927551,0.8481989
Oligo_NN,Camk2g,0,0,0.37738106,0.43671632,0.18590257
Oligo_NN,AW549877,0,-1,0.14537649,0.78300923,0.07161425
Oligo_NN,Efhd1,0,-1,0.47366506,0.41940156,0.10693333
Oligo_NN,Rb1,0,0,0.42780495,0.36145306,0.21074201
Oligo_NN,Camk1,0,-1,0.20493028,0.69411856,0.10095119
Oligo_NN,Prkcz,0,1,0.49876347,0.31414497,0.18709159
Oligo_NN,St6galnac5,0,0,0.38651565,0.42308193,0.19040239
